sheet_name,column_name,issue_description,suggestion,ai_function
planet_sign,成長のコツ,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", 成長のコツ)"
planet_sign,対人での出方,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 対人での出方)"
planet_sign,仕事での出方,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 仕事での出方)"
planet_sign,要約,データが未入力（空欄またはハイフンのみ）の状態です。,解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。,"=AI(""解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。"", 要約)"
planet_sign,解釈文,データが未入力（空欄またはハイフンのみ）の状態です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", 解釈文)"
planet_sign_house,核となる意味,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 核となる意味)"
planet_sign_house,成長のコツ,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", 成長のコツ)"
planet_sign_house,対人での出方,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 対人での出方)"
planet_sign_house,仕事での出方,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 仕事での出方)"
planet_sign_house,要約,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。,"=AI(""解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。"", 要約)"
planet_sign_house,解釈文,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", 解釈文)"
angle_sign,核となる意味,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 核となる意味)"
angle_sign,成長のコツ,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", 成長のコツ)"
angle_sign,要約,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。,"=AI(""解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。"", 要約)"
angle_sign,解釈文,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", 解釈文)"
angle_sign,対人での出方,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 対人での出方)"
angle_sign,仕事での出方,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 仕事での出方)"
angle_house,核となる意味,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 核となる意味)"
angle_house,成長のコツ,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", 成長のコツ)"
angle_house,要約,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。,"=AI(""解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。"", 要約)"
angle_house,解釈文,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", 解釈文)"
angle_house,対人での出方,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 対人での出方)"
angle_house,仕事での出方,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 仕事での出方)"
stellium_theme,summary,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。,"=AI(""解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。"", summary)"
stellium_theme,main_text,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", main_text)"
stellium_theme,work_text,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", work_text)"
stellium_theme,relationship_text,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", relationship_text)"
stellium_theme,caution_text,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", caution_text)"
career_axis,main_role_text,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", main_role_text)"
career_axis,strength_text,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", strength_text)"
career_axis,expansion_text,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", expansion_text)"
career_axis,caution_text,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", caution_text)"
core_theme,summary,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。,"=AI(""解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。"", summary)"
core_theme,section2_text,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", section2_text)"
core_theme,section8_text,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", section8_text)"
core_theme,strength_text,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", strength_text)"
core_theme,caution_text,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", caution_text)"
conflict_direction,summary,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。,"=AI(""解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。"", summary)"
conflict_direction,section5_text,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", section5_text)"
conflict_direction,section8_text,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", section8_text)"
conflict_direction,problem_text,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", problem_text)"
conflict_direction,growth_text,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", growth_text)"
aspect,核となる意味,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 核となる意味)"
aspect,要約,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。,"=AI(""解釈文の内容をさらに簡潔に凝縮し、短く事実を伝える1文にまとめてください。記号や装飾的な言葉は一切使わないでください。"", 要約)"
aspect,解釈文,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", 解釈文)"
aspect,リスク,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", リスク)"
aspect,成長,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。,"=AI(""最大2文程度の平易な日本語で、配置の本質的な意味や事実を淡々と記述してください。ドラマティックな表現や記号、抽象的な言い回しは避け、事実をそのまま伝えてください。"", 成長)"
aspect,対人での出方,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 対人での出方)"
aspect,仕事での出方,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", 仕事での出方)"
aspect,sec5_conflict/sec5_direction,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", sec5_conflict/sec5_direction)"
aspect,sec8_conflict/sec8_direction,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", sec8_conflict/sec8_direction)"
node_sign_house,（空欄の列）,内容が冗長、または定型的で具体的なイメージが湧きにくい文章です。,一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。,"=AI(""一般例としてイメージしやすい具体的かつ簡潔な言葉を選び、事実に基づいた誠実な改善を行ってください。詩的な表現や記号、過度な強調、曖昧な言い回しは不要です。"", （空欄の列）)"
