Target_Solar_Sign,T_Planet,Transit_House,Text_Theme,Base_Score,Category,Priority,Milestone_Label,Duration_Type,Advised_Task
TAURUS,SATURN,2,SATURN house 2: Resource building,6,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
TAURUS,SATURN,3,SATURN house 3: Learning and communication,2,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
TAURUS,SATURN,4,SATURN house 4: Home foundation,4,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
TAURUS,SATURN,5,SATURN house 5: Creative opening,8,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
TAURUS,SATURN,6,SATURN house 6: Routine refinement,4,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
TAURUS,SATURN,7,SATURN house 7: Partnership focus,10,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
TAURUS,SATURN,8,SATURN house 8: Deep restructuring,2,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
TAURUS,SATURN,9,SATURN house 9: Expansion and study,6,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
TAURUS,SATURN,10,SATURN house 10: Career visibility,14,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
TAURUS,SATURN,11,SATURN house 11: Community gains,6,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
TAURUS,SATURN,12,SATURN house 12: Closure and preparation,-10,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
TAURUS,URANUS,1,URANUS house 1: Identity reset,16,General,8,Identity reset,LONG,Put your own direction first.
TAURUS,URANUS,2,URANUS house 2: Resource building,14,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
TAURUS,URANUS,3,URANUS house 3: Learning and communication,10,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
TAURUS,URANUS,4,URANUS house 4: Home foundation,12,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
TAURUS,URANUS,5,URANUS house 5: Creative opening,16,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
TAURUS,URANUS,6,URANUS house 6: Routine refinement,12,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
TAURUS,URANUS,7,URANUS house 7: Partnership focus,18,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
TAURUS,URANUS,8,URANUS house 8: Deep restructuring,10,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
TAURUS,URANUS,9,URANUS house 9: Expansion and study,14,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
TAURUS,URANUS,10,URANUS house 10: Career visibility,22,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
TAURUS,URANUS,11,URANUS house 11: Community gains,14,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
TAURUS,URANUS,12,URANUS house 12: Closure and preparation,-2,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
TAURUS,NEPTUNE,1,NEPTUNE house 1: Identity reset,12,General,8,Identity reset,LONG,Put your own direction first.
TAURUS,NEPTUNE,2,NEPTUNE house 2: Resource building,10,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
TAURUS,NEPTUNE,3,NEPTUNE house 3: Learning and communication,6,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
TAURUS,NEPTUNE,4,NEPTUNE house 4: Home foundation,8,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
TAURUS,NEPTUNE,5,NEPTUNE house 5: Creative opening,12,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
TAURUS,NEPTUNE,6,NEPTUNE house 6: Routine refinement,8,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
TAURUS,NEPTUNE,7,NEPTUNE house 7: Partnership focus,14,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
TAURUS,NEPTUNE,8,NEPTUNE house 8: Deep restructuring,6,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
TAURUS,NEPTUNE,9,NEPTUNE house 9: Expansion and study,10,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
TAURUS,NEPTUNE,10,NEPTUNE house 10: Career visibility,18,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
TAURUS,NEPTUNE,11,NEPTUNE house 11: Community gains,10,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
TAURUS,NEPTUNE,12,NEPTUNE house 12: Closure and preparation,-6,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
TAURUS,PLUTO,1,PLUTO house 1: Identity reset,14,General,8,Identity reset,LONG,Put your own direction first.
TAURUS,PLUTO,2,PLUTO house 2: Resource building,12,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
TAURUS,PLUTO,3,PLUTO house 3: Learning and communication,8,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
TAURUS,PLUTO,4,PLUTO house 4: Home foundation,10,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
TAURUS,PLUTO,5,PLUTO house 5: Creative opening,14,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
TAURUS,PLUTO,6,PLUTO house 6: Routine refinement,10,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
TAURUS,PLUTO,7,PLUTO house 7: Partnership focus,16,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
TAURUS,PLUTO,8,PLUTO house 8: Deep restructuring,8,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
TAURUS,PLUTO,9,PLUTO house 9: Expansion and study,12,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
TAURUS,PLUTO,10,PLUTO house 10: Career visibility,20,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
TAURUS,PLUTO,11,PLUTO house 11: Community gains,12,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
TAURUS,PLUTO,12,PLUTO house 12: Closure and preparation,-4,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
GEMINI,JUPITER,1,JUPITER house 1: Identity reset,22,General,8,Identity reset,LONG,Put your own direction first.
GEMINI,JUPITER,2,JUPITER house 2: Resource building,20,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
GEMINI,JUPITER,3,JUPITER house 3: Learning and communication,16,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
GEMINI,JUPITER,4,JUPITER house 4: Home foundation,18,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
GEMINI,JUPITER,5,JUPITER house 5: Creative opening,22,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
GEMINI,JUPITER,6,JUPITER house 6: Routine refinement,18,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
GEMINI,JUPITER,7,JUPITER house 7: Partnership focus,24,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
GEMINI,JUPITER,8,JUPITER house 8: Deep restructuring,16,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
GEMINI,JUPITER,9,JUPITER house 9: Expansion and study,20,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
GEMINI,JUPITER,10,JUPITER house 10: Career visibility,28,Work,10,Career visibility,LONG,Move public goals and responsibilities forward.
GEMINI,JUPITER,11,JUPITER house 11: Community gains,20,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
GEMINI,JUPITER,12,JUPITER house 12: Closure and preparation,4,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
GEMINI,SATURN,1,SATURN house 1: Identity reset,8,General,8,Identity reset,LONG,Put your own direction first.
GEMINI,SATURN,2,SATURN house 2: Resource building,6,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
GEMINI,SATURN,3,SATURN house 3: Learning and communication,2,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
GEMINI,SATURN,4,SATURN house 4: Home foundation,4,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
GEMINI,SATURN,5,SATURN house 5: Creative opening,8,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
GEMINI,SATURN,6,SATURN house 6: Routine refinement,4,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
GEMINI,SATURN,7,SATURN house 7: Partnership focus,10,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
GEMINI,SATURN,8,SATURN house 8: Deep restructuring,2,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
GEMINI,SATURN,9,SATURN house 9: Expansion and study,6,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
GEMINI,SATURN,10,SATURN house 10: Career visibility,14,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
GEMINI,SATURN,11,SATURN house 11: Community gains,6,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
GEMINI,SATURN,12,SATURN house 12: Closure and preparation,-10,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
GEMINI,URANUS,1,URANUS house 1: Identity reset,16,General,8,Identity reset,LONG,Put your own direction first.
GEMINI,URANUS,2,URANUS house 2: Resource building,14,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
GEMINI,URANUS,3,URANUS house 3: Learning and communication,10,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
GEMINI,URANUS,4,URANUS house 4: Home foundation,12,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
GEMINI,URANUS,5,URANUS house 5: Creative opening,16,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
GEMINI,URANUS,6,URANUS house 6: Routine refinement,12,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
GEMINI,URANUS,7,URANUS house 7: Partnership focus,18,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
GEMINI,URANUS,8,URANUS house 8: Deep restructuring,10,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
GEMINI,URANUS,9,URANUS house 9: Expansion and study,14,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
GEMINI,URANUS,10,URANUS house 10: Career visibility,22,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
GEMINI,URANUS,11,URANUS house 11: Community gains,14,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
GEMINI,URANUS,12,URANUS house 12: Closure and preparation,-2,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
GEMINI,NEPTUNE,1,NEPTUNE house 1: Identity reset,12,General,8,Identity reset,LONG,Put your own direction first.
GEMINI,NEPTUNE,2,NEPTUNE house 2: Resource building,10,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
GEMINI,NEPTUNE,3,NEPTUNE house 3: Learning and communication,6,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
GEMINI,NEPTUNE,4,NEPTUNE house 4: Home foundation,8,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
GEMINI,NEPTUNE,5,NEPTUNE house 5: Creative opening,12,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
GEMINI,NEPTUNE,6,NEPTUNE house 6: Routine refinement,8,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
GEMINI,NEPTUNE,7,NEPTUNE house 7: Partnership focus,14,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
GEMINI,NEPTUNE,8,NEPTUNE house 8: Deep restructuring,6,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
GEMINI,NEPTUNE,9,NEPTUNE house 9: Expansion and study,10,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
GEMINI,NEPTUNE,10,NEPTUNE house 10: Career visibility,18,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
GEMINI,NEPTUNE,11,NEPTUNE house 11: Community gains,10,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
GEMINI,NEPTUNE,12,NEPTUNE house 12: Closure and preparation,-6,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
GEMINI,PLUTO,1,PLUTO house 1: Identity reset,14,General,8,Identity reset,LONG,Put your own direction first.
GEMINI,PLUTO,2,PLUTO house 2: Resource building,12,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
GEMINI,PLUTO,3,PLUTO house 3: Learning and communication,8,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
GEMINI,PLUTO,4,PLUTO house 4: Home foundation,10,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
GEMINI,PLUTO,5,PLUTO house 5: Creative opening,14,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
GEMINI,PLUTO,6,PLUTO house 6: Routine refinement,10,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
GEMINI,PLUTO,7,PLUTO house 7: Partnership focus,16,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
GEMINI,PLUTO,8,PLUTO house 8: Deep restructuring,8,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
GEMINI,PLUTO,9,PLUTO house 9: Expansion and study,12,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
GEMINI,PLUTO,10,PLUTO house 10: Career visibility,20,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
GEMINI,PLUTO,11,PLUTO house 11: Community gains,12,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
GEMINI,PLUTO,12,PLUTO house 12: Closure and preparation,-4,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
CANCER,JUPITER,1,JUPITER house 1: Identity reset,22,General,8,Identity reset,LONG,Put your own direction first.
CANCER,JUPITER,2,JUPITER house 2: Resource building,20,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
CANCER,JUPITER,3,JUPITER house 3: Learning and communication,16,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
CANCER,JUPITER,4,JUPITER house 4: Home foundation,18,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
CANCER,JUPITER,5,JUPITER house 5: Creative opening,22,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
CANCER,JUPITER,6,JUPITER house 6: Routine refinement,18,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
CANCER,JUPITER,7,JUPITER house 7: Partnership focus,24,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
CANCER,JUPITER,8,JUPITER house 8: Deep restructuring,16,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
CANCER,JUPITER,9,JUPITER house 9: Expansion and study,20,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
CANCER,JUPITER,10,JUPITER house 10: Career visibility,28,Work,10,Career visibility,LONG,Move public goals and responsibilities forward.
CANCER,JUPITER,11,JUPITER house 11: Community gains,20,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
CANCER,JUPITER,12,JUPITER house 12: Closure and preparation,4,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
CANCER,SATURN,1,SATURN house 1: Identity reset,8,General,8,Identity reset,LONG,Put your own direction first.
CANCER,SATURN,2,SATURN house 2: Resource building,6,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
CANCER,SATURN,3,SATURN house 3: Learning and communication,2,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
CANCER,SATURN,4,SATURN house 4: Home foundation,4,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
CANCER,SATURN,5,SATURN house 5: Creative opening,8,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
CANCER,SATURN,6,SATURN house 6: Routine refinement,4,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
CANCER,SATURN,7,SATURN house 7: Partnership focus,10,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
CANCER,SATURN,8,SATURN house 8: Deep restructuring,2,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
CANCER,SATURN,9,SATURN house 9: Expansion and study,6,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
CANCER,SATURN,10,SATURN house 10: Career visibility,14,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
CANCER,SATURN,11,SATURN house 11: Community gains,6,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
CANCER,SATURN,12,SATURN house 12: Closure and preparation,-10,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
CANCER,URANUS,1,URANUS house 1: Identity reset,16,General,8,Identity reset,LONG,Put your own direction first.
CANCER,URANUS,2,URANUS house 2: Resource building,14,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
CANCER,URANUS,3,URANUS house 3: Learning and communication,10,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
CANCER,URANUS,4,URANUS house 4: Home foundation,12,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
CANCER,URANUS,5,URANUS house 5: Creative opening,16,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
CANCER,URANUS,6,URANUS house 6: Routine refinement,12,Work,6,Routine refinement,LONG,Improve work rhythms and health maintenance.
CANCER,URANUS,7,URANUS house 7: Partnership focus,18,Love,8,Partnership focus,LONG,Choose conversations and alliances carefully.
CANCER,URANUS,8,URANUS house 8: Deep restructuring,10,Money,6,Deep restructuring,LONG,Handle shared resources and emotional commitments.
CANCER,URANUS,9,URANUS house 9: Expansion and study,14,General,6,Expansion and study,LONG,"Plan travel, study, publishing, or long-range growth."
CANCER,URANUS,10,URANUS house 10: Career visibility,22,Work,8,Career visibility,LONG,Move public goals and responsibilities forward.
CANCER,URANUS,11,URANUS house 11: Community gains,14,General,6,Community gains,LONG,"Use networks, teams, and future plans wisely."
CANCER,URANUS,12,URANUS house 12: Closure and preparation,-2,General,6,Closure and preparation,LONG,"Rest, clear old patterns, and prepare the next cycle."
CANCER,NEPTUNE,1,NEPTUNE house 1: Identity reset,12,General,8,Identity reset,LONG,Put your own direction first.
CANCER,NEPTUNE,2,NEPTUNE house 2: Resource building,10,Money,6,Resource building,LONG,"Review income, assets, and spending habits."
CANCER,NEPTUNE,3,NEPTUNE house 3: Learning and communication,6,General,6,Learning and communication,LONG,Share ideas and refine your daily routes.
CANCER,NEPTUNE,4,NEPTUNE house 4: Home foundation,8,General,6,Home foundation,LONG,"Stabilize family, home, and emotional ground."
CANCER,NEPTUNE,5,NEPTUNE house 5: Creative opening,12,Love,6,Creative opening,LONG,"Make space for joy, romance, and self-expression."
