Event_Type,Target_Planet,Condition,General_Instruction,Work_Efficiency_Modifier,Love_Vibe_Modifier,Safety_Level,Icon_Type,Impact_Duration
MOON_SIGN,MOON,LIBRA,社交性が高まり調和のとれた関係を築ける日です。交渉事やファッションに関する活動に最適です,10,20,HIGH,SCALE,2days
MOON_SIGN,MOON,SCORPIO,洞察力が冴え物事の深部に目が向く日です。一つのことに集中して取り組むことで真実に辿り着けます,10,5,MEDIUM,EYE,2days
MOON_SIGN,MOON,SAGITTARIUS,開放的な気分になり未知の世界へ挑戦したくなる日です。広い視野を持って未来を語り合いましょう,15,10,HIGH,MAP,2days
MOON_SIGN,MOON,CAPRICORN,規律正しく野心的に活動できる日です。長期的な計画の策定や目上の人との面談に適しています,20,0,HIGH,MOUNTAIN,2days
MOON_SIGN,MOON,AQUARIUS,独創的なアイデアが生まれやすく公平な視点を持てる日です。ネットを通じた交流や改革にツキがあります,15,5,HIGH,LIGHTBULB,2days
MOON_SIGN,MOON,PISCES,直感や想像力が豊かになり癒やしを求める日です。論理よりも感覚を信じることで道が開けます,-5,15,MEDIUM,WAVE,2days
STATIONARY,MERCURY,CONDITION,水星の動きが止まる時期は情報の混乱が最大化します。重要なデータ保存を忘れずに行いましょう,-40,-10,LOW,PAUSE,2days
ECLIPSE,SUN,EVENT,運命的な変化が起きやすい不安定な時期です。自己過信を捨て運命の流れを静かに観察してください,-30,-20,LOW,ECLIPSE,3days
SUPER_MOON,MOON,EVENT,月の引き寄せ力が最大化し感情が激しく揺さぶられます。瞑想などで内面の平穏を保ってください,5,10,MEDIUM,MOON_LARGE,1day
CRITICAL_DEGREE,GENERAL,CONDITION,物事の境界線にあり非常に不安定な状態です。急な方針転換や予期せぬトラブルに警戒してください,-25,-15,LOW,ALERT,1day
OUT_OF_BOUNDS,MARS,CONDITION,圧倒的な行動力が湧く一方で攻撃性も制御不能になりやすいです。エネルギーをスポーツ等に昇華させてください,20,-20,LOW,SWORD_ON,1week
MERCURY_PHASE,MERCURY,PROMETHEUS,先見の明があり新しいアイデアが次々湧く時期です。未来を見据えた野心的な提案に最適です,15,5,HIGH,ROCKET,2weeks
MERCURY_PHASE,MERCURY,EPIMETHEUS,経験に基づいた慎重な判断ができる時期です。過去の事例を参考に堅実に進めるのが吉です,10,0,HIGH,BOOK,2weeks
SOLSTICE,SUMMER,EVENT,陽のエネルギーが頂点に達し外の世界へ自分を打ち出す力が強まります。活発な活動を開始してください,20,10,HIGH,SUMMER,1week
SOLSTICE,WINTER,EVENT,陰のエネルギーが極まり内面を深く見つめる時期です。来年に向けた静かな準備を行ってください,-10,-10,MEDIUM,WINTER,1week
EQUINOX,SPRING,EVENT,昼夜の長さが等しくなり新しい生命力が芽生える時です。これまでの計画を具体的に実行に移しましょう,15,15,HIGH,FLOWER,1week
EQUINOX,AUTUMN,EVENT,収穫と均衡の時期です。これまでの成果を整理し他者との調和を意識して過ごしてください,10,10,HIGH,LEAF,1week
MOON_PERIGEE,MOON,EVENT,月が地球に最も接近し感受性が非常に敏感になります。セルフケアを最優先にして過ごしてください,-5,10,MEDIUM,FLOWER,1day
MOON_APOGEE,MOON,EVENT,月が地球から遠ざかり感情的な距離感が生じやすい時期です。客観性を保つには良いタイミングです,-10,0,MEDIUM,SPACE,1day
SOLSTICE,SUN,SUMMER,陽のエネルギーが頂点に達し外の世界へ自分を打ち出す力が強まります。活発な活動を開始してください,20,10,HIGH,SUMMER,1week
SOLSTICE,SUN,WINTER,陰のエネルギーが極まり内面を深く見つめる時期です。来年に向けた静かな準備を行ってください,-10,-10,MEDIUM,WINTER,1week
EQUINOX,SUN,SPRING,昼夜の長さが等しくなり新しい生命力が芽生える時です。これまでの計画を具体的に実行に移しましょう,15,15,HIGH,FLOWER,1week
EQUINOX,SUN,AUTUMN,収穫と均衡の時期です。これまでの成果を整理し他者との調和を意識して過ごしてください,10,10,HIGH,LEAF,1week
