planet1,planet2,aspect,Aspect_Angle,Summary
SUN,MARS,conjunction,0,強烈な意志力、情熱、行動力を備えた生まれながらのチャレンジャーです。勇気を持って先頭に立ち、障害を突破して目標を達成する推進力に長けています。短気や衝動性を自制し、建設的な目標に注ぐことで大成します。
SUN,MARS,sextile,60,前向きな意欲と健全な行動力が無理なく噛み合っています。決断力があり、思い立ったらすぐに行動へ移せる軽快さを持ちます。フェアな競争心とリーダーシップで周囲を明るく牽引できる人柄です。
SUN,MARS,square,90,激しい情熱と強い闘争心を秘めており、困難に屈しない不屈のエネルギーを持ちます。短気や自己主張の強さから摩擦を生みやすい傾向がありますが、その爆発的な推進力をスポーツや難題の克服に向けることで大きな成功を収めます。
SUN,MARS,trine,120,力強い生命力、勇気、高い実行力をバランスよく備えています。堂々としたリーダーシップを発揮でき、どんな障害も前向きなエネルギーで乗り越えられます。周囲を鼓舞し、目標を確実に達成する頼もしい存在です。
SUN,MARS,quincunx,150,内なる野心や情熱と、実際の行動のペース配分にズレを感じやすい配置です。焦って無理な勝負に出てエネルギーを消耗しがちですが、試行錯誤を通じて持久力と的確なタイミングを見極める知恵を体得していきます。
SUN,MARS,opposition,180,強いライバル心と勝負強さを持ち、他者との競い合いを通じて自己の限界を突破していく性質です。他者からの攻撃に対抗する形で力が出やすいですが、フェアな競争相手や協力関係を築くことで絶大な成果を挙げます。
SUN,JUPITER,conjunction,0,大らかで楽観的な精神、豊かな寛容さ、強い幸運の引き寄せ力を生まれ持っています。高い志と広い視野を持ち、人望を集めながら人生を大きく発展させることができます。誠実さと謙虚さを保つことで名声を確固たるものにします。
SUN,JUPITER,sextile,60,前向きで親しみやすい性格と、健全な道徳観を備えています。周囲からの引き立てや援助を得やすく、学びや旅行、精神的な探求を通じて人生を豊かに広げていけます。着実な成長と調和の取れた幸福を掴む資質です。
SUN,JUPITER,square,90,大きな夢や高い理想を抱く野心家ですが、見通しが甘くなったり手を広げすぎる傾向があります。過剰な自信や浪費に気をつければ、失敗を恐れない大胆な挑戦力によって人並み外れたスケールの大きな事業を成し遂げられます。
SUN,JUPITER,trine,120,最高の幸運と豊かな人格に恵まれた調和的な配置です。自然体でいてもチャンスや良縁に恵まれ、寛大な心で人々を導きます。学術、法律、国際関係、ビジネスなど広い舞台で高い社会的成功と名誉を手にします。
SUN,JUPITER,quincunx,150,高すぎる理想と現実の能力や環境との間でギャップを感じやすい配置です。期待に応えようと無理な約束をしがちですが、現実的な優先順位を整理し、一歩ずつ着実に積み重ねることで着実な自己実現を遂げます。
SUN,JUPITER,opposition,180,スケールの大きな目標と強い自己顕示欲を持ち、世の中に大きな影響を与えたいと願う性質です。大風呂敷を広げすぎず、着実な実務と誠実さを伴わせることで、多くの支持を集める指導者として大成します。
SUN,SATURN,conjunction,0,強い責任感、自制心、堅実な現実感覚を生まれ持っています。若年期には重圧やコンプレックスを感じやすい傾向がありますが、地道な努力を重ねることで晩年に向けて確固たる社会的地位と揺るぎない信頼を築き上げます。
SUN,SATURN,sextile,60,誠実で規律正しい性格と、忍耐強い実行力を備えています。無駄を省き、長期的な視点で物事を着実に積み上げる才能があります。年長者からの引き立てを受けやすく、組織や社会で確実な信用を勝ち取ります。
SUN,SATURN,square,90,厳しい試練や自己否定感に直面しやすい傾向がありますが、それを克服するための不屈の忍耐力を秘めています。困難から逃げずに課題と向き合い続けることで、誰よりも強靭な精神と本物の実力を身につけていきます。
SUN,SATURN,trine,120,卓越した自己統制力と現実的な構成力に恵まれた安定の配置です。常識と秩序を重んじ、着実な努力によって目標を確実に達成します。組織のリーダーや専門家として高い評価と永続的な基盤を築く資質を持ちます。
SUN,SATURN,quincunx,150,人生の目標と課される責任・制約の間でプレッシャーを感じやすい配置です。自己犠牲や無理な我慢に陥らないよう、自分自身の限界を認めながら、現実的なペース配分と責任の引き受け方を学んでいきます。
SUN,SATURN,opposition,180,権威や社会的な枠組みとの対峙を通じて自己を確立していく性質です。他者からの厳しい要求や批判に鍛えられますが、責任を恐れず自立した生き方を貫くことで、確固たる信念を持つ成熟した指導者となります。
SUN,URANUS,conjunction,0,強烈な個性、独創的な発想、自由を愛する改革者精神を持っています。既存の枠組みに縛られることを嫌い、自らのユニークな直感に従って道を切り開きます。先端技術や独自の分野で天才的なひらめきを発揮します。
SUN,URANUS,sextile,60,オープンで進歩的な思考と、柔軟な発想力を備えています。型にはまらない新しいアイデアをスムーズに現実へ取り入れることができ、多様な個性を持つ仲間とのネットワークを通じて人生の可能性を広げます。
SUN,URANUS,square,90,強い反骨精神と突飛な行動力を秘めており、体制への反発や突然の方向転換を起こしやすい傾向があります。周囲との摩擦を生みやすいですが、常識を打ち破る革新的なエネルギーとして活かすことで唯一無二の道を切り開きます。
SUN,URANUS,trine,120,卓越した独創性と自由な精神が調和的に発揮される恵まれた配置です。周囲に爽やかな印象を与えながら、時代の先端を行くプロジェクトやユニークな活動で自然と高い評価を得られます。個性を活かして大いに輝く人生を歩みます。
SUN,URANUS,quincunx,150,独自性を貫きたい欲求と、社会的な適応との間で葛藤を抱えやすい配置です。孤立を恐れず、かつ周囲と無駄に対立しないバランスを模索する中で、独自の視点を社会で役立つ形へと落とし込む高度な工夫を身につけます。
SUN,URANUS,opposition,180,他者との関係において強い独立心と反骨精神を発揮する性質です。束縛を嫌い、突発的な人間関係の刷新を起こしやすいですが、自立した個人同士の自由で刺激的な協力関係を築くことで絶大な影響力を放ちます。
SUN,NEPTUNE,conjunction,0,豊かなイマジネーション、崇高な理想、深い同情心を生まれ持っています。感受性が極めて高く、夢見がちな面や自己犠牲に走りやすい傾向もありますが、芸術、音楽、スピリチュアル、癒やしの分野で非凡な才能を開花させます。
SUN,NEPTUNE,sextile,60,繊細な直感力と優しい思いやりを備えています。人の気持ちを敏感に察知し、自然体で周囲を癒やすことができます。理想を現実の活動へと穏やかに反映させ、文化・芸術や人道的な取り組みで力を発揮します。
SUN,NEPTUNE,square,90,自己像の曖昧さや現実逃避の傾向、他者への過剰な自己犠牲に悩まされやすい配置です。失望や幻滅を経験しやすいですが、自他の境界線を明確にし、地に足のついた生き方を学ぶことで、本物の慈愛と芸術的感性を確立します。
SUN,NEPTUNE,trine,120,純粋な精神性と卓越した芸術的インスピレーションに恵まれた配置です。無条件の優しさと高い理想を持ち、周囲に夢や希望を与えます。直感に従って生きることで自然と守られ、豊かな精神生活を享受します。
SUN,NEPTUNE,quincunx,150,現実の生活・義務と、内なる高い理想や夢との間でバランスを取るのに苦心する配置です。曖昧さに流されず、自分の感覚を丁寧に整理しながら、理想を少しずつ現実的な形へと落とし込んでいく調整力を育てます。
SUN,NEPTUNE,opposition,180,他者への強い同情心や理想の投影を通じて自己を探求していく性質です。騙されたり幻滅したりするリスクもありますが、現実的な客観性を身につけることで、多くの人々を導く深い慈愛と高いカリスマ性を獲得します。
SUN,PLUTO,conjunction,0,圧倒的なカリスマ性、強靭な底力、根本的な再生力を秘めた強烈な生まれです。人生の危機を乗り越えるたびに不死鳥のように蘇り、強大な意志の力で自らの運命と環境を根本から作り変える力を持っています。
SUN,PLUTO,sextile,60,強い精神力と深い洞察力を備えています。物事の本質や人の心理を見抜く力に長け、困難な状況でも動じずに主導権を握ることができます。自制心と集中力を活かして着実に大きな権威や地位を築き上げます。
SUN,PLUTO,square,90,激しい権力欲や極端な自己変容の衝動を秘めており、人生の激変や強いプレッシャーに直面しやすい傾向があります。力による支配を戒め、内なる強大なエネルギーを自己規律と建設的な再生へ昇華させることで無類の強さを手に入れます。
SUN,PLUTO,trine,120,揺るぎない精神力、圧倒的な集中力、天性のリーダーシップに恵まれた最強の配置です。困難な状況を力強く逆転させる底力があり、大きな野心や社会的責任を自然と背負って成し遂げることができます。
SUN,PLUTO,quincunx,150,抑えきれない強い野心や支配欲と、日常の現実との間で葛藤を抱えやすい配置です。極端な行動に走らず、自らのエネルギーを少しずつ建設的な自己変革や実務へと振り向ける粘り強い調整を体得していきます。
SUN,PLUTO,opposition,180,他者からの強い圧力や権力闘争を通じて自己の限界を突破していく宿命的な強さを持つ性質です。対立を恐れず、自らの信念を貫くことで、圧倒的な存在感とカリスマ性を持つ真のリーダーへと成長します。
SUN,ASC,conjunction,0,強い自己主張力、活力、堂々とした存在感を生まれ持っています。初対面でも強烈な印象を与え、自らの個性や意志をストレートに打ち出して道を切り開きます。リーダーとしての風格と生命力に満ち溢れた人柄です。
SUN,ASC,sextile,60,明るく前向きな人柄と、バランスの取れた自己表現力を備えています。周囲に対して自然体で自己アピールができ、好意的な第一印象を与えます。社会的なチャンスや人との協力をスムーズに引き寄せます。
SUN,ASC,square,90,自己の内なる意志と、周囲から見られる第一印象や振る舞いとの間にギャップが生じやすい配置です。自己表現での摩擦を経験しやすいですが、意識的なセルフコントロールを磨くことで強い個性を確立します。
SUN,ASC,trine,120,生まれながらの自信と魅力が自然に溢れ出る調和的な配置です。周囲からの高い評価や協力を無理なく得られ、自分らしさを存分に発揮しながら人生をスムーズに前進させることができます。
SUN,ASC,quincunx,150,周囲への見せ方や立ち振る舞いに対して過剰に気を遣い、違和感を覚えやすい傾向があります。試行錯誤を通じて、周囲の期待に振り回されない自然体の自分らしさを表現する工夫を学んでいきます。
SUN,ASC,opposition,180,パートナーシップや他者との関わりを通じて自己の存在価値を確立していく性質です。他者の影響を強く受けやすい反面、強力な協力者や伴侶と出会うことで人生が大きく飛躍します。
SUN,MC,conjunction,0,強い野心と高い社会的自己実現力を生まれ持っています。キャリアや公の場での成功を強く求め、リーダーシップを発揮して高い地位や名声を獲得する宿命を持ちます。社会的な責任を堂々と果たすことで大成します。
SUN,MC,sextile,60,社会的な成功への意欲と現実的な行動力が調和しています。目上の人からの引き立てや援助を得やすく、自らのキャリアをスムーズに発展させることができます。誠実な仕事ぶりが着実な評価につながります。
SUN,MC,square,90,家庭やプライベートと、仕事や社会的な野心との間で葛藤を抱えやすい配置です。プレッシャーを感じやすいですが、両者のバランスを模索し続けることで、独自の強いキャリアと人間性を確立していきます。
SUN,MC,trine,120,社会的な名声やキャリアの成功に恵まれた調和的な配置です。天性の風格とリーダーシップがあり、公の舞台で自然と高い評価と支持を集めます。自らの天職を見出して輝かしい実績を残します。
SUN,MC,quincunx,150,社会的な役割や期待と、自分本来の生き方との間に違和感を覚えやすい配置です。無理に周囲の期待に応えようとせず、自分らしい職業観や社会的立場を少しずつ模索・調整していく柔軟性が鍵となります。
SUN,MC,opposition,180,家庭や心の拠り所、自らのルーツを人生の基盤とする性質です。内面的な精神の安定やプライベートの充実を最優先にすることで、結果として社会的な活動にも強い支えと安心感がもたらされます。
MOON,MERCURY,conjunction,0,豊かな感受性と機敏な知性が一体化しています。人の気持ちを敏感に察知し、共感力に富んだ温かい言葉で表現する才能を持ちます。記憶力や観察力が高く、日常の出来事を生き生きと語ることができます。
MOON,MERCURY,sextile,60,感情と思考のバランスが取れており、素直で親しみやすいコミュニケーション能力を備えています。細やかな気配りができ、相談役や聞き上手として周囲に安心感を与えます。実務処理や情報収集も軽快に進めます。
MOON,MERCURY,square,90,気分の浮き沈みが思考や発言に影響しやすい傾向があります。些細なことに過敏になりやすい面もありますが、感情の機微を鋭く捉える繊細な感性を、執筆や心理分析などの専門的な表現に活かすことで強みに変えられます。
MOON,MERCURY,trine,120,明晰な知性と豊かな情緒が美しく調和した恵まれた配置です。理解力が高く、相手の心にスッと届く優しい表現力を持っています。教育、カウンセリング、文学などの分野で高い能力を発揮します。
MOON,MERCURY,quincunx,150,感情の機微を論理的に説明することに違和感やもどかしさを感じやすい配置です。直感と理屈のバランスを模索する中で、言葉にしにくい感情を丁寧に言語化する独自の繊細な対話術を身につけていきます。
MOON,MERCURY,opposition,180,感情と論理の葛藤を抱えやすく、気持ちと言葉が裏腹になりがちな傾向があります。他者との対話を通じて自分の感情を客観的に見つめ直すことで、人々の多様な感情と意見を調停する優れたファシリテーターになれます。
MOON,VENUS,conjunction,0,愛らしさ、優しさ、優れた美意識と社交性を生まれ持っています。人に対する愛情が深く、心地よい空間や人間関係を育む天賦の才があります。芸術、料理、インテリアなど暮らしを彩る分野で素晴らしい才能を発揮します。
MOON,VENUS,sextile,60,穏やかで人当たりの良い人柄と、洗練された美的センスを備えています。周囲との調和を大切にし、誰からも愛される安心感を与えます。趣味や家庭生活を楽しみながら、心満たされる温かい絆を育みます。
MOON,VENUS,square,90,愛情への強い欲求や贅沢・甘えの傾向を秘めています。感情に流されて浪費したり、対人関係で過剰な依存をしがちですが、人を喜ばせたい純粋なサービス精神を活かすことで魅力的な人気者として輝きます。
MOON,VENUS,trine,120,豊かな愛情と優雅な魅力に恵まれた幸運の配置です。情緒が安定しており、周囲に安心感と喜びをもたらす天性の愛され力を持っています。芸術や美、豊かな家庭環境を育み、穏やかな幸福を享受します。
MOON,VENUS,quincunx,150,自分の感情的な心地よさと、他者に合わせる社交性との間で葛藤を抱えやすい配置です。気遣いすぎて疲弊しないよう、自分自身の本音の安心感を優先しながら、無理のない対人距離を築く知恵を体得していきます。
MOON,VENUS,opposition,180,強い愛情欲求を持ち、他者との親密な関係を通じて自己の充足を求める性質です。見栄や甘えを戒め、自立した自己愛を確立することで、多くの人々に温かい無条件の愛を届ける存在となります。
MOON,MARS,conjunction,0,激しい感情のエネルギー、情熱、率直な行動力を生まれ持っています。感受性が強く感情がダイレクトに行動へと直結します。短気や感情の爆発をコントロールし、目標に向けた熱い意欲として活かすことで強大な推進力を発揮します。
MOON,MARS,sextile,60,素直な情熱と前向きな行動力を備えています。感情に裏表がなく、思ったことを軽快に行動へと移せます。周囲を明るく励ますバイタリティがあり、家庭や身近な環境を自らリードして活性化させます。
MOON,MARS,square,90,激しい感情の起伏や衝動性を秘めており、短気やフラストレーションを抱えやすい傾向があります。内なる怒りや焦りをコントロールし、その強いエネルギーをスポーツや困難な課題への挑戦に向けることで並外れた行動力を発揮します。
MOON,MARS,trine,120,健全な情熱と力強い生命力に恵まれた調和的な配置です。率直で勇気があり、感情を前向きな行動へとスムーズに変換できます。逆境に強く、周囲を引っ張る頼もしいバイタリティで目標を達成します。
MOON,MARS,quincunx,150,感情の欲求と行動のタイミングにズレを感じやすく、苛立ちを内に溜め込みやすい配置です。無理に感情を抑え込まず、適度な運動やリフレッシュを取り入れながら、感情とエネルギーのスムーズな発散方法を学んでいきます。
MOON,MARS,opposition,180,他者との感情的な衝突や競い合いを通じて自己を鍛え上げていく性質です。他者の言動に過敏に反応しがちですが、フェアなライバル関係や情熱的なパートナーシップを築くことで絶大な推進力を得られます。
MOON,JUPITER,conjunction,0,大らかで寛大な心、豊かな情緒、強い幸福感を生まれ持っています。人に対する親切心と慈悲の心があり、誰からも愛される人柄です。楽観的な人生観と豊かな精神生活を送り、自然と多くの良縁に恵まれます。
MOON,JUPITER,sextile,60,親しみやすく温かい人柄と、健全な良識を備えています。困っている人を放っておけない優しさがあり、周囲からの信頼と支援を集めます。家庭環境や人間関係を円満に保ちながら、豊かな幸福を築きます。
MOON,JUPITER,square,90,感情的な寛大さを持つ一方で、気分の緩みや過剰な自己甘愉、浪費に走りやすい傾向があります。感情の節度を意識し、大風呂敷を広げない堅実さを身につけることで、誰からも好かれるスケールの大きな人気者になります。
MOON,JUPITER,trine,120,至高の幸福感と豊かな精神性に恵まれた最高の配置です。穏やかで慈愛に満ち、自然体でいても幸運や支援を引き寄せます。豊かな家庭、温かい人間関係、精神的な繁栄を享受する恵まれた人生を歩みます。
MOON,JUPITER,quincunx,150,過剰な善意や期待に応えようとする気持ちが、自己の精神的な負担となりやすい配置です。自分を犠牲にしない適切な境界線を学び、身の丈に合った温かい支援を心がけることで真の精神的安定を得ます。
MOON,JUPITER,opposition,180,強い感情的な理想と大げさな表現力を持ち、他者に大きな影響を与えたいと願う性質です。自己正当化や過度の期待を戒め、謙虚な誠実さを保つことで、多くの人々に夢と安心を与える指導者となります。
MOON,SATURN,conjunction,0,感情の自制心、忍耐強さ、強い責任感を生まれ持っています。幼少期に精神的な孤独や厳しさを経験しやすい傾向がありますが、感情に流されない堅実な情緒と自立心を培い、晩年に向けて揺るぎない安心感を確立します。
MOON,SATURN,sextile,60,落ち着いた情緒と確実な生活管理能力を備えています。感情が安定しており、地道な努力や家庭生活の基盤作りを着実に進めることができます。誠実で頼りがいのある人柄として周囲から厚い信頼を得ます。
MOON,SATURN,square,90,不安感や自己否定感、感情を抑圧しやすい傾向を秘めています。心の壁を感じやすいですが、時間をかけて自らの脆さを受け入れ、地道に自己肯定感を育てていくことで、誰よりも深い包容力と忍耐力を持つ人格へと成長します。
MOON,SATURN,trine,120,情緒の安定性と優れた常識感覚に恵まれた調和的な配置です。感情のコントロールが巧みで、周囲に安心感を与える落ち着いた存在です。責任ある立場を無理なくこなし、安定した家庭と堅固な生活基盤を築きます。
MOON,SATURN,quincunx,150,感情の安心感と課せられた義務の間でストレスを感じやすい配置です。自己犠牲や過度の我慢を避け、自分を労るリフレッシュの時間を大切にしながら、感情と義務の健全なバランスを学んでいきます。
MOON,SATURN,opposition,180,他者からの厳しさや冷たさを通じて自己の情緒を鍛え上げていく性質です。孤独を恐れず自立した精神を養うことで、感情に振り回されない冷静な判断力と深い人間的な深みを獲得します。
MOON,URANUS,conjunction,0,独創的な感性、直感力、自由を愛する自立心を生まれ持っています。感情が型破りで突発的な変化を好む傾向がありますが、独自のユニークなひらめきと進歩的なライフスタイルで人々を惹きつけます。
MOON,URANUS,sextile,60,爽やかで柔軟な情緒と、オープンな感性を備えています。古い常識に囚われず、新しいアイデアや多様な人との交流を素直に楽しめます。生活の中に新鮮な工夫を取り入れ、軽やかに生きる資質を持ちます。
MOON,URANUS,square,90,情緒の不安定さや反逆心、突発的な気分転換を好む傾向を秘めています。身近な関係で距離を置きがちですが、その独立心と独創的な感性をユニークな創作や自由な活動に活かすことで個性を発揮します。
MOON,URANUS,trine,120,豊かな直感力と自由で独立した感性に恵まれた好配置です。周囲の感情に縛られず爽やかに自分らしく生きることができ、画期的なアイデアや進歩的なライフスタイルで自然と高い評価を得られます。
MOON,URANUS,quincunx,150,安心したい気持ちと自由でいたい欲求の間でアンバランスさを感じやすい配置です。試行錯誤を通じて、安心できる生活基盤を守りつつ適度な刺激を取り入れる独自のライフスタイルを確立していきます。
MOON,URANUS,opposition,180,他者との親密な関係と個人の自立性の間で葛藤を抱えやすい性質です。突然の距離感の変化を起こしがちですが、お互いの自由を尊重し合える進歩的な人間関係を築くことで真の安定を得られます。
MOON,NEPTUNE,conjunction,0,極めて繊細な感受性、豊かな想像力、深い共感力を生まれ持っています。境界線が曖昧で影響を受けやすい傾向がありますが、芸術、音楽、癒やし、スピリチュアルな分野で非凡な才能を発揮します。
MOON,NEPTUNE,sextile,60,優しい思いやりと直感力を備えています。人の痛みに寄り添い、自然体で周囲に安らぎを与えることができます。芸術的な感性を日常の暮らしや創作に活かし、心豊かな生活を築きます。
MOON,NEPTUNE,square,90,過剰な感受性や現実逃避、自己欺瞞に陥りやすい傾向を秘めています。傷つきやすさを防ぐために自他の境界線を明確にし、現実的な生活基盤を大切にすることで、本物の慈愛と芸術的才能を開花させます。
MOON,NEPTUNE,trine,120,至高の情緒と豊かなインスピレーションに恵まれた調和的な配置です。純粋な優しさと直感力があり、芸術や人助けを通じて多くの人々に深い癒やしと夢を届ける資質を持ちます。
MOON,NEPTUNE,quincunx,150,日々の生活の現実と、内なる夢や理想の感情との間で違和感を抱えやすい配置です。感覚を大切にしながら、少しずつ現実的な習慣へと落とし込んでいく丁寧なセルフケアを学んでいきます。
MOON,NEPTUNE,opposition,180,他者への過剰な期待や自己犠牲的な献身を通じて情緒を学んでいく性質です。依存関係に気をつければ、人々の苦しみを救う深い慈悲と高い精神性を備えたカウンセラーやアーティストになれます。
MOON,PLUTO,conjunction,0,強烈な感情の深さ、不屈の精神的スタミナ、並外れた自己再生力を生まれ持っています。内なる激しい情念を自己浄化し、精神的な脱皮を繰り返すことで、圧倒的な包容力と洞察力を手に入れます。
MOON,PLUTO,sextile,60,強い精神力と深い洞察力を備えています。物事の本質や人の本音を直感的に見抜く力があり、感情の回復力も抜群です。困難な状況でも動じず、大切な人を力強く守る頼もしさを持ちます。
MOON,PLUTO,square,90,激しい感情の葛藤や執着心、コントロール欲求を秘めています。感情的な危機を経験しやすい傾向がありますが、自らの内なる恐れを手放し、精神的な自己変革を成し遂げることで、底知れぬ強さと深い癒やしの力を獲得します。
MOON,PLUTO,trine,120,卓越した精神的スタミナと深い情愛に恵まれた最強の配置です。どんな心の傷も乗り越える驚異的な再生力があり、誠実で深い人間関係を築きます。心理的な探求や人の心を救う活動で非凡な才能を発揮します。
MOON,PLUTO,quincunx,150,激しい感情の欲求と日々の生活環境との間で緊張感を抱えやすい配置です。極端な思い込みを避け、感情を少しずつ安全な形で解放・浄化していくセルフケアの知恵を身につけていきます。
MOON,PLUTO,opposition,180,他者との感情的な支配・被支配の葛藤を通じて自己を成長させていく性質です。相手を意のままに操ろうとする執着を手放すことで、深い絆を結び、人々の心を根本から変容させる強い影響力を持ちます。
MOON,ASC,conjunction,0,親しみやすさ、柔らかな表情、豊かな感受性が前面に表れる生まれです。感情が表情や雰囲気にストレートに表れ、周囲に安心感と温かさを与えます。人々の気持ちを惹きつける天性の人気運を持ちます。
MOON,ASC,sextile,60,穏やかで気配りのできる人柄と、素直な感情表現力を備えています。初対面でも相手をリラックスさせ、自然体で良好な人間関係を築けます。周囲の協力を得て生活を円満に整える資質があります。
MOON,ASC,square,90,内面の感情と、周囲に見せる印象との間にギャップを感じやすい配置です。気分のムラが表に出て誤解されやすい面もありますが、意識的なセルフコントロールを身につけることで豊かな人間味と個性を確立します。
MOON,ASC,trine,120,生まれながらの愛嬌と優しさが自然と人を惹きつける調和的な配置です。周囲からの好意や支援を無理なく受け取れ、穏やかで幸福な生活環境を自然に整えることができます。
MOON,ASC,quincunx,150,周囲への気遣いや見られ方に過敏になり、自分の感情を素直に出せないもどかしさを抱えやすい配置です。他人の期待に応えすぎず、自然体の自分を表現する適度な距離感を学んでいきます。
MOON,ASC,opposition,180,他者の感情やニーズに非常に敏感で、親密な関係を通じて自己の安心感を求める性質です。相手に依存しすぎない自立心を保つことで、温かく支え合える理想的なパートナーシップを築きます。
MOON,MC,conjunction,0,大衆の感情を掴む才能と、強い人気運を生まれ持っています。人々のニーズを敏感に察知し、共感を集める職業や公の活動で成功を収めます。親しみやすい人柄が社会的な地位や名声を引き寄せます。
MOON,MC,sextile,60,周囲の気持ちを汲み取る細やかな気配りと、良好な社会適応力を備えています。職場の人間関係を円満に保ち、上司や大衆からの支持を得てキャリアを着実に発展させることができます。
MOON,MC,square,90,家庭やプライベートの感情と、仕事上の責任との間で板挟みになりやすい配置です。情緒の揺らぎをコントロールし、公私のバランスを模索することで、人情味あふれる独自のキャリアを築きます。
MOON,MC,trine,120,大衆からの人気と社会的な成功に恵まれた調和的な配置です。温かい人柄が自然と人望を集め、接客、福祉、教育、飲食、芸術などの分野で高い実績と名誉を獲得します。
MOON,MC,quincunx,150,社会的な役割に対する感情的な違和感や疲れを感じやすい配置です。無理に期待に応えようとせず、自分自身の心が安らぐ働き方や生活リズムを丁寧に調整していくことが大切です。
MOON,MC,opposition,180,家庭環境や自らのルーツ、内面的な精神の拠り所を深く大切にする性質です。私生活の充実と心の平安を最優先にすることで、揺るぎない人生の基盤と安心感を確立します。
MERCURY,VENUS,conjunction,0,洗練された言語感覚、美しい表現力、高い社交性を生まれ持っています。言葉遣いが優雅で機知に富み、人を楽しませる会話術に長けています。文筆、デザイン、広報などの分野で才能を開花させます。
