planet,house,テーマ,核となる意味,長所,注意点,対人での出方,仕事での出方,成長のコツ,要約,解釈文
Moon,3,交流と言葉,会話や情報交換で感情が動く,会話力 好奇心 適応力,落ち着きに欠けやすい,話すことで気持ちを整理する,広報 教育 営業 事務に強い,感情を言葉にしすぎず感じる,,
Moon,4,家庭と居場所,家庭や身近な環境が感情の中心,家庭愛 共感力 包容力,内向的 依存的になりやすい,身内に深く情を注ぐ,在宅 基盤支援 福祉分野に向く,安心できる自分の土台を作る,,
Moon,5,喜びと創造,趣味や創造活動で感情が満たされる,明るさ 表現力 遊び心,気分に波が出やすい,楽しい雰囲気を作る,企画 子ども 教育 芸術に向く,評価より純粋な喜びを大切にする,,
Moon,6,奉仕と役割,仕事や役割を果たすことで安心する,責任感 実務力 気配り,心配性 過剰適応,世話やサポートで愛情を示す,事務 医療 支援業務で安定,休むことも役割と考える,,
Moon,7,関係と調和,人との関係性で感情が安定,協調性 社交性 バランス感覚,相手次第で気分が揺れやすい,対話で安心を得る,対人職 交渉 接客に向く,一人でも整う力を育てる,,
Moon,8,深層と絆,強い感情や心理変化を経験,洞察力 忠誠心 精神力,感情の極端さ 執着,深い絆を求める,心理 金融 研究 秘密保持業務に強い,感情を抱え込みすぎない,,
Moon,9,理想と拡大,理想や信念で感情が広がる,楽観性 探求心 精神性,現実逃避しやすい,価値観を共有できる相手を好む,教育 海外 出版分野に向く,理想と日常をつなぐ,,
Moon,10,社会と責任,社会的役割が感情に影響する,責任感 忍耐 信頼性,感情抑制しやすい,しっかり者として見られる,管理職 公務 専門職に向く,弱さも見せる練習をする,,
Moon,11,友情と仲間,友情や仲間が感情の支え,友愛 客観性 協働性,距離が近すぎると疲れやすい,友達感覚で関係を築く,チーム活動 NPO 企画に向く,本音でつながる練習をする,,
Moon,12,共感と無意識,他人の感情に共鳴しやすい,共感力 想像力 受容力,境界が曖昧 感情疲労,相手の気持ちを察しやすい,福祉 芸術 癒やし 研究に向く,境界線と休息を意識する,,
Mercury,1,思考と自己表現,自己表現としての思考力や会話力,発信力 頭の回転の速さ 主体性,話しすぎ せっかち,率直で印象に残る話し方,営業 広報 プレゼンで強み,話す前に整理する,,
Mercury,2,価値と実利思考,お金や価値に関する思考,現実感覚 継続力 判断の堅実さ,考えが保守的になりやすい,落ち着いた説得ができる,経理 企画 資産管理で活躍,柔軟な視点を持つ,,
Mercury,3,知識と情報交換,学習能力や情報交換が強い,学習力 会話力 情報処理力,散漫 表面的になりやすい,軽快にやり取りできる,教育 事務 メディアに向く,知識を体系化する,,
Mercury,4,記憶と内面思考,家族や過去の記憶を大切にする思考,記憶力 内省力 共感的理解,主観的になりやすい,安心できる相手に本音を話す,記録 研究 教育 カウンセリングに向く,感情と事実を分ける,,
Mercury,5,創造と思考表現,創造的思考や表現,表現力 発想力 遊び心,自己主張が強くなりやすい,話に華があり注目される,企画 広告 教育 芸術に向く,人の意見にも耳を傾ける,,
Mercury,6,分析と実務,分析力や実務能力が高い,分析力 正確性 実務力,批判的 完璧主義,細やかに説明し信頼を得る,研究 事務 医療 ITで活躍,全体像を意識する,,
Mercury,7,交渉と対話,対人関係や交渉能力,客観性 交渉力 調整力,優柔不断になりやすい,相手に合わせた会話が得意,交渉 法務 接客 人事に向く,自分の意見を明確に持つ,,
Mercury,8,洞察と深層理解,心理や秘密に関する洞察力,洞察力 集中力 調査力,疑い深さ 深読み,核心を突く会話をする,研究 心理 金融 調査に強い,安心して共有する姿勢を持つ,,
Mercury,9,哲学と高次思考,思想や哲学的思考,視野の広さ 理念 思想性,大ざっぱ 抽象的になりやすい,価値観の話で盛り上がる,教育 出版 研究 海外分野に向く,具体性を補う,,
Mercury,10,社会と戦略思考,仕事や社会戦略に関する思考,戦略性 計画力 判断力,打算的に見られやすい,現実的で頼れる会話をする,経営 管理 企画に向く,結果だけでなく関係も大切にする,,
Mercury,11,未来とアイデア,未来志向のアイデア,独創性 発想力 客観性,突飛になりやすい,ユニークな視点で刺激を与える,IT 企画 開発 コミュニティ活動に向く,実行可能性を高める,,
Mercury,12,直感と想像,直感的で想像力豊かな思考,直感力 想像力 共感的理解,曖昧さ 混乱,言葉少なでも深く伝わる,芸術 研究 福祉 カウンセリングに向く,考えを言語化する習慣を持つ,,
Venus,1,魅力と好感,人から好かれやすく魅力的,愛嬌 美意識 親しみやすさ,受け身や八方美人,自然体で好かれやすい,接客 美容 広報で魅力を活かす,好かれることより自分らしさを大切にする,,
Venus,2,快楽と価値,美や物質的豊かさを好む,安定感 審美眼 豊かさを育てる力,快適さへの執着,穏やかで安心感のある愛情表現,美容 食 金融 アートに向く,所有と愛情を切り分ける,,
Venus,3,会話と軽やかさ,会話や交流で魅力を発揮,会話力 愛想の良さ 好奇心,軽く見られやすい,話しやすく親近感を与える,営業 広報 教育 執筆で活躍,深い関係も丁寧に育てる,,
Venus,4,家庭と愛情,家庭的な愛情,優しさ 包容力 家庭性,身内びいき 依存,安心感を与える関係を築く,住居 福祉 保育 接客に向く,感情的依存を減らす,,
Venus,5,恋愛と楽しみ,恋愛や楽しみが豊か,華やかさ ロマンス 表現力,恋に夢中になりやすい,愛情表現がわかりやすく魅力的,芸術 エンタメ 企画に向く,刺激だけでなく継続も学ぶ,,
Venus,6,奉仕と気配り,相手に尽くす愛情,誠実 気配り 実務的愛情,尽くしすぎ 批判的,面倒見の良さで好かれる,サービス 医療 事務に向く,自分の心地よさも尊重する,,
Venus,7,関係と調和,パートナーシップ重視,対人魅力 協調性 バランス感覚,相手ありきになりやすい,一対一で魅力が最大化する,接客 交渉 法務 デザインに向く,関係の中でも主体性を持つ,,
Venus,8,情念と結びつき,深い愛情や強い魅力,色気 深い愛情 結びつきの強さ,執着 嫉妬,濃密な関係を築きやすい,心理 美容 金融 研究に向く,信頼と手放しを学ぶ,,
Venus,9,理想と愛,理想的な愛情観,寛容さ 理想の高さ 精神性,理想化 現実離れ,価値観を共有する愛を求める,教育 芸術 海外文化に向く,理想を現実に合わせる,,
Venus,10,社会と品格,社会的魅力,品の良さ 信頼感 評価運,外面重視になりやすい,きちんとした印象を与える,広報 管理職 美容 社会的仕事で活躍,肩書より人間性を育てる,,
Venus,11,友情とフラットな愛,友情的な愛情,友愛 平等感覚 個性尊重,距離が近づくと冷めやすい,友達のように自然体で接する,企画 IT コミュニティ活動に向く,感情面も丁寧に扱う,,
Venus,12,献身と無条件の愛,無条件の愛情,共感力 優しさ 受容性,自己犠牲 理想化,静かに深く愛情を注ぐ,福祉 芸術 癒やし分野に向く,境界線を意識する,,
Mars,1,行動と推進力,非常に行動力が強い,決断力 勢い 競争力,短気 衝動性,率先して動くタイプ,営業 スポーツ 起業に向く,勢いの前に目的確認,,
Mars,2,努力と防衛,お金や価値を守るために行動,粘り強さ 実行力 守る力,頑固 所有欲,安定を守るために頑張る,資産形成 現場職 職人仕事に強い,柔軟に方向転換する,,
Mars,3,機動と知的行動,頭脳的行動,反応の速さ 行動力 会話力,焦り 口論,言葉で主導権を取りやすい,営業 物流 IT 事務で活躍,一つずつ着実に進める,,
Mars,4,防衛と家庭,家族を守る行動,保護力 粘り 内なる強さ,感情的対立,身内を守る姿勢が強い,基盤づくり 管理 保守業務に向く,怒りを安全に表現する,,
Mars,5,情熱と創造,創造的行動,情熱 表現力 勝負強さ,自己主張過多,積極的で魅力的,企画 芸術 娯楽 教育で活躍,競争より創造を意識する,,
Mars,6,仕事と実行,仕事にエネルギーを使う,勤勉 実務力 改善力,働きすぎ 神経過敏,頼れる実行役になりやすい,現場 医療 技術 管理で強い,休息も戦略に入れる,,
Mars,7,対立と協働,対人関係で競争,行動力 対人刺激 交渉力,衝突しやすい,刺激的で率直な関係を作る,交渉 営業 法務に向く,争うより協力する方法を学ぶ,,
Mars,8,集中と強意志,強い意志と集中力,集中力 再生力 勇気,執着 極端さ,深い絆と対立が生まれやすい,研究 金融 医療 危機対応に強い,力の使い方を整える,,
Mars,9,冒険と挑戦,冒険的行動,行動力 探求心 開拓精神,無鉄砲 飽きっぽさ,自由で率直な関わり方,海外 教育 出版 企画で活躍,理想を計画に変える,,
Mars,10,野心と達成,社会的成功への行動,野心 忍耐 責任感,仕事優先 攻撃的印象,頼れるが厳しい印象も与える,経営 管理 目標達成型仕事で強い,休息と人間関係を両立する,,
Mars,11,改革と社会行動,社会活動にエネルギー,改革力 行動力 仲間を動かす力,反発 独善,仲間と目標達成に向かう,プロジェクト IT 社会活動に向く,理想を現実的に調整する,,
Mars,12,潜在と内面エネルギー,内面的エネルギー,忍耐 見えない努力 直感的行動,怒りを溜め込みやすい,表立たず支える役割が多い,裏方 研究 福祉 芸術で力を発揮,怒りや欲求を自覚する,,
Jupiter,1,拡大と可能性,人生の可能性が広がる,前向きさ 包容力 発展性,楽観的すぎる,明るく寛大な印象を与える,新規展開 教育 営業で活躍,謙虚さと継続を持つ,,
Jupiter,2,豊かさと安定,収入や物質的拡大,豊かさ 継続力 安定運,甘さ 贅沢,余裕ある関わり方をする,金融 不動産 食分野に向く,浪費を抑え価値を育てる,,
Jupiter,3,学習と交流,学びや情報の拡大,学習運 会話力 発信力,広げすぎて浅くなる,話題豊富で親しみやすい,教育 出版 営業 広報に向く,知識を実践につなげる,,
Jupiter,4,家庭と保護,家庭環境の拡大,包容力 家庭運 安心感,過保護 内向化,面倒見がよく温かい,不動産 福祉 教育に向く,安心の中でも挑戦する,,
Jupiter,5,創造と喜び,創造活動の発展,創造性 楽観性 魅力,遊びすぎ 自己拡大,明るく楽しい関係を築く,企画 芸術 教育 娯楽で成功しやすい,楽しみと責任の均衡を取る,,
Jupiter,6,仕事と技能拡大,仕事や技能の拡大,改善力 奉仕精神 実務運,細かいことに手を広げすぎる,面倒見の良い同僚になりやすい,医療 事務 研究 支援職に向く,健康管理を怠らない,,
Jupiter,7,関係と幸運,良い人間関係に恵まれる,協力運 対人運 寛容さ,相手任せになりやすい,よい縁や支援に恵まれる,交渉 接客 法務 共同事業に向く,自分からも与える姿勢を持つ,,
Jupiter,8,変容と精神成長,深い理解と精神成長,洞察力 再生力 精神性,依存 極端さ,深い信頼関係を築きやすい,金融 心理 研究 相続分野に向く,恐れを学びに変える,,
Jupiter,9,探求と高次学習,哲学や海外運,視野の広さ 学問運 冒険心,理想先行 現実離れ,価値観の広がりを共有する,教育 出版 海外 法律に向く,体験を現実に根づかせる,,
Jupiter,10,成功と社会運,社会的成功,社会運 信頼 目標達成力,評価に依存しやすい,頼られやすく引き立て運がある,経営 管理 専門職で発展しやすい,成功の定義を自分で持つ,,
Jupiter,11,仲間とネットワーク,人脈やコミュニティ拡大,友人運 発想力 協働力,理想過多 広く浅くなりやすい,仲間からチャンスが来やすい,企画 IT 団体活動に向く,人脈を実成果につなげる,,
Jupiter,12,精神と見えない守り,精神的成長,受容力 精神性 直感,受け身 逃避,静かな優しさで支える,福祉 芸術 研究 支援職に向く,内面の豊かさを現実行動に移す,,
Saturn,1,責任と自己確立,自己確立の課題,忍耐力 真面目さ 自制心,自己否定 固さ,慎重で責任感ある印象,管理 専門職で信頼される,少しずつ自信を積む,,
Saturn,2,努力と価値形成,お金や価値に努力,堅実さ 継続力 現実感覚,欠乏感 不安,慎重で無駄のない関わり方,経理 管理 資産形成で強み,不足感より積み上げを見る,,
Saturn,3,学習と伝達の課題,思考や学習の課題,集中力 真面目な学習姿勢 正確さ,言葉への不安 萎縮,慎重で言葉を選ぶ,研究 事務 技術 教育に向く,失敗を恐れず発信する,,
Saturn,4,家庭と基盤責任,家庭責任,責任感 持久力 基盤づくり,心の重さ 孤独感,身内に対して義務感が強い,不動産 管理 福祉に向く,安心を自分で育てる,,
Saturn,5,表現と自信の試練,自己表現の試練,努力型の創造性 誠実さ 持続力,自信不足 楽しめない,慎重で真面目な愛情表現,教育 芸術 訓練職で力を発揮,下手でも表現を続ける,,
Saturn,6,義務と仕事責任,仕事責任,勤勉 実務力 管理能力,働きすぎ 完璧主義,責任感あるサポート役,医療 事務 管理 技術職に強い,休息と効率を両立する,,
Saturn,7,関係と契約責任,関係性の責任,誠実さ 公平感 長期的関係構築,対人不安 重さ,慎重に関係を築く,法務 人事 交渉に向く,対等性を学ぶ,,
Saturn,8,心理と深層課題,深い心理課題,精神力 洞察力 忍耐,恐れ 執着,深い関係で試練が出やすい,研究 金融 心理 危機管理に向く,恐れを言語化して扱う,,
Saturn,9,信念と学びの試練,信念の試練,哲学性 探求の継続力 真面目さ,視野の狭さ 悲観,価値観に厳格さが出やすい,教育 研究 法律に向く,異なる考えを受け入れる,,
Saturn,10,社会と責任,社会責任,責任感 忍耐力 信頼性,重圧 仕事中心,頼られるが近寄りがたく見える,管理職 公務 専門職に強い,成果だけで自己価値を測らない,,
Saturn,11,社会活動と使命,社会活動の責任,使命感 継続力 組織性,孤立 理想の重さ,仲間内で責任を背負いやすい,団体運営 企画 政策に向く,一人で背負いすぎない,,
Saturn,12,内面と精神試練,精神的試練,内省力 忍耐 見えない努力,孤独 罪悪感,本音を隠しやすい,研究 福祉 医療 芸術の裏方に向く,助けを求める勇気を持つ,,
Uranus,1,独立と個性,個性的自己表現,独創性 自立心 変化対応力,落ち着きに欠けやすい,型にはまらない存在感,ベンチャー IT 企画で活躍,独自性を継続力につなげる,,
Uranus,2,価値革命と変化,価値観の変化,柔軟な価値観 改革力 発想力,収入や価値観が不安定になりやすい,既成概念に縛られない,新規事業 IT 金融改革分野に向く,変化の中でも基盤を持つ,,
Uranus,3,情報革命と発想,情報分野革新,発想力 スピード 独自視点,神経過敏 落ち着き不足,刺激的で面白い会話をする,IT メディア 開発 教育に向く,考えを形にする習慣を持つ,,
Uranus,4,家庭改革と自由,家庭の変化,独立心 しがらみを超える力,居場所が不安定,従来の家族観にとらわれない,在宅改革 不動産 テック分野に向く,安心できる基盤を自作する,,
Uranus,5,創造革命と個性,創造的革新,独創性 表現力 ひらめき,飽きやすい 極端,個性的な魅力で惹きつける,企画 芸術 エンタメで新風を起こす,継続して作品化する,,
Uranus,6,仕事改革と合理性,仕事方法革新,改善力 合理性 技術力,組織に馴染みにくい,距離感はあるが有能,IT 研究 業務改善に向く,協調性も少し意識する,,
Uranus,7,関係改革と自由,関係の変化,対等性 独立性 新しい関係観,不安定 離合集散,自由で型破りな関係を作る,共同企画 コンサル 交渉に向く,自由と責任を両立する,,
Uranus,8,心理革命と再生,深層変化,洞察力 変容力 危機対応力,極端さ 落差,濃い関係で突然の変化が起きやすい,研究 心理 金融 危機対応に強い,急変を恐れず整える,,
Uranus,9,思想革命と刷新,思想革新,革新性 自由思想 視野の広さ,過激さ 反発,常識外の視点を共有する,教育 IT 出版 海外分野に向く,異論との対話を学ぶ,,
Uranus,10,社会改革と革新 career,キャリア革命,改革力 独立性 先見性,社会的立場が不安定になりやすい,型破りな実績で注目される,起業 IT 改革型職種に向く,変化の中で信用を積む,,
Uranus,11,未来志向と仲間,未来志向,ネットワーク力 独創性 社会性,理想先行 距離感,フラットな仲間関係を築く,開発 コミュニティ活動 社会改革に向く,理想を実装する,,
Uranus,12,精神革命と解放,精神変化,直感力 解放力 無意識への洞察,落ち着かなさ 現実逃避,つかみどころがないが刺激的,研究 芸術 福祉 裏方改革に向く,静けさの中で心を整える,,
Neptune,1,夢と理想自己,理想的自己像,柔らかさ 共感力 想像力,自己像が曖昧 境界の弱さ,雰囲気で惹きつける,芸術 接客 癒やし分野に向く,自分の輪郭を意識する,,
Neptune,2,幻想と価値観,価値観の理想,審美眼 精神性 優しさ,金銭感覚が曖昧になりやすい,物や価値にロマンを重ねやすい,芸術 美容 福祉に向く,お金と理想を分けて考える,,
Neptune,3,想像と思考,想像力豊かな思考,直感力 詩的感性 共感的理解,混乱 曖昧な伝達,柔らかく感覚的に話す,文章 芸術 福祉 教育に向く,事実確認を習慣化する,,
Neptune,4,感情と共鳴,感情共鳴,包容力 想像力 家族愛,感情の境界が曖昧,居場所への理想が強い,福祉 保育 芸術 在宅支援に向く,安心と現実の線引きをする,,
Neptune,5,芸術と創造夢,芸術的創造,創造力 ロマン 芸術性,理想化 現実逃避,夢見がちで魅惑的,芸術 映像 音楽 表現分野に向く,作品を現実に落とし込む,,
Neptune,6,奉仕と理想労働,理想的奉仕,献身性 共感力 優しさ,自己犠牲 曖昧な役割,尽くしすぎやすい,福祉 医療 癒やしに向く,境界線と実務性を持つ,,
Neptune,7,理想愛と投影,理想的関係,ロマン 共感 愛の深さ,相手を理想化しやすい,献身的で夢のある関係を求める,芸術 接客 カウンセリングに向く,現実の相手を見る,,
Neptune,8,神秘と深層体験,神秘体験,直感力 神秘性 深い癒やし,依存 秘密 混乱,濃密で不思議な縁を引き寄せやすい,心理 芸術 研究 スピリチュアル支援に向く,見えないものを現実検証する,,
Neptune,9,精神探求と理想思想,宗教哲学,精神性 理想 洞察,観念的 逃避,思想や理想でつながる,教育 芸術 海外 支援活動に向く,学びを生活に落とす,,
Neptune,10,理想社会と使命感,社会理想,ビジョン 共感的影響力 夢を示す力,評価が不安定 曖昧さ,柔らかい影響力を与える,芸術 福祉 映像 広報で活躍,理想を具体的計画にする,,
Neptune,11,博愛と共同幻想,理想社会思想,博愛精神 想像力 共感的ネットワーク,理想過多 境界の曖昧さ,誰とでもつながろうとする,NPO 芸術 共同プロジェクトに向く,現実的な仲間選びをする,,
Neptune,12,神秘と精神共鳴,精神的共鳴,深い共感 受容力 霊感的直感,現実逃避 自己喪失,静かに相手を癒やす,福祉 芸術 研究 療養支援に向く,休息と境界を最優先する,,
Pluto,1,変革と自己再生,人格の大変化,存在感 再生力 意志の強さ,強圧的 極端,強烈な印象を与えやすい,改革 危機対応 経営に向く,力を支配でなく再生に使う,,
Pluto,2,価値変革と執着,価値観変化,資源力 粘り 強い生存力,執着 支配欲,所有や安心に強いこだわりが出やすい,金融 経営 資産再編に向く,失う怖さを越える,,
Pluto,3,思考変革と影響力,知識革命,洞察力 言葉の力 集中力,言葉が強すぎる 極端思考,核心を突き相手を動かす,研究 執筆 調査 戦略分野に向く,影響力の使い方を整える,,
Pluto,4,家庭変革と根源再生,家庭構造変化,根強さ 再建力 深い感情,家族問題の重さ 過干渉,身内との絆が濃くなりやすい,不動産 福祉 再建業務に向く,過去を力に変える,,
Pluto,5,創造変革と再生表現,創造力の再生,創造力 カリスマ 勝負強さ,支配的 承認欲求の極端さ,恋愛や表現が濃密になりやすい,芸術 企画 エンタメで強い影響力,楽しみの中に手放しを入れる,,
Pluto,6,改革と徹底改善,仕事改革,改善力 集中力 徹底力,完璧主義 支配的,厳しくも頼れる存在になる,医療 研究 管理 再編業務に向く,緩める力を持つ,,
Pluto,7,関係変革と再構築,関係の再構築,深い結びつき 変容力 交渉力,支配と依存の問題,出会いが人生を大きく変えやすい,交渉 法務 コンサルに向く,対等な関係を学ぶ,,
Pluto,8,再生と極限変容,完全変容,再生力 洞察力 精神力,極端さ 秘密主義,深い絆と大きな転機を経験しやすい,金融 心理 研究 危機管理に最適,壊すだけでなく再生を意識する,,
Pluto,9,思想変革と信念再編,信念革命,影響力 思想力 探求力,狂信 押しつけ,強い信念で人を動かす,教育 出版 法律 研究に向く,異なる価値観を尊重する,,
Pluto,10,権力と社会的変容,社会的力,統率力 影響力 再建力,権力闘争 支配性,圧のある存在として見られやすい,経営 政治 管理 再編で力を発揮,権力を責任と結びつける,,
Pluto,11,社会革命と集団変革,社会改革,改革力 結集力 未来志向,過激さ 分断,仲間や集団に強い影響を与える,社会運動 IT 組織改革に向く,理想と人間性の両立を図る,,
Pluto,12,精神再生と無意識変容,精神変容,深層洞察 癒やし力 再生力,無意識の重さ 孤立,見えない部分で強く影響する,研究 芸術 福祉 心理支援に向く,内面の影を自覚して統合する,,
