Event_Type,Planet,Natal_Planet,House,Sign,Aspect_Angle,Category,Description,Priority,Active_Flag
solar_house_ingress,MERCURY,,4,,,,水星が第4ソーラーハウスに入り、家族や身近な人との対話、住まいに関する情報整理がスムーズに進む時期です。自宅での読書や勉強、暮らしの計画を練るのに向いています。,10,1
solar_house_ingress,MERCURY,,5,,,,水星が第5ソーラーハウスに入り、創造的なアイデアや趣味の企画、自己表現が冴え渡る時期です。ユニークな発想を形にしたり、楽しい話題で人を惹きつけるのに適しています。,10,1
solar_house_ingress,MERCURY,,6,,,,水星が第6ソーラーハウスに入り、事務処理やスケジュール管理、健康情報の見直しが捗る時期です。細部にまで気を配り、日々の業務フローを効率化させましょう。,10,1
solar_house_ingress,MERCURY,,7,,,,水星が第7ソーラーハウスに入り、一対一の対話や交渉、相談事が実りやすい時期です。相手の意見を丁寧に聞き、建設的なコミュニケーションを通じて信頼関係を築けます。,10,1
solar_house_ingress,MERCURY,,8,,,,水星が第8ソーラーハウスに入り、深い調査や専門的な研究、本音でのやり取りに適した時期です。表面的な情報にとらわれず、物事の真相や心理を深く読み解くのに向いています。,10,1
solar_house_ingress,MERCURY,,9,,,,水星が第9ソーラーハウスに入り、高度な学問や異文化、語学学習への探求心が高まる時期です。視野を広げる新しい知識の吸収や、旅行・資格取得の計画を立てるのに最適です。,10,1
solar_house_ingress,MERCURY,,10,,,,水星が第10ソーラーハウスに入り、仕事上のプレゼンや提案、公式な連絡において手腕を発揮できる時期です。的確な判断と明瞭な説明で、社会的な信頼を高められます。,10,1
solar_house_ingress,MERCURY,,11,,,,水星が第11ソーラーハウスに入り、仲間との意見交換や未来に向けたアイデア出しが盛り上がる時期です。ネットワークを広げ、多様な価値観に触れて知見を深めましょう。,10,1
solar_house_ingress,MERCURY,,12,,,,水星が第12ソーラーハウスに入り、内省や直感的な思考、静かな学びに向いている時期です。頭の中を整理して日記を書いたり、瞑想や芸術に親しんで心を休めましょう。,10,1
natal_house_ingress,MERCURY,,1,,,,水星がネイタル第1ハウスに入り、知的な魅力やフットワークの軽さが前面に出てくる時期です。自分の意見を積極的に発言し、興味のある分野へ迅速に飛び込んでいきましょう。,10,1
natal_house_ingress,MERCURY,,2,,,,水星がネイタル第2ハウスに入り、経済的な計画や実務スキルの向上に知性が活かされる時期です。具体的な資金管理や資格取得など、実践的な知識の習得に励むと吉です。,10,1
natal_house_ingress,MERCURY,,3,,,,水星がネイタル第3ハウスに入り、知的好奇心と発信力が最高潮に達する時期です。短時間の移動や日常的な連絡が頻繁になり、有益な情報交換が活発に行われます。,10,1
natal_house_ingress,MERCURY,,4,,,,水星がネイタル第4ハウスに入り、家族や信頼できる仲間との話し合いが深まる時期です。落ち着いた環境で本音を語り合い、住まいや生活のルールを見直すのに適しています。,10,1
natal_house_ingress,MERCURY,,5,,,,水星がネイタル第5ハウスに入り、クリエイティブな表現力やウィットに富んだ会話力が輝く時期です。文章を書くことやゲーム・企画作りなど、知的な遊びを存分に楽しみましょう。,10,1
natal_house_ingress,MERCURY,,6,,,,水星がネイタル第6ハウスに入り、実務作業の分析やタスク管理の精度が飛躍的に高まる時期です。生活習慣や仕事の手順を論理的に見直し、無駄を削ぎ落としましょう。,10,1
natal_house_ingress,MERCURY,,7,,,,水星がネイタル第7ハウスに入り、パートナーや仕事相手との対話がスムーズに進む時期です。率直かつ思いやりのあるコミュニケーションで、互いの理解を深められます。,10,1
natal_house_ingress,MERCURY,,8,,,,水星がネイタル第8ハウスに入り、心理学や資産管理など、深い領域の知識に没頭できる時期です。秘密や専門分野の徹底的なリサーチにおいて大きな成果が得られます。,10,1
natal_house_ingress,MERCURY,,9,,,,水星がネイタル第9ハウスに入り、思想や哲学、海外の情報に関心が向く視野拡大の時期です。高い視点から物事を捉え、未来の可能性を広げる学びを深めていきましょう。,10,1
natal_house_ingress,MERCURY,,10,,,,水星がネイタル第10ハウスに入り、ビジネス上の発信や交渉で周囲をリードできる時期です。論理的な説明と迅速な対応が評価され、キャリア面での信頼が大きく向上します。,10,1
natal_house_ingress,MERCURY,,11,,,,水星がネイタル第11ハウスに入り、友人や同じ目標を持つ仲間との議論が活発化する時期です。オンラインコミュニティやサークル活動で情報共有を進めると好展開が期待できます。,10,1
natal_house_ingress,MERCURY,,12,,,,水星がネイタル第12ハウスに入り、無意識のアイデアやインスピレーションを言語化しやすい時期です。静かな環境で思考を深め、創作活動や心身のデトックスに充てましょう。,10,1
solar_house_ingress,VENUS,,1,,,,金星が第1ソーラーハウスに入り、あなたの魅力や親しみやすさが自然と周囲を引きつける華やかな時期です。ファッションや美容を楽しみ、笑顔で好印象を与えましょう。,10,1
solar_house_ingress,VENUS,,2,,,,金星が第2ソーラーハウスに入り、金運や物質的な豊かさに恵まれやすい心地よい時期です。美しいものに触れて感性を満たし、本当に価値あるものへの投資を意識しましょう。,10,1
solar_house_ingress,VENUS,,3,,,,金星が第3ソーラーハウスに入り、親しみやすい会話や心地よい交流が広がる時期です。SNSでの発信や身近な人への連絡、趣味の学びに楽しみを見出せるでしょう。,10,1
solar_house_ingress,VENUS,,4,,,,金星が第4ソーラーハウスに入り、インテリアや模様替え、家族との団らんが心を満たす時期です。安心できる居場所を美しく快適に整え、くつろぎの時間を味わいましょう。,10,1
solar_house_ingress,VENUS,,5,,,,金星が第5ソーラーハウスに入り、恋愛運や創作意欲が最高潮に高まる華やかな時期です。自分の好きなことに没頭し、ワクワクする楽しみや愛情を素直に表現しましょう。,10,1
solar_house_ingress,VENUS,,6,,,,金星が第6ソーラーハウスに入り、職場環境の改善や同僚との良好な関係づくりが進む時期です。健康や美容のケアを日々の習慣に取り入れ、心地よく働きましょう。,10,1
solar_house_ingress,VENUS,,7,,,,金星が第7ソーラーハウスに入り、パートナーシップや対人関係に温かい調和がもたらされる幸運期です。互いに思いやりを持って接することで、素敵なご縁や絆が深まります。,10,1
solar_house_ingress,VENUS,,8,,,,金星が第8ソーラーハウスに入り、深い信頼関係や共有する財産・ギフトに恵まれやすい時期です。特定の人と心を通わせ、濃密で特別な時間を分かち合えるでしょう。,10,1
solar_house_ingress,VENUS,,9,,,,金星が第9ソーラーハウスに入り、旅行や異文化体験、芸術的な探求に心惹かれる時期です。日常を離れて美しい景色や高尚な文化に触れ、感性を豊かに広げましょう。,10,1
solar_house_ingress,VENUS,,10,,,,金星が第10ソーラーハウスに入り、仕事上の魅力や好感度が高まり、周囲からの引き立てを受けやすい時期です。洗練された立ち振る舞いで、社会的な評価を高められます。,10,1
solar_house_ingress,VENUS,,11,,,,金星が第11ソーラーハウスに入り、趣味のサークルや友人との楽しい集まりに恵まれる時期です。利害を超えた心地よいネットワークを広げ、未来の希望を語り合いましょう。,10,1
solar_house_ingress,VENUS,,12,,,,金星が第12ソーラーハウスに入り、静かでロマンチックな時間を楽しんだり、心を癒やすのに適した時期です。一人の時間に好きな音楽やアートに浸り、愛と優しさを充電しましょう。,10,1
natal_house_ingress,VENUS,,1,,,,金星がネイタル第1ハウスに入り、あなたの持つ本来の魅力や優美さが輝く時期です。第一印象が良くなり、周囲からの好意や人気を集めやすくなります。,10,1
natal_house_ingress,VENUS,,2,,,,金星がネイタル第2ハウスに入り、金運や豊かさを引き寄せる力が強まる時期です。自分のセンスを活かした収入源を見つけたり、質の良い買い物を楽しめます。,10,1
natal_house_ingress,VENUS,,3,,,,金星がネイタル第3ハウスに入り、周囲とのやり取りに愛嬌とユーモアが生まれる時期です。フランクな会話から良い情報や楽しい約束が生まれやすくなります。,10,1
natal_house_ingress,VENUS,,4,,,,金星がネイタル第4ハウスに入り、家庭内での愛情や住まいへの愛着が深まる時期です。居心地の良い空間づくりにこだわり、身近な人と穏やかな幸せを分かち合えます。,10,1
natal_house_ingress,VENUS,,5,,,,金星がネイタル第5ハウスに入り、ドラマチックな恋愛やクリエイティブな才能の開花が期待できる時期です。自分を思い切り表現し、人生の喜びを謳歌しましょう。,10,1
natal_house_ingress,VENUS,,6,,,,金星がネイタル第6ハウスに入り、日々の業務やルーティンが楽しくスムーズに運ぶ時期です。健康的な美しさを意識したセルフケアが大きな効果を発揮します。,10,1
natal_house_ingress,VENUS,,7,,,,金星がネイタル第7ハウスに入り、恋愛や結婚、ビジネスパートナーとの関係に最高のご縁がもたらされる時期です。誠実な対話が深い調和を生み出します。,10,1
natal_house_ingress,VENUS,,8,,,,金星がネイタル第8ハウスに入り、他者からの援助や遺産、深い精神的結びつきに恵まれる時期です。大切な相手と心を開いて向き合い、絆を確固たるものにしましょう。,10,1
natal_house_ingress,VENUS,,9,,,,金星がネイタル第9ハウスに入り、海外旅行や専門的な美学の学びに心躍る時期です。視野を大きく広げ、自分自身の精神性を高める素晴らしい体験に出会えます。,10,1
natal_house_ingress,VENUS,,10,,,,金星がネイタル第10ハウスに入り、あなたのプロフェッショナルな魅力が広く認められる時期です。周囲からの好意的な支援を得て、キャリアアップを実現しやすくなります。,10,1
natal_house_ingress,VENUS,,11,,,,金星がネイタル第11ハウスに入り、気の置けない仲間との友情や社交が充実する時期です。同じ価値観を持つ人たちと楽しく過ごし、温かい輪を広げていきましょう。,10,1
natal_house_ingress,VENUS,,12,,,,金星がネイタル第12ハウスに入り、秘めた愛情や精神的な癒やしを大切にしたい時期です。静かな場所で心を休め、見返りを求めない優しさを育みましょう。,10,1
solar_house_ingress,MARS,,1,,,,火星が第1ソーラーハウスに入り、強いエネルギーとチャレンジ精神が湧き上がる時期です。迷わず先頭に立って行動を起こし、自分の力で新たな道を切り拓きましょう。,10,1
solar_house_ingress,MARS,,2,,,,火星が第2ソーラーハウスに入り、収入アップや欲しいものを手に入れるための意欲が高まる時期です。積極的な経済活動に挑むとともに、衝動買いには注意しましょう。,10,1
solar_house_ingress,MARS,,3,,,,火星が第3ソーラーハウスに入り、知的好奇心と行動力が直結し、スピーディーに動ける時期です。議論や意見表明に熱が入りやすいため、前向きな情報発信を心がけましょう。,10,1
solar_house_ingress,MARS,,4,,,,火星が第4ソーラーハウスに入り、住まいの改修や大掃除、家族に関する懸案事項に熱心に取り組む時期です。感情の摩擦に気をつけつつ、暮らしの基盤を力強く整えましょう。,10,1
solar_house_ingress,MARS,,5,,,,火星が第5ソーラーハウスに入り、クリエイティブな表現やスポーツ、恋愛において情熱的な推進力が湧く時期です。恐れずに自己アピールを行い、心躍る挑戦を楽しみましょう。,10,1
solar_house_ingress,MARS,,6,,,,火星が第6ソーラーハウスに入り、実務作業の処理能力やタスク遂行力が高まる時期です。ワーカホリックや過労に気をつけながら、効率的なワークスタイルを確立しましょう。,10,1
solar_house_ingress,MARS,,7,,,,火星が第7ソーラーハウスに入り、対人関係やパートナーシップで積極的な交渉や本音の対話が促される時期です。対立を恐れず、互いの意志を尊重した協力関係を築きましょう。,10,1
solar_house_ingress,MARS,,8,,,,火星が第8ソーラーハウスに入り、共有資産の整理や特定の相手との深い関係性に強い情熱が注がれる時期です。徹底的な集中力を発揮し、本質的な課題の解決に挑みましょう。,10,1
solar_house_ingress,MARS,,9,,,,火星が第9ソーラーハウスに入り、未知の分野への挑戦や遠方への冒険、高度な学びへの意欲が燃え上がる時期です。高い目標を掲げ、情熱を持ってステップアップを図りましょう。,10,1
solar_house_ingress,MARS,,10,,,,火星が第10ソーラーハウスに入り、仕事やキャリアでの野心が高まり、リーダーシップを発揮できる勝負の時期です。責任を持って果敢に行動し、確かな実績を勝ち取りましょう。,10,1
solar_house_ingress,MARS,,11,,,,火星が第11ソーラーハウスに入り、仲間とのプロジェクトや社会活動を牽引するパワーに恵まれる時期です。未来志向のビジョンに向かって、周囲を巻き込みながら前進しましょう。,10,1
solar_house_ingress,MARS,,12,,,,火星が第12ソーラーハウスに入り、水面下の準備や心身のデトックスにエネルギーを使うべき時期です。無理な行動は控え、内面と向き合って次のサイクルへの活力を蓄えましょう。,10,1
natal_house_ingress,MARS,,1,,,,火星がネイタル第1ハウスに入り、圧倒的なバイタリティと行動力で自ら道を切り拓いていける時期です。主体性を存分に発揮し、新しい挑戦をスタートさせましょう。,10,1
natal_house_ingress,MARS,,2,,,,火星がネイタル第2ハウスに入り、稼ぐ力や欲しいものを手に入れる行動力が刺激される時期です。経済基盤を強化するための積極的なアクションが実を結びます。,10,1
natal_house_ingress,MARS,,3,,,,火星がネイタル第3ハウスに入り、情報収集やスキルアップ、迅速なコミュニケーションが捗る時期です。鋭い知性を活かして周囲に意見を明確に伝えましょう。,10,1
natal_house_ingress,MARS,,4,,,,火星がネイタル第4ハウスに入り、住環境の整備や身内を守るための行動にエネルギーが注がれる時期です。家族への配慮を忘れずに、安心できる居場所を強化しましょう。,10,1
natal_house_ingress,MARS,,5,,,,火星がネイタル第5ハウスに入り、趣味や恋愛、創作活動に対する情熱が爆発的に高まる時期です。自分の好きを全力でアピールし、ドラマチックな体験を掴み取りましょう。,10,1
natal_house_ingress,MARS,,6,,,,火星がネイタル第6ハウスに入り、業務改善やトレーニング、健康管理にストイックに取り組める時期です。ペース配分を意識しながら、日々の課題を確実に片付けましょう。,10,1
natal_house_ingress,MARS,,7,,,,火星がネイタル第7ハウスに入り、他者との関係において積極的なアプローチや議論が活発化する時期です。切磋琢磨できる良きライバルやパートナーシップが育ちます。,10,1
natal_house_ingress,MARS,,8,,,,火星がネイタル第8ハウスに入り、深く関わる案件や絆において妥協なき変容を遂げられる時期です。集中して課題の根本に切り込み、ブレイクスルーを果たしましょう。,10,1
natal_house_ingress,MARS,,9,,,,火星がネイタル第9ハウスに入り、専門知識の修得や遠方への挑戦に向けてダイナミックに動ける時期です。大きな視野を持って未知の世界を切り拓いていきましょう。,10,1
natal_house_ingress,MARS,,10,,,,火星がネイタル第10ハウスに入り、キャリア面で勝負をかけ、大きな成果を勝ち取れる勝負期です。強い意志と実行力で周囲を牽引し、社会的地位を築きましょう。,10,1
natal_house_ingress,MARS,,11,,,,火星がネイタル第11ハウスに入り、同志と協力して社会的な改革や新しいコミュニティ活動を推進できる時期です。同じ志を持つ仲間と共に理想を形にしていきましょう。,10,1
natal_house_ingress,MARS,,12,,,,火星がネイタル第12ハウスに入り、見えないところで努力を重ね、内面の葛藤を克服していく充電の時期です。焦りを手放し、静かに戦略を練るのに適しています。,10,1
solar_house_ingress,JUPITER,,1,,,,木星が第1ソーラーハウスに入り、あなたの存在感や可能性が大きく広がる大幸運期の到来です。前向きな自信に満ち、新しい人生のステージへ大胆に踏み出しましょう。,10,1
solar_house_ingress,JUPITER,,2,,,,木星が第2ソーラーハウスに入り、金運や財政基盤の発展、新たな収入のチャンスに恵まれやすい時期です。自分の才能を惜しみなく発揮し、豊かな実りを受け取りましょう。,10,1
solar_house_ingress,JUPITER,,3,,,,木星が第3ソーラーハウスに入り、知的好奇心や人脈、学びの機会が豊かに広がる時期です。SNSや身近なネットワークを通じて、有益で前向きな情報が次々と集まります。,10,1
solar_house_ingress,JUPITER,,4,,,,木星が第4ソーラーハウスに入り、家庭環境や心の拠り所、住まいに温かな恩恵がもたらされる時期です。家族との関係が円満になり、安心できる土台がより強固になります。,10,1
solar_house_ingress,JUPITER,,5,,,,木星が第5ソーラーハウスに入り、創造的な才能の開花や恋愛、自己表現に素晴らしい追い風が吹く時期です。心から楽しめることに情熱を注ぎ、自己の魅力を大いに発揮しましょう。,10,1
solar_house_ingress,JUPITER,,6,,,,木星が第6ソーラーハウスに入り、職場環境や業務プロセスの改善、健康増進に恵まれた発展がある時期です。周囲への貢献や日々の積み重ねが、大きな充実感につながります。,10,1
solar_house_ingress,JUPITER,,7,,,,木星が第7ソーラーハウスに入り、パートナーシップや重要な人間関係において素晴らしい良縁と発展がもたらされる幸運期です。互いを高め合える関係性を築きましょう。,10,1
solar_house_ingress,JUPITER,,8,,,,木星が第8ソーラーハウスに入り、他者からの強力なサポートや共有財産の拡大、精神的な深い変容に恵まれる時期です。大切な絆を信じて受け入れることで豊かさが倍増します。,10,1
solar_house_ingress,JUPITER,,9,,,,木星が第9ソーラーハウスに入り、高等教育や専門資格、海外進出や出版など、高い目標へ向かって無限の可能性が広がる時期です。前向きな探求心で未知の世界を旅しましょう。,10,1
solar_house_ingress,JUPITER,,10,,,,木星が第10ソーラーハウスに入り、社会的評価やキャリアにおける最大のサクセス期を迎える時期です。リーダーシップを発揮し、大きな目標達成に向けて飛躍を遂げましょう。,10,1
solar_house_ingress,JUPITER,,11,,,,木星が第11ソーラーハウスに入り、素晴らしい仲間やコミュニティに恵まれ、未来へのビジョンが実現へ向かう時期です。多くの人と協力し、大きな理想を形にしていきましょう。,10,1
solar_house_ingress,JUPITER,,12,,,,木星が第12ソーラーハウスに入り、目に見えない守護や精神的な癒やし、心のデトックスに恵まれる時期です。内省を通じて魂を充電し、次の大いなるサイクルに備えましょう。,10,1
natal_house_ingress,JUPITER,,1,,,,木星がネイタル第1ハウスに入り、12年に一度の自己拡大と発展のサイクルが始まります。ポジティブな自己変革を恐れず、新しい挑戦へ大胆に一歩を踏み出しましょう。,10,1
natal_house_ingress,JUPITER,,2,,,,木星がネイタル第2ハウスに入り、物質的な豊かさや自己の潜在能力が大きく開花する時期です。培ってきたスキルを活かして、長期的な豊かさの基盤を築きましょう。,10,1
natal_house_ingress,JUPITER,,3,,,,木星がネイタル第3ハウスに入り、知性の広がりや人脈の拡大、有益な発信の機会に恵まれる時期です。身近な情報交換から思いがけない幸運の種が芽吹きます。,10,1
natal_house_ingress,JUPITER,,4,,,,木星がネイタル第4ハウスに入り、家庭環境や心の安全基地に大きな祝福がもたらされる時期です。住居の充実や家族との絆の深まりを通じて、心の安らぎを得られます。,10,1
natal_house_ingress,JUPITER,,5,,,,木星がネイタル第5ハウスに入り、恋愛やクリエイティブ活動、趣味の世界で大いなる喜びを味わえる時期です。遊び心を全開にして、人生の楽しさを謳歌しましょう。,10,1
natal_house_ingress,JUPITER,,6,,,,木星がネイタル第6ハウスに入り、日々の仕事のやりがいや健康管理が好転し、実りある生活リズムが整う時期です。誠実な働きが周囲からの確固たる信頼を集めます。,10,1
natal_house_ingress,JUPITER,,7,,,,木星がネイタル第7ハウスに入り、人生を豊かに彩るパートナーや支援者との出会いに恵まれる時期です。互いの自由と成長を尊重し合う素晴らしい関係が育ちます。,10,1
natal_house_ingress,JUPITER,,8,,,,木星がネイタル第8ハウスに入り、共同事業や資産の継承、深い心理的絆において恩恵を受ける時期です。他者と深く交わることで、自分自身の器を大きく広げられます。,10,1
natal_house_ingress,JUPITER,,9,,,,木星がネイタル第9ハウスに入り、精神的な成長や人生観を刷新するような学び・旅の機会に恵まれる時期です。大きな視野を持って自身の可能性にチャレンジしましょう。,10,1
natal_house_ingress,JUPITER,,10,,,,木星がネイタル第10ハウスに入り、キャリアの頂点を極め、社会的な名誉や成果を手にする絶好の時期です。自信を持って表舞台に立ち、実績を積み上げましょう。,10,1
natal_house_ingress,JUPITER,,11,,,,木星がネイタル第11ハウスに入り、志の高い仲間や新しいネットワークを通じて希望の光が差し込む時期です。未来に向けたプロジェクトが大きく前進します。,10,1
natal_house_ingress,JUPITER,,12,,,,木星がネイタル第12ハウスに入り、内なる安らぎとスピリチュアルな成長に守られる慈愛の時期です。過去のこだわりを手放し、心身を深く癒やして充電しましょう。,10,1
solar_house_ingress,SATURN,,1,,,,土星が第1ソーラーハウスに入り、自分自身の生き方や人格を鍛え直し、確固たる自己を確立する時期です。地道な努力を重ねて、揺るぎない自信と信頼を培いましょう。,10,1
solar_house_ingress,SATURN,,2,,,,土星が第2ソーラーハウスに入り、財政基盤の見直しや経済的な自立を確立するための堅実な時期です。無駄を省き、長期的に安定した資産形成に注力しましょう。,10,1
solar_house_ingress,SATURN,,3,,,,土星が第3ソーラーハウスに入り、実践的な知識の習得や規律あるコミュニケーションが求められる時期です。曖昧さを排し、論理的で正確な対話を心がけましょう。,10,1
solar_house_ingress,SATURN,,4,,,,土星が第4ソーラーハウスに入り、家庭の責任や生活基盤の根本的な立て直しに向き合う時期です。じっくりと時間をかけて、長く安心できる強固な土台を築きましょう。,10,1
solar_house_ingress,SATURN,,5,,,,土星が第5ソーラーハウスに入り、創造的な活動や趣味においてプロ意識を持って取り組むべき時期です。単なる楽しみに留まらず、本物の技術や表現力を磨き上げましょう。,10,1
solar_house_ingress,SATURN,,6,,,,土星が第6ソーラーハウスに入り、労働環境や日々の職務、健康管理に対して真摯な規律が求められる時期です。地道な改善と体調管理を徹底し、持続可能なワークスタイルを築きましょう。,10,1
solar_house_ingress,SATURN,,7,,,,土星が第7ソーラーハウスに入り、パートナーシップや重要な契約において長期的な責任と信頼が試される時期です。誠実に向き合い、互いを支え合える確固たる絆を育てましょう。,10,1
solar_house_ingress,SATURN,,8,,,,土星が第8ソーラーハウスに入り、税金やローン、共有財産や深い精神的契約の整理に向き合う時期です。感情に流されず、現実的な観点から本質的な信頼関係を再構築しましょう。,10,1
solar_house_ingress,SATURN,,9,,,,土星が第9ソーラーハウスに入り、専門知識の体系的な学習や資格取得など、実践的な学びを深める時期です。高い目標に向かって粘り強く取り組み、本物の教養を身につけましょう。,10,1
solar_house_ingress,SATURN,,10,,,,土星が第10ソーラーハウスに入り、キャリアや社会的立場において集大成となる責任を果たす時期です。重圧を乗り越えて堅実な実績を上げ、確固たる地位を確立しましょう。,10,1
solar_house_ingress,SATURN,,11,,,,土星が第11ソーラーハウスに入り、友人関係や所属するグループの質を見直し、真の仲間を選別する時期です。長期的なビジョンを共有できる信頼のネットワークを築きましょう。,10,1
solar_house_ingress,SATURN,,12,,,,土星が第12ソーラーハウスに入り、過去の未解決な問題や心理的なブロックと向き合い、根本的な清算を行う時期です。静かに自分を省み、次の人生サイクルのための土台を整えましょう。,10,1
natal_house_ingress,SATURN,,1,,,,土星がネイタル第1ハウスに入り、約30年サイクルの新たな自己構築が始まります。自分自身に責任を持ち、成熟した大人として揺るぎない土台を築き上げていきましょう。,10,1
natal_house_ingress,SATURN,,2,,,,土星がネイタル第2ハウスに入り、金銭管理の規律や真の自己価値を確立するための試練と構築の時期です。無駄を削ぎ落とし、地に足のついた収入基盤を固めましょう。,10,1
natal_house_ingress,SATURN,,3,,,,土星がネイタル第3ハウスに入り、実践的な学習や正確な意思伝達のスキルを鍛え上げる時期です。曖昧な思考を整理し、論理的で説得力のあるコミュニケーションを身につけましょう。,10,1
