ヘッド星座,ヘッドハウス,テール星座,テールハウス,要約,解釈文,注意点,伸ばすテーマ,成長のコツ,仕事での出方,対人での出方,優先度,タグ
Aries,11,Libra,5,承認欲求から未来行動へ向かう軸,個人的な注目や評価にこだわるより理想のために先頭で動くことが成長につながります,注目されたい気持ちへの固着,理想を自分から実行すること,自己表現を社会的行動へつなげる,コミュニティ運営で活躍しやすい,仲間の中で率先行動が信頼になる,96,成長軸|理想|行動
Aries,12,Libra,6,整いすぎた実務から内的衝動へ向かう軸,義務や整った役割に縛られすぎず内なる衝動や直感に従って新しい一歩を踏み出すことが課題です,役割に合わせすぎること,内面の衝動を信じて動くこと,日常を保ちながら魂の声を無視しない,創作や研究分野でひらめきが活きる,精神的理解のある関係が支えになる,95,成長軸|直感|精神
Taurus,1,Scorpio,7,他者への緊張から自己安定へ戻る軸,関係の中で揺さぶられすぎず自分の内側に安心と安定感を築くことが重要なテーマです,相手に感情を握られること,自分のペースと安心を育てること,深さよりまず安定を作る,堅実な自己管理で力を発揮,安心できる関係ほど育ちやすい,100,成長軸|安定|自己価値
Taurus,2,Scorpio,8,危機意識から持続価値へ向かう軸,失う不安や極端な執着を手放し持続可能な価値と資産を地道に育てることが課題です,不安から握りしめること,落ち着いて価値を積み上げること,深さを否定せず安定へ変換する,金融管理や蓄積型分野で伸びやすい,安心感が信頼を育てる,100,成長軸|資産|安定
Taurus,3,Scorpio,9,極端な信念から具体的理解へ向かう軸,深読みや思い込みに偏りすぎず身近な事実を丁寧に理解し言葉にすることが成長につながります,極端な解釈や決めつけ,具体的に学び対話すること,深さを保ちながら平易に伝える,教育や情報整理で活躍しやすい,穏やかな会話が関係を安定させる,96,成長軸|知性|対話
Taurus,4,Scorpio,10,支配不安から安心基盤へ向かう軸,社会的緊張やコントロール欲に振り回されず心身が落ち着ける基盤を作ることが大切です,権威や緊張に支配されること,穏やかな生活基盤を育てること,社会性より安心の土台を整える,生活産業や不動産分野で安定しやすい,家族関係で安心を学ぶ,96,成長軸|家庭|安心
Taurus,5,Scorpio,11,過激な理想から穏やかな喜びへ向かう軸,大義や集団の緊張に飲まれすぎず自分が心地よく喜べる創造や楽しみを育てることがテーマです,過剰な使命感や集団緊張,五感で楽しめる創造を育てること,理想と喜びを切り離さず両立する,芸術や文化分野で力を出しやすい,安心できる恋愛が成長を促す,95,成長軸|創造|喜び
Taurus,6,Scorpio,12,混沌から整った日常へ向かう軸,感情の混乱や見えない不安に飲まれず日常習慣を整えて安心を作ることが課題です,曖昧な不安に囚われること,地道な習慣と身体感覚を育てること,心の深さを具体的生活に落とす,実務やケア分野で伸びやすい,穏やかな支え合いが鍵,96,成長軸|習慣|安定
Taurus,7,Scorpio,1,自己防衛から信頼関係へ向かう軸,一人で抱え込みすぎる防衛を手放し安心できる対等な関係を築くことが重要です,警戒心から閉じること,穏やかな信頼関係を育てること,自分を守りつつ相手も信じる,長期的パートナーシップで成長しやすい,安心が愛情を深める,100,成長軸|対人|信頼
Taurus,8,Scorpio,2,所有執着から共有安定へ向かう軸,自分だけで抱え込む傾向を緩め他者との共有の中で持続可能な安心を作ることが人生課題です,所有や感情を握ること,共有の中で安心を育てること,手放すほど価値が育つ感覚を学ぶ,共同資産や研究分野で活躍しやすい,深い信頼関係が鍵,100,成長軸|共有|信頼
Taurus,9,Scorpio,3,秘密主義から穏やかな信念へ向かう軸,疑いや極端な深読みを手放し自分にとって安心できる信念をゆっくり育てることが大切です,秘密主義や疑い深さ,信念を穏やかに育てること,深さを失わず安定した世界観を作る,教育や思想分野で落ち着いた力を発揮,安心して語れる関係が育つ,96,成長軸|信念|安定
Taurus,10,Scorpio,4,感情の密閉から堅実な成功へ向かう軸,内面にこもる感情や家系的緊張に引きずられず堅実に社会的成果を築くことが成長につながります,内面の重さに閉じること,長期的に社会的成功を作ること,感情の深さを実務力へ変える,経営や管理分野で伸びやすい,信頼される役割が関係を安定させる,98,成長軸|社会|成功
Taurus,11,Scorpio,5,劇的自己表現から現実理想へ向かう軸,強烈な自己表現や恋愛のドラマに偏りすぎず現実的な理想を社会へ広げることが重要です,劇的反応や感情の高低差,現実化できる理想を育てること,情熱を長期的価値へ変える,社会活動や企画で力を出しやすい,落ち着いた仲間関係が支えになる,95,成長軸|理想|現実化
Taurus,12,Scorpio,6,過剰な管理から内的安心へ向かう軸,危機意識から細かく管理しすぎる癖を緩め内面に安心と静けさを育てることが課題です,不安から管理過剰になること,心が休まる習慣と静けさを作ること,管理力を癒しへ変換する,ヒーリングや芸術分野で成長しやすい,静かな共感関係が鍵,95,成長軸|精神|安心
Gemini,1,Sagittarius,7,他人の大きな正しさから自分の言葉へ戻る軸,相手の信念や正論に巻かれすぎず自分の言葉で柔軟に世界を理解することがテーマです,相手の価値観に飲まれること,自分の言葉で考え話すこと,広い視野と身近な対話を両立する,教育や発信分野で伸びやすい,対話できる対等な関係が鍵,100,成長軸|知性|対話
Gemini,2,Sagittarius,8,大きな理想依存から知識価値化へ向かう軸,壮大な理念や共有資源への依存を手放し知識や情報を具体的な価値へ変えることが重要です,理念だけで満足すること,知識を収入や実益へ結びつけること,理想を具体化して価値にする,情報産業や教育分野で活躍しやすい,知的刺激のある関係が支えになる,98,成長軸|知識|価値
Gemini,3,Sagittarius,9,抽象信念から学び続ける知性へ向かう軸,大きな結論に飛びつくより日々学び問い続ける姿勢を育てることが成長につながります,結論を急ぐこと,小さく学び続けること,広い思想を身近な言葉へ落とす,学習や教育分野で強みが出る,会話の積み重ねが理解を深める,100,成長軸|学習|知性
Gemini,4,Sagittarius,10,社会的大義から身近な対話基盤へ向かう軸,外の世界で大きな意味を求めすぎず家庭や身近な場で言葉のやり取りを育てることが大切です,大きな使命感に偏ること,身近な関係で対話を育てること,理想を家庭や日常に下ろす,在宅教育や相談分野で伸びやすい,話し合える家庭関係が鍵,96,成長軸|家庭|対話
Gemini,5,Sagittarius,11,理想先行から知的遊びへ向かう軸,社会的理念に偏りすぎず好奇心から創造し遊ぶことが人生を豊かにします,理想だけで遊びを忘れること,知的な楽しみと表現を育てること,理想と遊び心をつなげる,企画や執筆分野で活躍しやすい,会話の弾む恋愛が成長を促す,95,成長軸|創造|好奇心
Gemini,6,Sagittarius,12,抽象逃避から情報整理へ向かう軸,曖昧な理想や精神世界に逃げすぎず日常で情報を整理し役立てることが課題です,現実から浮きやすいこと,情報を整理して実務に活かすこと,精神性を実用性へ変える,分析や事務分野で伸びやすい,知的に助け合える関係が鍵,96,成長軸|仕事|整理
Gemini,7,Sagittarius,1,独善から対話的関係へ向かう軸,自分の正しさだけで進む傾向を緩め相手と対話しながら関係を築くことが重要です,自分の信念を押し通すこと,対話を通して理解を深めること,信念と柔軟性を両立する,交渉や教育の仕事で成長しやすい,知的で対等な関係が鍵,100,成長軸|対人|対話
Gemini,8,Sagittarius,2,固定価値観から共有知性へ向かう軸,自分の価値観を固めすぎず他者との深い対話や共有を通して知性を育てることが課題です,価値観の固定化,共有の中で学び直すこと,安心と変化の両方を受け入れる,研究やコンサル分野で活躍しやすい,深い会話が親密さを育てる,98,成長軸|共有|知性
Gemini,9,Sagittarius,3,身近な情報から広い理解へ向かう軸,断片的な情報だけで満足せず背景や思想まで含めて理解を広げることが成長テーマです,表面的な知識収集,世界観を持って学ぶこと,具体と抽象をつなげる,教育や海外分野で力を発揮,知的成長を支える関係が育つ,100,成長軸|探求|学び
Gemini,10,Sagittarius,4,内向き信念から社会的発信へ向かう軸,心の中だけで確信を抱えるのではなく社会の中で言葉として発信することが人生課題です,内面で完結すること,社会へ向けて発信すること,信念を伝わる言葉へ変換する,メディアや教育分野で伸びやすい,思いを共有できる関係が鍵,98,成長軸|社会|発信
Gemini,11,Sagittarius,5,個人的誇りから知的ネットワークへ向かう軸,自分の表現や信念に閉じすぎず多様な人と知識を交換することが重要です,自分の考えに酔うこと,知的ネットワークを広げること,個性を保ちつつ交流する,コミュニティや情報共有分野で活躍,学び合える仲間関係が鍵,96,成長軸|交流|知識
Gemini,12,Sagittarius,6,義務化された正しさから内的言語化へ向かう軸,正しく役立つことだけを求めすぎず内面の思考や感情を言葉にして理解することが大切です,義務としての正しさに縛られること,内なる言葉を見つけること,実務と内省をつなげる,執筆や研究分野で力を発揮,静かに理解し合える関係が支えになる,95,成長軸|内省|言語化
Cancer,1,Capricorn,7,社会的役割から感情の自己理解へ向かう軸,責任や役割に合わせて自分を決める癖を手放し自分の感情や安心を大切にすることが人生テーマです,評価や役割で自分を定義すること,感情と安心を尊重すること,責任感と感情理解を両立する,ケアや教育分野で力を発揮,安心できる関係が成長を支える,100,成長軸|感情|安心
Cancer,2,Capricorn,8,権力意識から安心価値へ向かう軸,危機管理や支配関係への緊張を手放し安心できる価値や生活を育てることが重要です,力関係や不安への執着,穏やかな価値を育てること,責任感を安心の土台へ変える,生活関連分野で安定しやすい,安心感を共有できる関係が鍵,98,成長軸|価値|安心
Cancer,3,Capricorn,9,規範思考から感情対話へ向かう軸,正しい思想や規範だけに頼らず感情や共感を言葉にして伝えることが大切です,正論や規範への固執,感情を言葉にすること,理性と共感を両立する,教育や相談分野で活躍しやすい,共感的対話が関係を深める,96,成長軸|対話|共感
Cancer,4,Capricorn,10,社会責任から家庭安心へ向かう軸,社会的成功だけを追うのではなく安心できる家庭や基盤を築くことがテーマです,成功や責任への過度な集中,家庭の安心を育てること,社会性と家庭の調和を作る,不動産や生活分野で安定,家族関係が成長を促す,100,成長軸|家庭|基盤
Cancer,5,Capricorn,11,社会理想から愛情表現へ向かう軸,大きな理想や義務感に縛られすぎず愛情や喜びを素直に表現することが課題です,義務感や社会使命への固着,愛情と喜びを表現すること,理想を人間的温かさに変える,芸術や教育で力を発揮,温かい恋愛が成長を促す,96,成長軸|愛情|創造
Cancer,6,Capricorn,12,責任逃避と過労の揺れから共感的奉仕へ向かう軸,過度な責任感や逆に逃避する傾向を調整し共感的な働き方を育てることが重要です,過労または逃避,共感を持った実務を行うこと,心と仕事のバランスを作る,医療福祉分野で活躍しやすい,支え合う関係が鍵,96,成長軸|奉仕|共感
Cancer,7,Capricorn,1,自己防衛から温かい関係へ向かう軸,強い自己防衛や孤立を手放し安心できる関係の中で心を開くことが課題です,孤立や自己防衛,信頼関係を築くこと,自立と共感を両立する,共同事業で成長しやすい,温かい関係が鍵,100,成長軸|対人|信頼
Cancer,8,Capricorn,2,物質主義から感情共有へ向かう軸,所有や経済的安定だけに頼らず感情的共有を学ぶことが成長テーマです,物質的安心への固執,感情を共有すること,物質と感情のバランス,金融心理分野で力を発揮,深い信頼関係を築く,98,成長軸|共有|感情
Cancer,9,Capricorn,3,硬い理論から感情理解へ向かう軸,論理だけに偏らず人の気持ちを理解する視点を育てることが重要です,理屈だけの理解,共感的理解,理性と感情を統合する,教育心理分野で活躍,理解し合う関係,96,成長軸|理解|共感
Cancer,10,Capricorn,4,家庭依存から社会的役割へ向かう軸,家庭や安心圏に留まりすぎず社会で役割を果たすことが人生課題です,家庭への依存,社会で責任を果たすこと,安心を土台に社会へ出る,管理教育分野で成功しやすい,家族と社会の調和が鍵,100,成長軸|社会|責任
Cancer,11,Capricorn,5,自己中心的楽しみから仲間意識へ向かう軸,個人的な喜びだけでなく仲間と共有する理想を育てることがテーマです,自己中心的楽しみ,仲間と理想を共有すること,楽しみと社会性をつなげる,コミュニティ分野で活躍,友情関係が成長を促す,95,成長軸|仲間|理想
Cancer,12,Capricorn,6,義務過多から精神的共感へ向かう軸,働きすぎや義務感に縛られず精神的共感や癒しを学ぶことが課題です,義務への過度な集中,共感や癒しを育てること,責任感を思いやりへ変える,ヒーリング分野で力を発揮,精神的理解のある関係が鍵,95,成長軸|精神|癒し
Leo,1,Aquarius,7,集団意識から自己表現へ向かう軸,周囲の意見や理想に流されすぎず自分自身の個性を堂々と表現することが人生テーマです,集団への同調,自分らしく表現すること,個性と協力を両立する,リーダー職で活躍しやすい,魅力的な関係が育つ,100,成長軸|自己表現|個性
Leo,2,Aquarius,8,共同価値から自己価値へ向かう軸,共有や集団の価値に依存せず自分自身の価値や誇りを育てることが重要です,他者評価への依存,自分の価値を信じること,個性を価値へ変える,創造ビジネスで成功しやすい,尊敬関係が鍵,98,成長軸|価値|誇り
Leo,3,Aquarius,9,抽象理想から情熱発信へ向かう軸,理想や思想に留まらず情熱を言葉で発信することがテーマです,理論中心思考,情熱を語ること,理想を個人表現へ変える,講演教育分野で活躍,情熱的対話が関係を深める,96,成長軸|発信|情熱
Leo,4,Aquarius,10,社会的理想から家庭表現へ向かう軸,社会的役割や理想に偏りすぎず家庭の中で自分らしさを表現することが課題です,社会使命への過度な集中,家庭での自己表現,社会と家庭を調和する,家庭事業で成功しやすい,温かい家庭関係,96,成長軸|家庭|自己表現
Leo,5,Aquarius,11,集団理想から創造表現へ向かう軸,理想や集団活動だけでなく個人的創造を楽しむことが重要です,理想への執着,創造的自己表現,理想を創造へ変える,芸術分野で成功しやすい,情熱的恋愛,100,成長軸|創造|自己表現
Leo,6,Aquarius,12,無個性奉仕から自信ある働き方へ向かう軸,匿名的奉仕に偏らず自信を持って働くことが成長につながります,自分を消した奉仕,自信ある行動,奉仕と誇りを統合する,管理分野で活躍,頼られる関係が育つ,96,成長軸|仕事|自信
Leo,7,Aquarius,1,孤立独立から情熱関係へ向かう軸,独立や孤立に偏らず情熱的関係を築くことがテーマです,孤立志向,情熱的関係を築くこと,個性と関係を両立する,パートナー事業成功,情熱関係,100,成長軸|対人|情熱
Leo,8,Aquarius,2,冷静価値から情熱共有へ向かう軸,合理的価値観だけでなく情熱的共有を学ぶことが重要です,感情を抑えすぎること,情熱を共有すること,理性と情熱を統合する,研究金融分野で活躍,深い関係を築く,96,成長軸|共有|情熱
Leo,9,Aquarius,3,理論知識から信念表現へ向かう軸,知識だけでなく自分の信念を堂々と語ることがテーマです,理論中心思考,信念を語ること,知識と情熱を結ぶ,教育思想分野活躍,尊敬関係,96,成長軸|信念|表現
Leo,10,Aquarius,4,家庭理想から社会舞台へ向かう軸,家庭的安心に留まらず社会で自己表現することが重要です,家庭依存,社会で輝くこと,家庭と社会の調和,経営分野活躍,尊敬関係,100,成長軸|社会|表現
Leo,11,Aquarius,5,個人楽しみから社会理想へ向かう軸,個人的喜びを社会的理想へ広げることがテーマです,自己中心的楽しみ,社会理想を実現すること,楽しみと理想を結ぶ,社会活動分野活躍,仲間関係,96,成長軸|理想|社会
Leo,12,Aquarius,6,合理実務から精神誇りへ向かう軸,合理性や実務だけに偏らず精神的誇りや創造を育てることが重要です,実務中心思考,精神誇りを育てること,理性と精神を統合する,芸術分野活躍,精神関係,95,成長軸|精神|誇り
Virgo,1,Pisces,7,自己犠牲から自己改善へ向かう軸,相手に合わせすぎる癖を手放し自分自身を改善することで成長します,自己犠牲,自己改善,奉仕と自立を統合する,研究分野活躍,誠実関係,100,成長軸|改善|自立
Virgo,2,Pisces,8,曖昧共有から価値整理へ向かう軸,曖昧な共有関係に流されず自分の価値を整理することが重要です,曖昧依存,価値整理,共感と現実を統合する,管理分野活躍,信頼関係,98,成長軸|価値|整理
Virgo,3,Pisces,9,幻想思想から具体知識へ向かう軸,抽象的幻想に偏らず具体的知識を積み上げることがテーマです,幻想思考,現実学習,理想と現実を統合する,教育研究分野活躍,知的関係,96,成長軸|知識|学習
Virgo,4,Pisces,10,社会幻想から生活整理へ向かう軸,社会的幻想に流されず生活を整えることが重要です,社会幻想,生活整理,夢と現実を統合する,生活産業活躍,穏やかな関係,96,成長軸|生活|整理
Virgo,5,Pisces,11,理想幻想から創造改善へ向かう軸,幻想的理想を現実的創造へ変えることが課題です,幻想理想,創造改善,夢と努力を統合する,芸術研究活躍,知的恋愛,96,成長軸|創造|改善
Virgo,6,Pisces,12,逃避幻想から実務改善へ向かう軸,逃避や混乱を手放し日常改善を続けることが人生テーマです,逃避,実務改善,精神と実務を統合する,実務分野活躍,信頼関係,100,成長軸|仕事|改善
Virgo,7,Pisces,1,自己犠牲的関係から現実的協力へ向かう軸,相手に合わせすぎて自分を曖昧にする傾向を手放し現実的で健全な協力関係を築くことが人生課題です,自己犠牲や曖昧な共感,現実的で対等な協力関係,共感と現実的判断を両立する,調整役や分析職で力を発揮,誠実な協力関係が成長を促す,98,成長軸|対人|協力
Virgo,8,Pisces,2,曖昧な依存から現実的共有へ向かう軸,感情的依存や曖昧な共有関係を手放し現実的な信頼関係を築くことがテーマです,曖昧な依存関係,現実的な信頼共有,共感を現実的な関係に変える,研究や金融分析分野で活躍,信頼関係を丁寧に育てることが鍵,97,成長軸|共有|信頼
Virgo,9,Pisces,3,幻想思想から体系的知識へ向かう軸,感覚的な信念や幻想に偏らず体系的知識を積み上げることが人生課題です,曖昧な思想や直感依存,体系的学習と理解,感性と知性を結びつける,教育研究分野で成長しやすい,知的対話が関係を育てる,97,成長軸|知識|学習
Virgo,10,Pisces,4,幻想的安心から実務的成功へ向かう軸,曖昧な安心や夢想に留まらず現実的努力で社会的成果を築くことが重要です,夢想的安心への依存,現実的努力と成果,夢と努力を結びつける,管理職や専門職で成功しやすい,信頼される社会関係が鍵,99,成長軸|社会|努力
Virgo,11,Pisces,5,幻想理想から現実的社会貢献へ向かう軸,曖昧な理想や夢想にとどまらず社会の中で具体的な貢献を行うことが課題です,空想的理想,現実的社会貢献,理想を具体的行動へ変える,社会活動や教育分野で活躍,仲間との協力関係が鍵,96,成長軸|理想|社会
Virgo,12,Pisces,6,混乱した奉仕から整理された癒しへ向かう軸,自己犠牲的な奉仕や混乱を整理し穏やかな癒しや支援を育てることが人生テーマです,混乱した自己犠牲,整理された奉仕と癒し,精神性を実務に落とす,医療福祉やカウンセリングで活躍,思いやりのある関係が成長を促す,97,成長軸|奉仕|癒し
Libra,1,Aries,7,衝動的自己主張から調和的自己表現へ向かう軸,自己主張の衝動に偏りすぎず他者との調和を意識した自己表現を学ぶことが人生テーマです,衝動的な自己主張,調和的な自己表現,主体性と協調を両立する,交渉や調整分野で活躍,対等な関係を築く力が育つ,100,成長軸|調和|対人
Libra,2,Aries,8,衝動的共有からバランス価値へ向かう軸,感情的共有や極端な依存を手放しバランスの取れた価値観を育てることが重要です,衝動的な依存関係,安定した価値形成,感情と理性を調和させる,法律金融分野で活躍,尊重し合う関係が鍵,98,成長軸|価値|調和
Libra,3,Aries,9,独断思想から対話理解へ向かう軸,自分の信念を押し通すのではなく対話を通して理解を深めることがテーマです,独断的信念,対話的理解,意見交換を通して成長する,教育外交分野で活躍,知的対話関係,96,成長軸|対話|理解
Libra,4,Aries,10,競争社会から家庭調和へ向かう軸,社会競争や成功に偏らず家庭や生活の調和を育てることが重要です,競争意識への固着,家庭調和,社会と家庭のバランス,生活支援分野で活躍,穏やかな家庭関係,96,成長軸|家庭|調和
Libra,5,Aries,11,自己中心創造から協調創造へ向かう軸,自己中心的創造から仲間と協力する創造へ進むことが課題です,自己中心的創造,協調的創造,個性と協力を統合する,芸術企画分野活躍,友情関係が鍵,96,成長軸|創造|協力
Libra,6,Aries,12,衝動労働から協働実務へ向かう軸,衝動的働き方を手放しチームワークの中で役割を果たすことが重要です,衝動的行動,協働実務,主体性と協力の統合,チーム職で活躍,協力関係が成長を促す,96,成長軸|仕事|協力
Libra,7,Aries,1,自己中心から対等関係へ向かう軸,自己中心的行動を手放し対等なパートナー関係を築くことがテーマです,自己中心性,対等関係,主体性と関係性の統合,共同事業成功,信頼関係が鍵,100,成長軸|対人|パートナー
Libra,8,Aries,2,衝動所有から共有調和へ向かう軸,所有欲や衝動的価値観を手放し調和的共有を学ぶことが課題です,衝動的所有欲,共有価値,安定と変化の統合,金融心理分野活躍,深い信頼関係,97,成長軸|共有|調和
Libra,9,Aries,3,独断思想から協調思想へ向かう軸,自分の思想だけでなく他者の意見を尊重することで理解が深まります,独断思想,協調思想,思想と対話を統合する,教育思想分野活躍,知的関係,96,成長軸|思想|対話
Libra,10,Aries,4,家庭中心から社会調整へ向かう軸,家庭や身内中心の価値観から社会全体の調整役へ進むことがテーマです,家庭中心視点,社会調整力,家庭と社会の統合,外交法律分野活躍,社会信頼関係,100,成長軸|社会|調整
Libra,11,Aries,5,個人創造から社会理想へ向かう軸,個人表現を社会理想へ広げることが人生課題です,個人中心創造,社会理想実現,創造と理想を統合する,社会活動分野活躍,仲間関係,96,成長軸|理想|社会
Libra,12,Aries,6,衝動実務から精神調和へ向かう軸,衝動的行動を抑え精神的バランスを育てることが重要です,衝動的行動,精神調和,理性と精神の統合,芸術精神分野活躍,精神関係,95,成長軸|精神|調和
Scorpio,1,Taurus,7,安定依存から自己変容へ向かう軸,安定や安心に依存する傾向を手放し自己変容を受け入れることがテーマです,安定依存,自己変容,安定と変容を統合する,研究分野活躍,深い関係,100,成長軸|変容|力
Scorpio,2,Taurus,8,所有執着から共有変容へ向かう軸,所有への執着を手放し共有を通して変化を受け入れることが重要です,所有執着,共有変容,安定と共有を統合する,金融研究分野活躍,信頼関係,98,成長軸|共有|変容
Scorpio,3,Taurus,9,安定思想から深層理解へ向かう軸,安定志向の思考から心理的深層理解へ進むことがテーマです,固定思想,深層理解,安定と洞察を統合する,心理教育分野活躍,深い会話関係,96,成長軸|心理|理解
Scorpio,4,Taurus,10,安定家庭から社会変容へ向かう軸,家庭的安定に留まらず社会変革へ関わることが人生課題です,家庭安定への固着,社会変革,家庭と社会変容を統合する,政治研究分野活躍,信頼関係,96,成長軸|社会|変革
Scorpio,5,Taurus,11,安定喜びから情熱創造へ向かう軸,穏やかな楽しみから情熱的創造へ進むことが重要です,安定快楽,情熱創造,楽しみと情熱を統合する,芸術分野活躍,情熱恋愛,96,成長軸|創造|情熱
Scorpio,6,Taurus,12,安定実務から心理奉仕へ向かう軸,安定した働き方から心理的奉仕や深い理解へ進むことがテーマです,安定志向労働,心理奉仕,実務と心理理解を統合する,医療心理分野活躍,支援関係,96,成長軸|奉仕|心理
Scorpio,7,Taurus,1,自己安定から深い関係へ向かう軸,自己安定だけに留まらず深い信頼関係を築くことが人生課題です,自己中心安定,深い信頼関係,自立と親密さの統合,共同事業成功,深い信頼関係,100,成長軸|対人|信頼
Scorpio,8,Taurus,2,物質価値から心理共有へ向かう軸,物質価値を超え心理的共有を学ぶことがテーマです,物質価値固着,心理共有,価値と心理を統合する,金融心理分野活躍,深い関係,98,成長軸|共有|心理
Scorpio,9,Taurus,3,安定知識から深い思想へ向かう軸,表面的知識から深い思想探求へ進むことが課題です,表面的知識,思想探求,知識と洞察の統合,教育研究分野活躍,思想関係,96,成長軸|思想|探求
Scorpio,10,Taurus,4,家庭安定から社会影響へ向かう軸,家庭中心の価値観から社会で影響力を持つことがテーマです,家庭中心価値観,社会影響力,家庭と社会を統合する,政治研究分野活躍,尊敬関係,100,成長軸|社会|影響
Scorpio,11,Taurus,5,安定創造から革命理想へ向かう軸,穏やかな創造から社会変革理想へ進むことが重要です,安定創造,社会理想,創造と理想を統合する,社会活動分野活躍,仲間関係,96,成長軸|理想|改革
Scorpio,12,Taurus,6,安定労働から精神変容へ向かう軸,日常安定だけでなく精神変容を経験することがテーマです,日常安定への固着,精神変容,実務と精神を統合する,精神研究分野活躍,精神関係,95,成長軸|精神|変容
Sagittarius,1,Gemini,7,情報依存から信念行動へ向かう軸,情報や他者の意見に依存せず自分の信念で行動することが人生テーマです,情報依存,信念行動,知識と信念の統合,教育分野活躍,自由関係,100,成長軸|信念|冒険
Sagittarius,2,Gemini,8,知識依存から信念価値へ向かう軸,知識収集に留まらず信念ある価値観を築くことが課題です,知識依存,信念価値,知識と信念を統合する,出版教育分野活躍,尊敬関係,98,成長軸|価値|信念
Sagittarius,3,Gemini,9,断片知識から哲学理解へ向かう軸,断片的知識を超え哲学的理解を深めることがテーマです,断片知識,哲学理解,知識と思想の統合,教育思想分野活躍,知的関係,96,成長軸|思想|哲学
Sagittarius,4,Gemini,10,身近情報から社会思想へ向かう軸,身近な情報を超え社会思想を広げることが課題です,情報中心思考,社会思想,家庭と社会思想を統合する,教育政策分野活躍,思想関係,96,成長軸|思想|社会
Sagittarius,5,Gemini,11,知識遊びから自由創造へ向かう軸,知識遊びに留まらず自由な創造へ進むことがテーマです,知識遊び,自由創造,知識と創造を統合する,芸術旅行分野活躍,自由恋愛,96,成長軸|創造|自由
Sagittarius,6,Gemini,12,知識労働から理想実務へ向かう軸,情報処理だけでなく理想を仕事に反映することが重要です,情報処理中心,理想実務,知識と理想の統合,教育国際分野活躍,信頼関係,100,成長軸|仕事|理想
