Record_ID,Record_Type,Primary_Planet,Secondary_Planet,Match_Type,Target_Sign,Target_Natal_House,Tone,Title,Interpretation,Priority,Active_Flag
BACKGROUND_JUPITER_TAURUS_NATAL_4,background,JUPITER,ANY,planet_natal_house,TAURUS,4,activation,,,95,0
BACKGROUND_JUPITER_TAURUS_NATAL_5,background,JUPITER,ANY,planet_natal_house,TAURUS,5,activation,,,95,0
BACKGROUND_JUPITER_TAURUS_NATAL_6,background,JUPITER,ANY,planet_natal_house,TAURUS,6,activation,,,95,0
BACKGROUND_JUPITER_TAURUS_NATAL_7,background,JUPITER,ANY,planet_natal_house,TAURUS,7,activation,,,95,0
BACKGROUND_JUPITER_TAURUS_NATAL_8,background,JUPITER,ANY,planet_natal_house,TAURUS,8,activation,,,95,0
BACKGROUND_JUPITER_TAURUS_NATAL_9,background,JUPITER,ANY,planet_natal_house,TAURUS,9,activation,,,95,0
BACKGROUND_JUPITER_TAURUS_NATAL_10,background,JUPITER,ANY,planet_natal_house,TAURUS,10,activation,,,95,0
BACKGROUND_JUPITER_TAURUS_NATAL_11,background,JUPITER,ANY,planet_natal_house,TAURUS,11,activation,,,95,0
BACKGROUND_JUPITER_TAURUS_NATAL_12,background,JUPITER,ANY,planet_natal_house,TAURUS,12,activation,,,95,0
BACKGROUND_JUPITER_GEMINI_NATAL_1,background,JUPITER,ANY,planet_natal_house,GEMINI,1,activation,,,95,0
BACKGROUND_JUPITER_GEMINI_NATAL_2,background,JUPITER,ANY,planet_natal_house,GEMINI,2,activation,,,95,0
BACKGROUND_JUPITER_GEMINI_NATAL_3,background,JUPITER,ANY,planet_natal_house,GEMINI,3,activation,,,95,0
BACKGROUND_JUPITER_GEMINI_NATAL_4,background,JUPITER,ANY,planet_natal_house,GEMINI,4,activation,,,95,0
BACKGROUND_JUPITER_GEMINI_NATAL_5,background,JUPITER,ANY,planet_natal_house,GEMINI,5,activation,,,95,0
BACKGROUND_JUPITER_GEMINI_NATAL_6,background,JUPITER,ANY,planet_natal_house,GEMINI,6,activation,,,95,0
BACKGROUND_JUPITER_GEMINI_NATAL_7,background,JUPITER,ANY,planet_natal_house,GEMINI,7,activation,,,95,0
BACKGROUND_JUPITER_GEMINI_NATAL_8,background,JUPITER,ANY,planet_natal_house,GEMINI,8,activation,,,95,0
BACKGROUND_JUPITER_GEMINI_NATAL_9,background,JUPITER,ANY,planet_natal_house,GEMINI,9,activation,,,95,0
BACKGROUND_JUPITER_GEMINI_NATAL_10,background,JUPITER,ANY,planet_natal_house,GEMINI,10,activation,,,95,0
BACKGROUND_JUPITER_GEMINI_NATAL_11,background,JUPITER,ANY,planet_natal_house,GEMINI,11,activation,,,95,0
BACKGROUND_JUPITER_GEMINI_NATAL_12,background,JUPITER,ANY,planet_natal_house,GEMINI,12,activation,,,95,0
BACKGROUND_JUPITER_CANCER_NATAL_1,background,JUPITER,ANY,planet_natal_house,CANCER,1,activation,,,95,0
BACKGROUND_JUPITER_CANCER_NATAL_2,background,JUPITER,ANY,planet_natal_house,CANCER,2,activation,,,95,0
BACKGROUND_JUPITER_CANCER_NATAL_3,background,JUPITER,ANY,planet_natal_house,CANCER,3,activation,,,95,0
BACKGROUND_JUPITER_CANCER_NATAL_4,background,JUPITER,ANY,planet_natal_house,CANCER,4,activation,,,95,0
BACKGROUND_JUPITER_CANCER_NATAL_5,background,JUPITER,ANY,planet_natal_house,CANCER,5,activation,,,95,0
BACKGROUND_JUPITER_CANCER_NATAL_6,background,JUPITER,ANY,planet_natal_house,CANCER,6,activation,,,95,0
BACKGROUND_JUPITER_CANCER_NATAL_7,background,JUPITER,ANY,planet_natal_house,CANCER,7,activation,,,95,0
BACKGROUND_JUPITER_CANCER_NATAL_8,background,JUPITER,ANY,planet_natal_house,CANCER,8,activation,,,95,0
BACKGROUND_JUPITER_CANCER_NATAL_9,background,JUPITER,ANY,planet_natal_house,CANCER,9,activation,,,95,0
BACKGROUND_JUPITER_CANCER_NATAL_10,background,JUPITER,ANY,planet_natal_house,CANCER,10,activation,,,95,0
BACKGROUND_JUPITER_CANCER_NATAL_11,background,JUPITER,ANY,planet_natal_house,CANCER,11,activation,,,95,0
BACKGROUND_JUPITER_CANCER_NATAL_12,background,JUPITER,ANY,planet_natal_house,CANCER,12,activation,,,95,0
BACKGROUND_JUPITER_LEO_NATAL_1,background,JUPITER,ANY,planet_natal_house,LEO,1,activation,,,95,0
BACKGROUND_JUPITER_LEO_NATAL_2,background,JUPITER,ANY,planet_natal_house,LEO,2,activation,,,95,0
BACKGROUND_JUPITER_LEO_NATAL_3,background,JUPITER,ANY,planet_natal_house,LEO,3,activation,,,95,0
BACKGROUND_JUPITER_LEO_NATAL_4,background,JUPITER,ANY,planet_natal_house,LEO,4,activation,,,95,0
BACKGROUND_JUPITER_LEO_NATAL_5,background,JUPITER,ANY,planet_natal_house,LEO,5,activation,創造性を内側から育てる余地,木星が獅子座でネイタル5ハウスを進む間は、好きなこと、表現、遊び心、自分らしい創作に少しずつ余地が戻りやすい時期です。大きな成果だけを求めず、心がわずかに動くものを確保することが、閉じがちな流れの中で自分の活力を育てる支えになります。,95,1
BACKGROUND_JUPITER_LEO_NATAL_6,background,JUPITER,ANY,planet_natal_house,LEO,6,activation,,,95,0
BACKGROUND_JUPITER_LEO_NATAL_7,background,JUPITER,ANY,planet_natal_house,LEO,7,activation,,,95,0
BACKGROUND_JUPITER_LEO_NATAL_8,background,JUPITER,ANY,planet_natal_house,LEO,8,activation,,,95,0
BACKGROUND_JUPITER_LEO_NATAL_9,background,JUPITER,ANY,planet_natal_house,LEO,9,activation,,,95,0
BACKGROUND_JUPITER_LEO_NATAL_10,background,JUPITER,ANY,planet_natal_house,LEO,10,activation,,,95,0
BACKGROUND_JUPITER_LEO_NATAL_11,background,JUPITER,ANY,planet_natal_house,LEO,11,activation,,,95,0
BACKGROUND_JUPITER_LEO_NATAL_12,background,JUPITER,ANY,planet_natal_house,LEO,12,activation,,,95,0
BACKGROUND_JUPITER_VIRGO_NATAL_1,background,JUPITER,ANY,planet_natal_house,VIRGO,1,activation,,,95,0
BACKGROUND_JUPITER_VIRGO_NATAL_2,background,JUPITER,ANY,planet_natal_house,VIRGO,2,activation,,,95,0
BACKGROUND_JUPITER_VIRGO_NATAL_3,background,JUPITER,ANY,planet_natal_house,VIRGO,3,activation,,,95,0
BACKGROUND_JUPITER_VIRGO_NATAL_4,background,JUPITER,ANY,planet_natal_house,VIRGO,4,activation,,,95,0
BACKGROUND_JUPITER_VIRGO_NATAL_5,background,JUPITER,ANY,planet_natal_house,VIRGO,5,activation,,,95,0
BACKGROUND_JUPITER_VIRGO_NATAL_6,background,JUPITER,ANY,planet_natal_house,VIRGO,6,activation,,,95,0
BACKGROUND_JUPITER_VIRGO_NATAL_7,background,JUPITER,ANY,planet_natal_house,VIRGO,7,activation,,,95,0
BACKGROUND_JUPITER_VIRGO_NATAL_8,background,JUPITER,ANY,planet_natal_house,VIRGO,8,activation,,,95,0
BACKGROUND_JUPITER_VIRGO_NATAL_9,background,JUPITER,ANY,planet_natal_house,VIRGO,9,activation,,,95,0
BACKGROUND_JUPITER_VIRGO_NATAL_10,background,JUPITER,ANY,planet_natal_house,VIRGO,10,activation,,,95,0
BACKGROUND_JUPITER_VIRGO_NATAL_11,background,JUPITER,ANY,planet_natal_house,VIRGO,11,activation,,,95,0
BACKGROUND_JUPITER_VIRGO_NATAL_12,background,JUPITER,ANY,planet_natal_house,VIRGO,12,activation,,,95,0
BACKGROUND_JUPITER_LIBRA_NATAL_1,background,JUPITER,ANY,planet_natal_house,LIBRA,1,activation,,,95,0
BACKGROUND_JUPITER_LIBRA_NATAL_2,background,JUPITER,ANY,planet_natal_house,LIBRA,2,activation,,,95,0
BACKGROUND_JUPITER_LIBRA_NATAL_3,background,JUPITER,ANY,planet_natal_house,LIBRA,3,activation,,,95,0
BACKGROUND_JUPITER_LIBRA_NATAL_4,background,JUPITER,ANY,planet_natal_house,LIBRA,4,activation,,,95,0
BACKGROUND_JUPITER_LIBRA_NATAL_5,background,JUPITER,ANY,planet_natal_house,LIBRA,5,activation,,,95,0
BACKGROUND_JUPITER_LIBRA_NATAL_6,background,JUPITER,ANY,planet_natal_house,LIBRA,6,activation,,,95,0
BACKGROUND_JUPITER_LIBRA_NATAL_7,background,JUPITER,ANY,planet_natal_house,LIBRA,7,activation,,,95,0
BACKGROUND_JUPITER_LIBRA_NATAL_8,background,JUPITER,ANY,planet_natal_house,LIBRA,8,activation,,,95,0
BACKGROUND_JUPITER_LIBRA_NATAL_9,background,JUPITER,ANY,planet_natal_house,LIBRA,9,activation,,,95,0
BACKGROUND_JUPITER_LIBRA_NATAL_10,background,JUPITER,ANY,planet_natal_house,LIBRA,10,activation,,,95,0
BACKGROUND_JUPITER_LIBRA_NATAL_11,background,JUPITER,ANY,planet_natal_house,LIBRA,11,activation,,,95,0
BACKGROUND_JUPITER_LIBRA_NATAL_12,background,JUPITER,ANY,planet_natal_house,LIBRA,12,activation,,,95,0
BACKGROUND_JUPITER_SCORPIO_NATAL_1,background,JUPITER,ANY,planet_natal_house,SCORPIO,1,activation,,,95,0
BACKGROUND_JUPITER_SCORPIO_NATAL_2,background,JUPITER,ANY,planet_natal_house,SCORPIO,2,activation,,,95,0
BACKGROUND_JUPITER_SCORPIO_NATAL_3,background,JUPITER,ANY,planet_natal_house,SCORPIO,3,activation,,,95,0
BACKGROUND_JUPITER_SCORPIO_NATAL_4,background,JUPITER,ANY,planet_natal_house,SCORPIO,4,activation,,,95,0
BACKGROUND_JUPITER_SCORPIO_NATAL_5,background,JUPITER,ANY,planet_natal_house,SCORPIO,5,activation,,,95,0
BACKGROUND_JUPITER_SCORPIO_NATAL_6,background,JUPITER,ANY,planet_natal_house,SCORPIO,6,activation,,,95,0
BACKGROUND_JUPITER_SCORPIO_NATAL_7,background,JUPITER,ANY,planet_natal_house,SCORPIO,7,activation,,,95,0
BACKGROUND_JUPITER_SCORPIO_NATAL_8,background,JUPITER,ANY,planet_natal_house,SCORPIO,8,activation,,,95,0
BACKGROUND_JUPITER_SCORPIO_NATAL_9,background,JUPITER,ANY,planet_natal_house,SCORPIO,9,activation,,,95,0
BACKGROUND_JUPITER_SCORPIO_NATAL_10,background,JUPITER,ANY,planet_natal_house,SCORPIO,10,activation,,,95,0
BACKGROUND_JUPITER_SCORPIO_NATAL_11,background,JUPITER,ANY,planet_natal_house,SCORPIO,11,activation,,,95,0
BACKGROUND_JUPITER_SCORPIO_NATAL_12,background,JUPITER,ANY,planet_natal_house,SCORPIO,12,activation,,,95,0
BACKGROUND_JUPITER_SAGITTARIUS_NATAL_1,background,JUPITER,ANY,planet_natal_house,SAGITTARIUS,1,activation,,,95,0
BACKGROUND_JUPITER_SAGITTARIUS_NATAL_2,background,JUPITER,ANY,planet_natal_house,SAGITTARIUS,2,activation,,,95,0
BACKGROUND_JUPITER_SAGITTARIUS_NATAL_3,background,JUPITER,ANY,planet_natal_house,SAGITTARIUS,3,activation,,,95,0
BACKGROUND_JUPITER_SAGITTARIUS_NATAL_4,background,JUPITER,ANY,planet_natal_house,SAGITTARIUS,4,activation,,,95,0
BACKGROUND_JUPITER_SAGITTARIUS_NATAL_5,background,JUPITER,ANY,planet_natal_house,SAGITTARIUS,5,activation,,,95,0
BACKGROUND_JUPITER_SAGITTARIUS_NATAL_6,background,JUPITER,ANY,planet_natal_house,SAGITTARIUS,6,activation,,,95,0
BACKGROUND_JUPITER_SAGITTARIUS_NATAL_7,background,JUPITER,ANY,planet_natal_house,SAGITTARIUS,7,activation,,,95,0
BACKGROUND_JUPITER_SAGITTARIUS_NATAL_8,background,JUPITER,ANY,planet_natal_house,SAGITTARIUS,8,activation,,,95,0
BACKGROUND_JUPITER_SAGITTARIUS_NATAL_9,background,JUPITER,ANY,planet_natal_house,SAGITTARIUS,9,activation,,,95,0
BACKGROUND_JUPITER_SAGITTARIUS_NATAL_10,background,JUPITER,ANY,planet_natal_house,SAGITTARIUS,10,activation,,,95,0
BACKGROUND_JUPITER_SAGITTARIUS_NATAL_11,background,JUPITER,ANY,planet_natal_house,SAGITTARIUS,11,activation,,,95,0
BACKGROUND_JUPITER_SAGITTARIUS_NATAL_12,background,JUPITER,ANY,planet_natal_house,SAGITTARIUS,12,activation,,,95,0
BACKGROUND_JUPITER_CAPRICORN_NATAL_1,background,JUPITER,ANY,planet_natal_house,CAPRICORN,1,activation,,,95,0
BACKGROUND_JUPITER_CAPRICORN_NATAL_2,background,JUPITER,ANY,planet_natal_house,CAPRICORN,2,activation,,,95,0
BACKGROUND_JUPITER_CAPRICORN_NATAL_3,background,JUPITER,ANY,planet_natal_house,CAPRICORN,3,activation,,,95,0
BACKGROUND_JUPITER_CAPRICORN_NATAL_4,background,JUPITER,ANY,planet_natal_house,CAPRICORN,4,activation,,,95,0
BACKGROUND_JUPITER_CAPRICORN_NATAL_5,background,JUPITER,ANY,planet_natal_house,CAPRICORN,5,activation,,,95,0
BACKGROUND_JUPITER_CAPRICORN_NATAL_6,background,JUPITER,ANY,planet_natal_house,CAPRICORN,6,activation,,,95,0
BACKGROUND_JUPITER_CAPRICORN_NATAL_7,background,JUPITER,ANY,planet_natal_house,CAPRICORN,7,activation,,,95,0
BACKGROUND_JUPITER_CAPRICORN_NATAL_8,background,JUPITER,ANY,planet_natal_house,CAPRICORN,8,activation,,,95,0
BACKGROUND_JUPITER_CAPRICORN_NATAL_9,background,JUPITER,ANY,planet_natal_house,CAPRICORN,9,activation,,,95,0
BACKGROUND_JUPITER_CAPRICORN_NATAL_10,background,JUPITER,ANY,planet_natal_house,CAPRICORN,10,activation,,,95,0
BACKGROUND_JUPITER_CAPRICORN_NATAL_11,background,JUPITER,ANY,planet_natal_house,CAPRICORN,11,activation,,,95,0
BACKGROUND_JUPITER_CAPRICORN_NATAL_12,background,JUPITER,ANY,planet_natal_house,CAPRICORN,12,activation,,,95,0
BACKGROUND_JUPITER_AQUARIUS_NATAL_1,background,JUPITER,ANY,planet_natal_house,AQUARIUS,1,activation,,,95,0
BACKGROUND_JUPITER_AQUARIUS_NATAL_2,background,JUPITER,ANY,planet_natal_house,AQUARIUS,2,activation,,,95,0
BACKGROUND_JUPITER_AQUARIUS_NATAL_3,background,JUPITER,ANY,planet_natal_house,AQUARIUS,3,activation,,,95,0
BACKGROUND_JUPITER_AQUARIUS_NATAL_4,background,JUPITER,ANY,planet_natal_house,AQUARIUS,4,activation,,,95,0
BACKGROUND_JUPITER_AQUARIUS_NATAL_5,background,JUPITER,ANY,planet_natal_house,AQUARIUS,5,activation,,,95,0
BACKGROUND_JUPITER_AQUARIUS_NATAL_6,background,JUPITER,ANY,planet_natal_house,AQUARIUS,6,activation,,,95,0
BACKGROUND_JUPITER_AQUARIUS_NATAL_7,background,JUPITER,ANY,planet_natal_house,AQUARIUS,7,activation,,,95,0
BACKGROUND_JUPITER_AQUARIUS_NATAL_8,background,JUPITER,ANY,planet_natal_house,AQUARIUS,8,activation,,,95,0
BACKGROUND_JUPITER_AQUARIUS_NATAL_9,background,JUPITER,ANY,planet_natal_house,AQUARIUS,9,activation,,,95,0
BACKGROUND_JUPITER_AQUARIUS_NATAL_10,background,JUPITER,ANY,planet_natal_house,AQUARIUS,10,activation,,,95,0
BACKGROUND_JUPITER_AQUARIUS_NATAL_11,background,JUPITER,ANY,planet_natal_house,AQUARIUS,11,activation,,,95,0
BACKGROUND_JUPITER_AQUARIUS_NATAL_12,background,JUPITER,ANY,planet_natal_house,AQUARIUS,12,activation,,,95,0
BACKGROUND_JUPITER_PISCES_NATAL_1,background,JUPITER,ANY,planet_natal_house,PISCES,1,activation,,,95,0
BACKGROUND_JUPITER_PISCES_NATAL_2,background,JUPITER,ANY,planet_natal_house,PISCES,2,activation,,,95,0
BACKGROUND_JUPITER_PISCES_NATAL_3,background,JUPITER,ANY,planet_natal_house,PISCES,3,activation,,,95,0
BACKGROUND_JUPITER_PISCES_NATAL_4,background,JUPITER,ANY,planet_natal_house,PISCES,4,activation,,,95,0
BACKGROUND_JUPITER_PISCES_NATAL_5,background,JUPITER,ANY,planet_natal_house,PISCES,5,activation,,,95,0
BACKGROUND_JUPITER_PISCES_NATAL_6,background,JUPITER,ANY,planet_natal_house,PISCES,6,activation,,,95,0
BACKGROUND_JUPITER_PISCES_NATAL_7,background,JUPITER,ANY,planet_natal_house,PISCES,7,activation,,,95,0
BACKGROUND_JUPITER_PISCES_NATAL_8,background,JUPITER,ANY,planet_natal_house,PISCES,8,activation,,,95,0
BACKGROUND_JUPITER_PISCES_NATAL_9,background,JUPITER,ANY,planet_natal_house,PISCES,9,activation,,,95,0
BACKGROUND_JUPITER_PISCES_NATAL_10,background,JUPITER,ANY,planet_natal_house,PISCES,10,activation,,,95,0
BACKGROUND_JUPITER_PISCES_NATAL_11,background,JUPITER,ANY,planet_natal_house,PISCES,11,activation,,,95,0
BACKGROUND_JUPITER_PISCES_NATAL_12,background,JUPITER,ANY,planet_natal_house,PISCES,12,activation,,,95,0
BACKGROUND_SATURN_ARIES_NATAL_1,background,SATURN,ANY,planet_natal_house,ARIES,1,caution,自分の扱い方を作り直す時期,土星が牡羊座でネイタル1ハウスを進む間は、自分の意志、体力配分、責任の引き受け方を以前と同じ感覚では扱いにくくなります。無理に以前の勢いへ戻ろうとするより、できる量と引き受ける範囲を現実的に決め直すことが、この長期テーマを支える力になります。,120,1
BACKGROUND_SATURN_ARIES_NATAL_2,background,SATURN,ANY,planet_natal_house,ARIES,2,mixed,,,120,0
BACKGROUND_SATURN_ARIES_NATAL_3,background,SATURN,ANY,planet_natal_house,ARIES,3,mixed,,,120,0
BACKGROUND_SATURN_ARIES_NATAL_4,background,SATURN,ANY,planet_natal_house,ARIES,4,mixed,,,120,0
BACKGROUND_SATURN_ARIES_NATAL_5,background,SATURN,ANY,planet_natal_house,ARIES,5,mixed,,,120,0
BACKGROUND_SATURN_ARIES_NATAL_6,background,SATURN,ANY,planet_natal_house,ARIES,6,mixed,,,120,0
BACKGROUND_SATURN_ARIES_NATAL_7,background,SATURN,ANY,planet_natal_house,ARIES,7,mixed,,,120,0
BACKGROUND_SATURN_ARIES_NATAL_8,background,SATURN,ANY,planet_natal_house,ARIES,8,mixed,,,120,0
BACKGROUND_SATURN_ARIES_NATAL_9,background,SATURN,ANY,planet_natal_house,ARIES,9,mixed,,,120,0
BACKGROUND_SATURN_ARIES_NATAL_10,background,SATURN,ANY,planet_natal_house,ARIES,10,mixed,,,120,0
BACKGROUND_SATURN_ARIES_NATAL_11,background,SATURN,ANY,planet_natal_house,ARIES,11,mixed,,,120,0
BACKGROUND_SATURN_ARIES_NATAL_12,background,SATURN,ANY,planet_natal_house,ARIES,12,mixed,,,120,0
BACKGROUND_SATURN_TAURUS_NATAL_1,background,SATURN,ANY,planet_natal_house,TAURUS,1,mixed,,,120,0
BACKGROUND_SATURN_TAURUS_NATAL_2,background,SATURN,ANY,planet_natal_house,TAURUS,2,mixed,,,120,0
BACKGROUND_SATURN_TAURUS_NATAL_3,background,SATURN,ANY,planet_natal_house,TAURUS,3,mixed,,,120,0
BACKGROUND_SATURN_TAURUS_NATAL_4,background,SATURN,ANY,planet_natal_house,TAURUS,4,mixed,,,120,0
BACKGROUND_SATURN_TAURUS_NATAL_5,background,SATURN,ANY,planet_natal_house,TAURUS,5,mixed,,,120,0
BACKGROUND_SATURN_TAURUS_NATAL_6,background,SATURN,ANY,planet_natal_house,TAURUS,6,mixed,,,120,0
BACKGROUND_SATURN_TAURUS_NATAL_7,background,SATURN,ANY,planet_natal_house,TAURUS,7,mixed,,,120,0
BACKGROUND_SATURN_TAURUS_NATAL_8,background,SATURN,ANY,planet_natal_house,TAURUS,8,mixed,,,120,0
BACKGROUND_SATURN_TAURUS_NATAL_9,background,SATURN,ANY,planet_natal_house,TAURUS,9,mixed,,,120,0
BACKGROUND_SATURN_TAURUS_NATAL_10,background,SATURN,ANY,planet_natal_house,TAURUS,10,mixed,,,120,0
BACKGROUND_SATURN_TAURUS_NATAL_11,background,SATURN,ANY,planet_natal_house,TAURUS,11,mixed,,,120,0
BACKGROUND_SATURN_TAURUS_NATAL_12,background,SATURN,ANY,planet_natal_house,TAURUS,12,mixed,,,120,0
BACKGROUND_SATURN_GEMINI_NATAL_1,background,SATURN,ANY,planet_natal_house,GEMINI,1,mixed,,,120,0
BACKGROUND_SATURN_GEMINI_NATAL_2,background,SATURN,ANY,planet_natal_house,GEMINI,2,mixed,,,120,0
BACKGROUND_SATURN_GEMINI_NATAL_3,background,SATURN,ANY,planet_natal_house,GEMINI,3,mixed,,,120,0
BACKGROUND_SATURN_GEMINI_NATAL_4,background,SATURN,ANY,planet_natal_house,GEMINI,4,mixed,,,120,0
BACKGROUND_SATURN_GEMINI_NATAL_5,background,SATURN,ANY,planet_natal_house,GEMINI,5,mixed,,,120,0
BACKGROUND_SATURN_GEMINI_NATAL_6,background,SATURN,ANY,planet_natal_house,GEMINI,6,mixed,,,120,0
BACKGROUND_SATURN_GEMINI_NATAL_7,background,SATURN,ANY,planet_natal_house,GEMINI,7,mixed,,,120,0
BACKGROUND_SATURN_GEMINI_NATAL_8,background,SATURN,ANY,planet_natal_house,GEMINI,8,mixed,,,120,0
BACKGROUND_SATURN_GEMINI_NATAL_9,background,SATURN,ANY,planet_natal_house,GEMINI,9,mixed,,,120,0
BACKGROUND_SATURN_GEMINI_NATAL_10,background,SATURN,ANY,planet_natal_house,GEMINI,10,mixed,,,120,0
BACKGROUND_SATURN_GEMINI_NATAL_11,background,SATURN,ANY,planet_natal_house,GEMINI,11,mixed,,,120,0
BACKGROUND_SATURN_GEMINI_NATAL_12,background,SATURN,ANY,planet_natal_house,GEMINI,12,mixed,,,120,0
BACKGROUND_SATURN_CANCER_NATAL_1,background,SATURN,ANY,planet_natal_house,CANCER,1,mixed,,,120,0
BACKGROUND_SATURN_CANCER_NATAL_2,background,SATURN,ANY,planet_natal_house,CANCER,2,mixed,,,120,0
BACKGROUND_SATURN_CANCER_NATAL_3,background,SATURN,ANY,planet_natal_house,CANCER,3,mixed,,,120,0
BACKGROUND_SATURN_CANCER_NATAL_4,background,SATURN,ANY,planet_natal_house,CANCER,4,mixed,,,120,0
BACKGROUND_SATURN_CANCER_NATAL_5,background,SATURN,ANY,planet_natal_house,CANCER,5,mixed,,,120,0
BACKGROUND_SATURN_CANCER_NATAL_6,background,SATURN,ANY,planet_natal_house,CANCER,6,mixed,,,120,0
BACKGROUND_SATURN_CANCER_NATAL_7,background,SATURN,ANY,planet_natal_house,CANCER,7,mixed,,,120,0
BACKGROUND_SATURN_CANCER_NATAL_8,background,SATURN,ANY,planet_natal_house,CANCER,8,mixed,,,120,0
BACKGROUND_SATURN_CANCER_NATAL_9,background,SATURN,ANY,planet_natal_house,CANCER,9,mixed,,,120,0
BACKGROUND_SATURN_CANCER_NATAL_10,background,SATURN,ANY,planet_natal_house,CANCER,10,mixed,,,120,0
BACKGROUND_SATURN_CANCER_NATAL_11,background,SATURN,ANY,planet_natal_house,CANCER,11,mixed,,,120,0
BACKGROUND_SATURN_CANCER_NATAL_12,background,SATURN,ANY,planet_natal_house,CANCER,12,mixed,,,120,0
BACKGROUND_SATURN_LEO_NATAL_1,background,SATURN,ANY,planet_natal_house,LEO,1,mixed,,,120,0
BACKGROUND_SATURN_LEO_NATAL_2,background,SATURN,ANY,planet_natal_house,LEO,2,mixed,,,120,0
BACKGROUND_SATURN_LEO_NATAL_3,background,SATURN,ANY,planet_natal_house,LEO,3,mixed,,,120,0
BACKGROUND_SATURN_LEO_NATAL_4,background,SATURN,ANY,planet_natal_house,LEO,4,mixed,,,120,0
BACKGROUND_SATURN_LEO_NATAL_5,background,SATURN,ANY,planet_natal_house,LEO,5,mixed,,,120,0
BACKGROUND_SATURN_LEO_NATAL_6,background,SATURN,ANY,planet_natal_house,LEO,6,mixed,,,120,0
BACKGROUND_SATURN_LEO_NATAL_7,background,SATURN,ANY,planet_natal_house,LEO,7,mixed,,,120,0
BACKGROUND_SATURN_LEO_NATAL_8,background,SATURN,ANY,planet_natal_house,LEO,8,mixed,,,120,0
BACKGROUND_SATURN_LEO_NATAL_9,background,SATURN,ANY,planet_natal_house,LEO,9,mixed,,,120,0
BACKGROUND_SATURN_LEO_NATAL_10,background,SATURN,ANY,planet_natal_house,LEO,10,mixed,,,120,0
BACKGROUND_SATURN_LEO_NATAL_11,background,SATURN,ANY,planet_natal_house,LEO,11,mixed,,,120,0
BACKGROUND_SATURN_LEO_NATAL_12,background,SATURN,ANY,planet_natal_house,LEO,12,mixed,,,120,0
BACKGROUND_SATURN_VIRGO_NATAL_1,background,SATURN,ANY,planet_natal_house,VIRGO,1,mixed,,,120,0
BACKGROUND_SATURN_VIRGO_NATAL_2,background,SATURN,ANY,planet_natal_house,VIRGO,2,mixed,,,120,0
BACKGROUND_SATURN_VIRGO_NATAL_3,background,SATURN,ANY,planet_natal_house,VIRGO,3,mixed,,,120,0
BACKGROUND_SATURN_VIRGO_NATAL_4,background,SATURN,ANY,planet_natal_house,VIRGO,4,mixed,,,120,0
BACKGROUND_SATURN_VIRGO_NATAL_5,background,SATURN,ANY,planet_natal_house,VIRGO,5,mixed,,,120,0
BACKGROUND_SATURN_VIRGO_NATAL_6,background,SATURN,ANY,planet_natal_house,VIRGO,6,mixed,,,120,0
BACKGROUND_SATURN_VIRGO_NATAL_7,background,SATURN,ANY,planet_natal_house,VIRGO,7,mixed,,,120,0
BACKGROUND_SATURN_VIRGO_NATAL_8,background,SATURN,ANY,planet_natal_house,VIRGO,8,mixed,,,120,0
BACKGROUND_SATURN_VIRGO_NATAL_9,background,SATURN,ANY,planet_natal_house,VIRGO,9,mixed,,,120,0
