Template_ID,Year_ID,Planet,Transition_Type,Natal_House_From,Natal_House_To,Transition_Timing_Key,Transition_Paragraph,Active_Flag
2026_TRANS_SATURN_H12_STAY,2026,SATURN,stay,12,12,SATURN:stay:H12,土星は今年、年間を通じてあなたの第12ハウスに腰を据えます。目に見える成果を急ぐよりも、長年抱えてきた心の中の不安や過去の執着を静かに手放し、内面を浄化していく1年となります。一人の静かな時間を確保して内省を深めたり、心身の休息を優先することで、精神的な余白が生まれます。不要なものを穏やかに手放し心を整えることが、やがて始まる新たなサイクルの確かな準備となります。,1
2026_TRANS_SATURN_H01_TO_H02,2026,SATURN,ingress,1,2,SATURN:cusp_cross:H02,土星は年初、第1ハウスに位置していますが、{saturn_ingress_timing}には境界線を越えて第2ハウスへと本格的に歩みを進めます。前半に確立した自分自身のスタンスや意志を土台として、後半からはそれを現実的な収入や才能の開花へと具体化していく二段階の展開が待っています。自己変革の成果を実際の生活基盤へと着実に結びつけていく実りあるプロセスとなるでしょう。,1
2026_TRANS_SATURN_H02_TO_H03,2026,SATURN,ingress,2,3,SATURN:cusp_cross:H03,土星は年初、第2ハウスに位置していますが、{saturn_ingress_timing}には境界線を越えて第3ハウスへと本格的に歩みを進めます。前半に手元の資産や実力を堅実に整えた上で、後半からはその知識や技術を周囲との対話や情報発信へと生かしていく流れに切り替わります。確固たる基盤に裏打ちされた説得力のあるコミュニケーションが、新たな信頼を広げていきます。,1
2026_TRANS_SATURN_H03_TO_H04,2026,SATURN,ingress,3,4,SATURN:cusp_cross:H04,土星は年初、第3ハウスに位置していますが、{saturn_ingress_timing}には境界線を越えて第4ハウスへと本格的に歩みを進めます。前半に学んだ知見や整理したコミュニケーションを基盤として、後半からは私生活や家庭環境、住まいの土台作りに重点が移ります。外へ向けていた意識を身近な足元へと向け、安心できる生活空間を整えることが大きなテーマとなります。,1
2026_TRANS_SATURN_H04_TO_H05,2026,SATURN,ingress,4,5,SATURN:cusp_cross:H05,土星は年初、第4ハウスに位置していますが、{saturn_ingress_timing}には境界線を越えて第5ハウスへと本格的に歩みを進めます。前半に家庭や内面の基盤をしっかりと固めることで、後半からは独自の創作活動や自己表現、好きなことへの挑戦へと意欲が向かい始めます。安心できる拠点があるからこそ、自分の感性に責任を持ってじっくりと打ち込むことができるでしょう。,1
2026_TRANS_SATURN_H05_TO_H06,2026,SATURN,ingress,5,6,SATURN:cusp_cross:H06,土星は年初、第5ハウスに位置していますが、{saturn_ingress_timing}には境界線を越えて第6ハウスへと本格的に歩みを進めます。前半に磨き上げた自らの才能や情熱を、後半からは日々の実務や具体的な仕事の現場、健康習慣へと着実に落とし込んでいく流れとなります。好きなことを単なる趣味で終わらせず、日々の規律ある行動として定着させることが求められます。,1
2026_TRANS_SATURN_H06_TO_H07,2026,SATURN,ingress,6,7,SATURN:cusp_cross:H07,土星は年初、第6ハウスに位置していますが、{saturn_ingress_timing}には境界線を越えて第7ハウスへと本格的に歩みを進めます。前半に働き方や体調のリズムを整えた上で、後半からは他者との一対一のパートナーシップや契約関係の構築へと焦点が移行します。自立した個人の土台があるからこそ、相手と対等で誠実な関係を築き、深い信頼関係を結ぶことができます。,1
2026_TRANS_SATURN_H07_TO_H08,2026,SATURN,ingress,7,8,SATURN:cusp_cross:H08,土星は年初、第7ハウスに位置していますが、{saturn_ingress_timing}には境界線を越えて第8ハウスへと本格的に歩みを進めます。前半に対人関係のルールや信頼関係を整えた上で、後半からは共有財産の管理やより深い絆の維持といった責任のテーマへと進みます。表面的な協力関係を超え、互いに資源を共有し合える強固な基盤を築く好機となるでしょう。,1
2026_TRANS_SATURN_H08_TO_H09,2026,SATURN,ingress,8,9,SATURN:cusp_cross:H09,土星は年初、第8ハウスに位置していますが、{saturn_ingress_timing}には境界線を越えて第9ハウスへと本格的に歩みを進めます。前半に他者との関係性や心理的なしがらみを整理することで、後半からはより広い視野や専門的な知見の探求へと心が解き放たれます。深い洞察力を武器に、自らの人生観や哲学を体系化していく実りある前進が始まります。,1
2026_TRANS_SATURN_H09_TO_H10,2026,SATURN,ingress,9,10,SATURN:cusp_cross:H10,土星は年初、第9ハウスに位置していますが、{saturn_ingress_timing}には境界線を越えて第10ハウスへと本格的に歩みを進めます。前半に培った専門知識や人生の理念を基盤として、後半からはキャリアの頂点や社会的な責任の全うへと舞台が移ります。学んできた知恵を現実の社会的成果へと結実させ、確固たる評価と信用を手に入れる重要なステップとなるでしょう。,1
2026_TRANS_SATURN_H10_TO_H11,2026,SATURN,ingress,10,11,SATURN:cusp_cross:H11,土星は年初、第10ハウスに位置していますが、{saturn_ingress_timing}には境界線を越えて第11ハウスへと本格的に歩みを進めます。前半に仕事での実績や社会的立場を固めた上で、後半からはその経験を未来のビジョンや志を同じくする仲間との連帯へと広げていきます。組織の枠を越え、より開かれた社会的な繋がりを育む実り多き段階へと入ります。,1
2026_TRANS_SATURN_H11_TO_H12,2026,SATURN,ingress,11,12,SATURN:cusp_cross:H12,土星は年初、第11ハウスに位置していますが、{saturn_ingress_timing}には境界線を越えて第12ハウスへと本格的に歩みを進めます。前半に仲間との活動や社会的目標を推し進めた上で、後半からは一転して内省を深め、これまでの長いサイクルを総括する静かな時間に入ります。外向きの活動から心の整理へと舵を切り、次の新たな誕生への準備を整えていきます。,1
2026_TRANS_SATURN_H12_TO_H01,2026,SATURN,ingress,12,1,SATURN:cusp_cross:H01,土星は年初、第12ハウスに位置していますが、{saturn_ingress_timing}には境界線を越えて第1ハウスへと本格的に歩みを進めます。前半に過去のしがらみや不要な思い込みを静かに手放すことで、後半からは新しい自己像を自らの手で立ち上げる記念碑的なスタートを迎えます。内面の浄化を経て身軽になった心で、真新しい人生の歩みを堂々と始めることができるでしょう。,1
2026_TRANS_JUPITER_H01_STAY,2026,JUPITER,stay,1,1,JUPITER:stay:H01,木星は今年、年間を通じてあなたの第1ハウスに温かな光を投げかけます。自分自身の可能性を大きく広げ、新しい挑戦へ前向きに踏み出していける恵まれた1年です。他者の目を気にしすぎず、自らの素直な情熱や直感を信じて行動することで、周囲からも自然と好意と応援が集まります。自分らしさを伸び伸びと発揮する姿勢が、人生の新たなステージを豊かに切り拓く原動力となるでしょう。,1
2026_TRANS_JUPITER_H02_STAY,2026,JUPITER,stay,2,2,JUPITER:stay:H02,木星は今年、年間を通じてあなたの第2ハウスに豊かな恵みをもたらします。自らの知識や才能を現実の収入へと結びつけ、経済的な基盤を大きく成長させる好機が続きます。目先の損得にとらわれず、長期的に役立つスキルの向上や自己投資に賢く資源を振り向けてください。手元の豊かさを実感し、自分自身の価値を正当に認めることが、さらなる実りと心のゆとりを引き寄せます。,1
2026_TRANS_JUPITER_H03_STAY,2026,JUPITER,stay,3,3,JUPITER:stay:H03,木星は今年、年間を通じてあなたの第3ハウスにおける学びや対話を活発にします。知的好奇心の赴くままに興味のある分野を学んだり、日常的な情報発信を広げていくことで、思いがけない良縁やチャンスに恵まれる1年です。身近な人々との対話を温かく丁寧に重ねることで、日常のネットワークが心地よく広がります。フットワーク軽く知恵を分かち合う姿勢が、暮らしを豊かに彩るでしょう。,1
2026_TRANS_JUPITER_H04_STAY,2026,JUPITER,stay,4,4,JUPITER:stay:H04,木星は今年、年間を通じてあなたの第4ハウスに家庭的な温もりと安心感をもたらします。住まいの環境をより心地よく整えたり、家族や同居人との絆を温かく深めていける実り多き1年です。日々の暮らしの拠点を丁寧に慈しみ、リラックスできる空間を確保することで、心身の底から健やかな活力が湧き上がります。私生活の充実が、外の世界でいきいきと前進するための揺るぎない土台となります。,1
2026_TRANS_JUPITER_H05_STAY,2026,JUPITER,stay,5,5,JUPITER:stay:H05,木星は今年、年間を通じてあなたの第5ハウスが司る創作意欲や喜びの舞台を輝かせます。心から夢中になれる趣味やクリエイティブな表現活動において、素晴らしい成果や周囲からの温かい称賛を得られる華やかな1年です。楽しむ気持ちを最優先に、自らの感性やアイデアを惜しみなく表現してください。純粋な情熱を注ぎ込む姿勢が、毎日の生活に溢れるほどの彩りと生きがいをもたらします。,1
2026_TRANS_JUPITER_H06_STAY,2026,JUPITER,stay,6,6,JUPITER:stay:H06,木星は今年、年間を通じてあなたの第6ハウスである日々の実務や健康を後押しします。職場の人間関係や作業環境が心地よく改善され、日々の仕事に大きなやりがいと充実感を見出せる1年です。業務の手順を工夫して効率化するとともに、身体に優しい生活リズムを定着させてください。心身のコンディションを良好に保つことが、日々の安定した成果と周囲からの信頼を支える鍵となります。,1
2026_TRANS_JUPITER_H07_STAY,2026,JUPITER,stay,7,7,JUPITER:stay:H07,木星は今年、年間を通じてあなたの第7ハウスの対人関係やパートナーシップに豊かな好機を運びます。公私にわたって良き理解者や心強い協力者に恵まれ、温かい信頼関係を育んでいける恵まれた1年です。相手の個性や長所を素直に認め、誠実な対話を重ねることで、お互いを高め合える関係が築かれます。開かれた心で人と向き合う姿勢が、人生を豊かに広げる素晴らしい出会いを引き寄せます。,1
2026_TRANS_JUPITER_H08_STAY,2026,JUPITER,stay,8,8,JUPITER:stay:H08,木星は今年、年間を通じてあなたの第8ハウスが司る深い絆や共有の資産に恩恵をもたらします。大切な人との精神的な結びつきが一層深まり、貴重な知恵や有形無形のサポートを受け取る機会に恵まれる1年です。相手の厚意を素直に受け取りつつ、互いに助け合える誠実な協力体制を築いてください。深い信頼関係を丁寧に育むことが、精神的にも物質的にも大きな安心感と豊かさをもたらします。,1
2026_TRANS_JUPITER_H09_STAY,2026,JUPITER,stay,9,9,JUPITER:stay:H09,木星は今年、年間を通じてあなたの第9ハウスにおける精神的な探求や学びを力強く導きます。専門的な研究や資格の取得、あるいは遠方への旅などを通じて、人生の視野を大きく広げられる飛躍の1年です。未知の知見や異なる価値観に触れることを恐れず、知性の翼を伸び伸びと広げてください。高い理念を持って学びを深める姿勢が、将来の進路を明るく照らす確固たる自信となります。,1
2026_TRANS_JUPITER_H10_STAY,2026,JUPITER,stay,10,10,JUPITER:stay:H10,木星は今年、年間を通じてあなたの第10ハウスであるキャリアや社会的な立場に光を当てます。これまでの地道な努力が広く認められ、重要な役割への抜擢や社会的な成功のチャンスが巡ってくる実り豊かな1年です。自らの仕事に誇りを持ち、誠実に周囲の期待に応えていくことで、確固たる社会的信用が確立されます。大きな視野を持ってリーダーシップを発揮することが、更なる飛躍の扉を開きます。,1
2026_TRANS_JUPITER_H11_STAY,2026,JUPITER,stay,11,11,JUPITER:stay:H11,木星は今年、年間を通じてあなたの第11ハウスである交友関係やコミュニティに温かな広がりをもたらします。同じ志や未来のビジョンを分かち合える素晴らしい仲間との出会いに恵まれ、希望に満ちた活動を展開できる1年です。お互いの自由と個性を尊重しながら、共に社会を良くする活動へ参加してください。温かな連帯の中で力を合わせることが、個人の枠を超えた大きな成果を生み出します。,1
2026_TRANS_JUPITER_H12_STAY,2026,JUPITER,stay,12,12,JUPITER:stay:H12,木星は今年、年間を通じてあなたの第12ハウスである内面の世界に静かな癒やしと加護をもたらします。外向きの成果を焦ることなく、心身を深く休め、これまでの歩みを優しく肯定しながら内なる知恵を深める1年です。一人の静かな時間を慈しみ、創作や精神的な学びに触れることで、心の中に澄み切った安心感が戻ってきます。水面下で温めた豊かなエネルギーが、次の飛躍の確かな源泉となります。,1
2026_TRANS_JUPITER_H01_TO_H02,2026,JUPITER,ingress,1,2,JUPITER:cusp_cross:H02,木星は年初、第1ハウスに位置していますが、{jupiter_ingress_timing}には境界線を越えて第2ハウスへと歩みを進めます。前半に広げた自己の可能性や挑戦の成果を、後半からは現実的な収入や才能の開花へと着実に結びつけていく実り多き展開が待っています。自らの価値を正当に認め、手元の経済基盤を豊かに育てる充実したプロセスとなるでしょう。,1
2026_TRANS_JUPITER_H02_TO_H03,2026,JUPITER,ingress,2,3,JUPITER:cusp_cross:H03,木星は年初、第2ハウスに位置していますが、{jupiter_ingress_timing}には境界線を越えて第3ハウスへと歩みを進めます。前半に手元で培った実力や経済的な手応えを基盤として、後半からは身近な人脈の開拓や情報発信、新たな学びへと関心が広がります。確かな実績に裏打ちされた軽やかなコミュニケーションが、日常に多彩なチャンスをもたらすでしょう。,1
2026_TRANS_JUPITER_H03_TO_H04,2026,JUPITER,ingress,3,4,JUPITER:cusp_cross:H04,木星は年初、第3ハウスに位置していますが、{jupiter_ingress_timing}には境界線を越えて第4ハウスへと歩みを進めます。前半に得た多彩な知識や身近なネットワークを活かし、後半からは住まいや家庭環境、私生活の充実へと重点が移ります。外へ向けていた活動を足元の生活基盤へと還元し、温かく居心地の良い居場所を整える豊かな時間となります。,1
2026_TRANS_JUPITER_H04_TO_H05,2026,JUPITER,ingress,4,5,JUPITER:cusp_cross:H05,木星は年初、第4ハウスに位置していますが、{jupiter_ingress_timing}には境界線を越えて第5ハウスへと歩みを進めます。前半に整えた安心できる生活基盤を土台として、後半からは独自の創作活動や自己表現、好きなことへの挑戦へと意欲が一気に解き放たれます。拠点の安心感があるからこそ、純粋な遊び心と情熱を伸び伸びと発揮できるでしょう。,1
2026_TRANS_JUPITER_H05_TO_H06,2026,JUPITER,ingress,5,6,JUPITER:cusp_cross:H06,木星は年初、第5ハウスに位置していますが、{jupiter_ingress_timing}には境界線を越えて第6ハウスへと歩みを進めます。前半に存分に楽しんだ自己表現や趣味の成果を、後半からは日々の実務や働き方の改善、健康習慣へと生かしていく流れに切り替わります。心から楽しめる工夫を仕事に取り入れることで、毎日の業務がより快適で実りあるものとなります。,1
2026_TRANS_JUPITER_H06_TO_H07,2026,JUPITER,ingress,6,7,JUPITER:cusp_cross:H07,木星は年初、第6ハウスに位置していますが、{jupiter_ingress_timing}には境界線を越えて第7ハウスへと歩みを進めます。前半に仕事の手順や体調を整えた上で、後半からは人との素晴らしい出会いやパートナーシップの発展へと舞台が広がります。整った日常の基盤があるからこそ、他者と対等で温かい信頼関係を伸び伸びと築くことができるでしょう。,1
2026_TRANS_JUPITER_H07_TO_H08,2026,JUPITER,ingress,7,8,JUPITER:cusp_cross:H08,木星は年初、第7ハウスに位置していますが、{jupiter_ingress_timing}には境界線を越えて第8ハウスへと歩みを進めます。前半に対人関係を良好に広げた上で、後半からは特定の大切な相手との深い結びつきや、共有資産の豊かな活用へと関係が深化します。表面的な親交を超え、互いに心や資源を分かち合える強固な絆を手に入れる好機となります。,1
2026_TRANS_JUPITER_H08_TO_H09,2026,JUPITER,ingress,8,9,JUPITER:cusp_cross:H09,木星は年初、第8ハウスに位置していますが、{jupiter_ingress_timing}には境界線を越えて第9ハウスへと歩みを進めます。前半に他者から受け継いだ知恵や資源を糧として、後半からはより広い専門分野の探求や人生の理念の追求へと意識が羽ばたきます。深い洞察力に広い視野が加わることで、未来を切り拓く確固たる人生の指針が立ち上がります。,1
2026_TRANS_JUPITER_H09_TO_H10,2026,JUPITER,ingress,9,10,JUPITER:cusp_cross:H10,木星は年初、第9ハウスに位置していますが、{jupiter_ingress_timing}には境界線を越えて第10ハウスへと歩みを進めます。前半に培った専門的な知見や教養を武器として、後半からはキャリアの頂点や社会的な活躍の舞台へと躍進していきます。磨き上げてきた知恵が現実の成果や社会的評価として実を結び、大きな手応えを実感できるでしょう。,1
2026_TRANS_JUPITER_H10_TO_H11,2026,JUPITER,ingress,10,11,JUPITER:cusp_cross:H11,木星は年初、第10ハウスに位置していますが、{jupiter_ingress_timing}には境界線を越えて第11ハウスへと歩みを進めます。前半に社会的な立場や実績を確立した上で、後半からは志を同じくする仲間たちとのネットワークや未来のビジョンへと舞台が広がります。個人の成功を超えて、仲間と共に社会を豊かにする活動へと実りある前進を遂げます。,1
2026_TRANS_JUPITER_H11_TO_H12,2026,JUPITER,ingress,11,12,JUPITER:cusp_cross:H12,木星は年初、第11ハウスに位置していますが、{jupiter_ingress_timing}には境界線を越えて第12ハウスへと歩みを進めます。前半に仲間との豊かな活動を楽しんだ上で、後半からは一転して内省を深め、心と身体を優しく癒やす静かな時間へと移ります。これまでの歩みを肯定し、余計な執着を手放すことで、次の新たな誕生への準備が整っていきます。,1
2026_TRANS_JUPITER_H12_TO_H01,2026,JUPITER,ingress,12,1,JUPITER:cusp_cross:H01,木星は年初、第12ハウスに位置していますが、{jupiter_ingress_timing}には境界線を越えて第1ハウスへと歩みを進めます。前半に心身の休息と内面の浄化をじっくりと進めることで、後半からは新しい自己像を堂々と打ち出す12年に一度の幸運期が始まります。内なる充電を経て、自分らしい人生の新たな幕開けを晴れやかに迎えることができるでしょう。,1
2026_TRANS_URANUS_H01_STAY,2026,URANUS,stay,1,1,URANUS:stay:H01,天王星は今年、年間を通じてあなたの第1ハウスに刺激的な風を吹き込みます。世間の常識や古い慣習にとらわれず、自分らしい独自の個性や生き方を軽やかに表現できる1年です。他者と同じであることを手放し、自らの直感やユニークな発想を大切に行動してみてください。枠にとらわれない自由な振る舞いが、あなた自身の魅力を大きく引き出し、新しい時代にふさわしい存在感を確立する契機となるでしょう。,1
2026_TRANS_URANUS_H02_STAY,2026,URANUS,stay,2,2,URANUS:stay:H02,天王星は今年、年間を通じてあなたの第2ハウスが司る資質や経済基盤に変革をもたらします。最新のツールや独自の専門知識を活かし、新しい形の収入や働き方を開拓できる好機が続きます。過去の成功体験や固定化した金銭感覚に縛られず、変化を楽しみながら柔軟に価値観をアップデートしてください。自らの独自の強みを信じて挑戦することが、これからの時代を生き抜く確かな経済的自立を育みます。,1
2026_TRANS_URANUS_H03_STAY,2026,URANUS,stay,3,3,URANUS:stay:H03,天王星は今年、年間を通じてあなたの第3ハウスにおける学びや発信の意欲を刺激します。関心のある分野の知識を素早く吸収し、独自の視点を交えて周囲へ分かりやすく伝える発信力が高まる1年です。身近な人々との日常的な対話からも、未来につながる斬新なアイデアやヒントが次々と見つかるでしょう。フットワーク軽く知的好奇心の赴くままに行動範囲を広げることで、日常の視界が一気に開けていきます。,1
2026_TRANS_URANUS_H04_STAY,2026,URANUS,stay,4,4,URANUS:stay:H04,天王星は今年、年間を通じてあなたの第4ハウスである生活の拠点や私生活に心地よい変化をもたらします。従来の家族観や住まい方に縛られず、自分や同居人が最もストレスなく快適に過ごせる環境へと柔軟に整えられる1年です。便利な機器を取り入れて家事の手間を省いたり、暮らしの空間に風通しの良さを作ってください。私生活の自由度を高めることが、外の世界で挑戦するための活力の源泉となります。,1
2026_TRANS_URANUS_H05_STAY,2026,URANUS,stay,5,5,URANUS:stay:H05,天王星は今年、年間を通じてあなたの第5ハウスが司る創作意欲や自己表現を鮮やかに刺激します。誰かの真似ではなく、あなた自身の純粋な好奇心や感性から湧き出るアイデアを伸び伸びと形にしていける実り豊かな1年です。周囲の目を気にせず、心からワクワクする趣味や創作活動、自己発信に思い切って取り組んでみてください。遊び心と独自の工夫を注ぎ込む姿勢が、日常に大きな喜びと手応えをもたらします。,1
2026_TRANS_URANUS_H06_STAY,2026,URANUS,stay,6,6,URANUS:stay:H06,天王星は今年、年間を通じてあなたの第6ハウスである日々の実務や働き方に大きな改善の機会をもたらします。時代遅れの手順や無駄の多い習慣を思い切って手放し、最新のやり方や工夫を取り入れて日々の作業を効率化できる1年です。無理に根性で乗り切るのではなく、賢く段取りを整えて心身のゆとりを確保してください。生活リズムに柔軟な工夫を取り入れることで、日々の疲弊が大幅に減り充実感が得られます。,1
2026_TRANS_URANUS_H07_STAY,2026,URANUS,stay,7,7,URANUS:stay:H07,天王星は今年、年間を通じてあなたの第7ハウスの対人関係に新鮮で刺激的な出会いと展開を呼び込みます。依存や過度な干渉のない、お互いの個性と自立を尊重し合える風通しの良い人間関係が広がる1年です。これまでの枠組みにとらわれず、独自の専門知識や異なる背景を持つ人々と積極的に言葉を交わしてください。対等な立場で未来志向の意見を交わし合うことが、心強い協力関係を築く力となります。,1
2026_TRANS_URANUS_H08_STAY,2026,URANUS,stay,8,8,URANUS:stay:H08,天王星は今年、年間を通じてあなたの第8ハウスに関わる深い人間関係や共有のテーマに解放感をもたらします。一人で抱え込んでいた心理的な重荷や古いルールを自然と手放し、他者との間で新しい協力関係や資源の循環を生み出せる1年です。固定観念にとらわれず、信頼できる相手と柔軟に助け合い、お互いの強みを掛け合わせてください。素直に心を開くことで、精神的な結びつきがより自由なものへと昇華します。,1
2026_TRANS_URANUS_H09_STAY,2026,URANUS,stay,9,9,URANUS:stay:H09,天王星は今年、年間を通じてあなたの第9ハウスにおける高度な学びや探求心を力強く後押しします。これまでの常識や活動範囲の枠を軽々と飛び越え、新しい思想や専門分野、異文化の知見に触れることで人生観が大きく刷新される1年です。難解に思えるテーマであっても、現代的な視点を取り入れることで本質を素早く掴み取ることができるでしょう。広い視野を持って未来を探求する姿勢が、人生の選択肢を広げます。,1
2026_TRANS_URANUS_H10_STAY,2026,URANUS,stay,10,10,URANUS:stay:H10,天王星は今年、年間を通じてあなたの第10ハウスであるキャリアや社会的立場に革新的な好機を運びます。古びた上下関係や硬直したルールにとらわれず、時代の先を見据えた柔軟な発想で周囲をリードできる1年です。自分ならではの専門性やアイデアを臆することなく仕事の現場へ提案してみてください。従来の肩書きにとらわれない自由な働き方を目指すことで、活躍の舞台が一段と大きく広がっていきます。,1
2026_TRANS_URANUS_H11_STAY,2026,URANUS,stay,11,11,URANUS:stay:H11,天王星は今年、年間を通じてあなたの第11ハウスである交友関係やネットワークを鮮やかに活性化させます。年齢や肩書きの垣根を越えて、同じ問題意識や未来へのビジョンを分かち合える仲間との出会いが次々と訪れる1年です。閉じた関係に留まることなく、開かれたコミュニティへ積極的に顔を出してください。自由な意見交換を通じてお互いの可能性を引き出し合うことで、大きな目標へ向かう道が拓けます。,1
2026_TRANS_URANUS_H12_STAY,2026,URANUS,stay,12,12,URANUS:stay:H12,天王星は今年、年間を通じてあなたの第12ハウスである無意識や内面の世界に豊かなインスピレーションを注ぎ込みます。過去の失敗への悔いや目に見えない不安がすっきりと洗い流され、心の中に澄み切った静けさと精神的な自由が戻ってくる1年です。慌ただしい日常から少し離れ、静かな思索に時間を充てることで、進むべき方向性を示す確かな直感が得られるでしょう。内なる直感を信じることが、これからの行動を支えます。,1
2026_TRANS_URANUS_H01_TO_H02,2026,URANUS,ingress,1,2,URANUS:cusp_cross:H02,天王星は年初、第1ハウスに位置していますが、{uranus_ingress_timing}には境界線を越えて第2ハウスへと歩みを進めます。前半に確立した自分らしい生き方や独自の個性を、後半からは現実的な収入や才能の開花へと結びつけていく革新的な展開が待っています。自らの能力を信じて新しい稼ぎ方やスキルの活用に挑戦することで、確かな経済的自立へと繋がるでしょう。,1
2026_TRANS_URANUS_H02_TO_H03,2026,URANUS,ingress,2,3,URANUS:cusp_cross:H03,天王星は年初、第2ハウスに位置していますが、{uranus_ingress_timing}には境界線を越えて第3ハウスへと歩みを進めます。前半に手元で開拓した独自のスキルや資産を土台として、後半からは身近な情報発信や対話、軽やかな学びへと関心がシフトします。先進的な知識を柔軟に吸収し、周囲と共有していくことで、日常のネットワークが刺激的に広がっていきます。,1
