Planet,Transition_Type,Transition_Value,Sign_ID,Solar_House,Natal_House,Title,Text_Description,Sort_Order
MERCURY,SIGN_INGRESS,SCORPIO,SCORPIO,,,蠍座への移動,水星の思考と伝達に集中と変容が加わる。,44
MERCURY,SIGN_INGRESS,SAGITTARIUS,SAGITTARIUS,,,射手座への移動,水星の思考と伝達に探求と拡大が加わる。,45
MERCURY,SIGN_INGRESS,CAPRICORN,CAPRICORN,,,山羊座への移動,水星の思考と伝達に責任と達成が加わる。,46
MERCURY,SIGN_INGRESS,AQUARIUS,AQUARIUS,,,水瓶座への移動,水星の思考と伝達に革新と仲間が加わる。,47
MERCURY,SIGN_INGRESS,PISCES,PISCES,,,魚座への移動,水星の思考と伝達に共感と手放しが加わる。,48
MERCURY,SOLAR_HOUSE_INGRESS,1,,1,,ソーラー1ハウスへの移動,水星の思考と伝達が自分自身と始まりへ向く。,49
MERCURY,SOLAR_HOUSE_INGRESS,2,,2,,ソーラー2ハウスへの移動,水星の思考と伝達が収入と価値観へ向く。,50
MERCURY,SOLAR_HOUSE_INGRESS,3,,3,,ソーラー3ハウスへの移動,水星の思考と伝達が学習と連絡へ向く。,51
MERCURY,SOLAR_HOUSE_INGRESS,4,,4,,ソーラー4ハウスへの移動,水星の思考と伝達が家庭と基盤へ向く。,52
MERCURY,SOLAR_HOUSE_INGRESS,5,,5,,ソーラー5ハウスへの移動,水星の思考と伝達が創造と恋愛へ向く。,53
MERCURY,SOLAR_HOUSE_INGRESS,6,,6,,ソーラー6ハウスへの移動,水星の思考と伝達が仕事と習慣へ向く。,54
MERCURY,SOLAR_HOUSE_INGRESS,7,,7,,ソーラー7ハウスへの移動,水星の思考と伝達が対人関係と契約へ向く。,55
MERCURY,SOLAR_HOUSE_INGRESS,8,,8,,ソーラー8ハウスへの移動,水星の思考と伝達が共有と深い結びつきへ向く。,56
MERCURY,SOLAR_HOUSE_INGRESS,9,,9,,ソーラー9ハウスへの移動,水星の思考と伝達が探求と遠方へ向く。,57
MERCURY,SOLAR_HOUSE_INGRESS,10,,10,,ソーラー10ハウスへの移動,水星の思考と伝達が仕事と社会的立場へ向く。,58
MERCURY,SOLAR_HOUSE_INGRESS,11,,11,,ソーラー11ハウスへの移動,水星の思考と伝達が仲間と未来へ向く。,59
MERCURY,SOLAR_HOUSE_INGRESS,12,,12,,ソーラー12ハウスへの移動,水星の思考と伝達が休息と無意識へ向く。,60
MERCURY,NATAL_HOUSE_INGRESS,1,,,1,ネイタル1ハウスへの移動,水星の思考と伝達が自分自身と始まりを動かす。,61
MERCURY,NATAL_HOUSE_INGRESS,2,,,2,ネイタル2ハウスへの移動,水星の思考と伝達が収入と価値観を動かす。,62
MERCURY,NATAL_HOUSE_INGRESS,3,,,3,ネイタル3ハウスへの移動,水星の思考と伝達が学習と連絡を動かす。,63
MERCURY,NATAL_HOUSE_INGRESS,4,,,4,ネイタル4ハウスへの移動,水星の思考と伝達が家庭と基盤を動かす。,64
MERCURY,NATAL_HOUSE_INGRESS,5,,,5,ネイタル5ハウスへの移動,水星の思考と伝達が創造と恋愛を動かす。,65
MERCURY,NATAL_HOUSE_INGRESS,6,,,6,ネイタル6ハウスへの移動,水星の思考と伝達が仕事と習慣を動かす。,66
MERCURY,NATAL_HOUSE_INGRESS,7,,,7,ネイタル7ハウスへの移動,水星の思考と伝達が対人関係と契約を動かす。,67
MERCURY,NATAL_HOUSE_INGRESS,8,,,8,ネイタル8ハウスへの移動,水星の思考と伝達が共有と深い結びつきを動かす。,68
MERCURY,NATAL_HOUSE_INGRESS,9,,,9,ネイタル9ハウスへの移動,水星の思考と伝達が探求と遠方を動かす。,69
MERCURY,NATAL_HOUSE_INGRESS,10,,,10,ネイタル10ハウスへの移動,水星の思考と伝達が仕事と社会的立場を動かす。,70
MERCURY,NATAL_HOUSE_INGRESS,11,,,11,ネイタル11ハウスへの移動,水星の思考と伝達が仲間と未来を動かす。,71
MERCURY,NATAL_HOUSE_INGRESS,12,,,12,ネイタル12ハウスへの移動,水星の思考と伝達が休息と無意識を動かす。,72
VENUS,SIGN_INGRESS,ARIES,ARIES,,,牡羊座への移動,金星の愛情と価値観に始動と自己主張が加わる。,73
VENUS,SIGN_INGRESS,TAURUS,TAURUS,,,牡牛座への移動,金星の愛情と価値観に安定と所有が加わる。,74
VENUS,SIGN_INGRESS,GEMINI,GEMINI,,,双子座への移動,金星の愛情と価値観に学習と交流が加わる。,75
VENUS,SIGN_INGRESS,CANCER,CANCER,,,蟹座への移動,金星の愛情と価値観に安心と居場所が加わる。,76
VENUS,SIGN_INGRESS,LEO,LEO,,,獅子座への移動,金星の愛情と価値観に創造と表現が加わる。,77
VENUS,SIGN_INGRESS,VIRGO,VIRGO,,,乙女座への移動,金星の愛情と価値観に整理と実務が加わる。,78
VENUS,SIGN_INGRESS,LIBRA,LIBRA,,,天秤座への移動,金星の愛情と価値観に調和と対話が加わる。,79
VENUS,SIGN_INGRESS,SCORPIO,SCORPIO,,,蠍座への移動,金星の愛情と価値観に集中と変容が加わる。,80
VENUS,SIGN_INGRESS,SAGITTARIUS,SAGITTARIUS,,,射手座への移動,金星の愛情と価値観に探求と拡大が加わる。,81
VENUS,SIGN_INGRESS,CAPRICORN,CAPRICORN,,,山羊座への移動,金星の愛情と価値観に責任と達成が加わる。,82
VENUS,SIGN_INGRESS,AQUARIUS,AQUARIUS,,,水瓶座への移動,金星の愛情と価値観に革新と仲間が加わる。,83
VENUS,SIGN_INGRESS,PISCES,PISCES,,,魚座への移動,金星の愛情と価値観に共感と手放しが加わる。,84
VENUS,SOLAR_HOUSE_INGRESS,1,,1,,ソーラー1ハウスへの移動,金星の愛情と価値観が自分自身と始まりへ向く。,85
VENUS,SOLAR_HOUSE_INGRESS,2,,2,,ソーラー2ハウスへの移動,金星の愛情と価値観が収入と価値観へ向く。,86
VENUS,SOLAR_HOUSE_INGRESS,3,,3,,ソーラー3ハウスへの移動,金星の愛情と価値観が学習と連絡へ向く。,87
VENUS,SOLAR_HOUSE_INGRESS,4,,4,,ソーラー4ハウスへの移動,金星の愛情と価値観が家庭と基盤へ向く。,88
VENUS,SOLAR_HOUSE_INGRESS,5,,5,,ソーラー5ハウスへの移動,金星の愛情と価値観が創造と恋愛へ向く。,89
VENUS,SOLAR_HOUSE_INGRESS,6,,6,,ソーラー6ハウスへの移動,金星の愛情と価値観が仕事と習慣へ向く。,90
VENUS,SOLAR_HOUSE_INGRESS,7,,7,,ソーラー7ハウスへの移動,金星の愛情と価値観が対人関係と契約へ向く。,91
VENUS,SOLAR_HOUSE_INGRESS,8,,8,,ソーラー8ハウスへの移動,金星の愛情と価値観が共有と深い結びつきへ向く。,92
VENUS,SOLAR_HOUSE_INGRESS,9,,9,,ソーラー9ハウスへの移動,金星の愛情と価値観が探求と遠方へ向く。,93
VENUS,SOLAR_HOUSE_INGRESS,10,,10,,ソーラー10ハウスへの移動,金星の愛情と価値観が仕事と社会的立場へ向く。,94
VENUS,SOLAR_HOUSE_INGRESS,11,,11,,ソーラー11ハウスへの移動,金星の愛情と価値観が仲間と未来へ向く。,95
VENUS,SOLAR_HOUSE_INGRESS,12,,12,,ソーラー12ハウスへの移動,金星の愛情と価値観が休息と無意識へ向く。,96
VENUS,NATAL_HOUSE_INGRESS,1,,,1,ネイタル1ハウスへの移動,金星の愛情と価値観が自分自身と始まりを動かす。,97
VENUS,NATAL_HOUSE_INGRESS,2,,,2,ネイタル2ハウスへの移動,金星の愛情と価値観が収入と価値観を動かす。,98
VENUS,NATAL_HOUSE_INGRESS,3,,,3,ネイタル3ハウスへの移動,金星の愛情と価値観が学習と連絡を動かす。,99
VENUS,NATAL_HOUSE_INGRESS,4,,,4,ネイタル4ハウスへの移動,金星の愛情と価値観が家庭と基盤を動かす。,100
VENUS,NATAL_HOUSE_INGRESS,5,,,5,ネイタル5ハウスへの移動,金星の愛情と価値観が創造と恋愛を動かす。,101
VENUS,NATAL_HOUSE_INGRESS,6,,,6,ネイタル6ハウスへの移動,金星の愛情と価値観が仕事と習慣を動かす。,102
VENUS,NATAL_HOUSE_INGRESS,7,,,7,ネイタル7ハウスへの移動,金星の愛情と価値観が対人関係と契約を動かす。,103
VENUS,NATAL_HOUSE_INGRESS,8,,,8,ネイタル8ハウスへの移動,金星の愛情と価値観が共有と深い結びつきを動かす。,104
VENUS,NATAL_HOUSE_INGRESS,9,,,9,ネイタル9ハウスへの移動,金星の愛情と価値観が探求と遠方を動かす。,105
VENUS,NATAL_HOUSE_INGRESS,10,,,10,ネイタル10ハウスへの移動,金星の愛情と価値観が仕事と社会的立場を動かす。,106
VENUS,NATAL_HOUSE_INGRESS,11,,,11,ネイタル11ハウスへの移動,金星の愛情と価値観が仲間と未来を動かす。,107
VENUS,NATAL_HOUSE_INGRESS,12,,,12,ネイタル12ハウスへの移動,金星の愛情と価値観が休息と無意識を動かす。,108
MARS,SIGN_INGRESS,ARIES,ARIES,,,牡羊座への移動,火星の行動と意欲に始動と自己主張が加わる。,109
MARS,SIGN_INGRESS,TAURUS,TAURUS,,,牡牛座への移動,火星の行動と意欲に安定と所有が加わる。,110
MARS,SIGN_INGRESS,GEMINI,GEMINI,,,双子座への移動,火星の行動と意欲に学習と交流が加わる。,111
MARS,SIGN_INGRESS,CANCER,CANCER,,,蟹座への移動,火星の行動と意欲に安心と居場所が加わる。,112
MARS,SIGN_INGRESS,LEO,LEO,,,獅子座への移動,火星の行動と意欲に創造と表現が加わる。,113
MARS,SIGN_INGRESS,VIRGO,VIRGO,,,乙女座への移動,火星の行動と意欲に整理と実務が加わる。,114
MARS,SIGN_INGRESS,LIBRA,LIBRA,,,天秤座への移動,火星の行動と意欲に調和と対話が加わる。,115
MARS,SIGN_INGRESS,SCORPIO,SCORPIO,,,蠍座への移動,火星の行動と意欲に集中と変容が加わる。,116
MARS,SIGN_INGRESS,SAGITTARIUS,SAGITTARIUS,,,射手座への移動,火星の行動と意欲に探求と拡大が加わる。,117
MARS,SIGN_INGRESS,CAPRICORN,CAPRICORN,,,山羊座への移動,火星の行動と意欲に責任と達成が加わる。,118
MARS,SIGN_INGRESS,AQUARIUS,AQUARIUS,,,水瓶座への移動,火星の行動と意欲に革新と仲間が加わる。,119
MARS,SIGN_INGRESS,PISCES,PISCES,,,魚座への移動,火星の行動と意欲に共感と手放しが加わる。,120
MARS,SOLAR_HOUSE_INGRESS,1,,1,,ソーラー1ハウスへの移動,火星の行動と意欲が自分自身と始まりへ向く。,121
MARS,SOLAR_HOUSE_INGRESS,2,,2,,ソーラー2ハウスへの移動,火星の行動と意欲が収入と価値観へ向く。,122
MARS,SOLAR_HOUSE_INGRESS,3,,3,,ソーラー3ハウスへの移動,火星の行動と意欲が学習と連絡へ向く。,123
MARS,SOLAR_HOUSE_INGRESS,4,,4,,ソーラー4ハウスへの移動,火星の行動と意欲が家庭と基盤へ向く。,124
MARS,SOLAR_HOUSE_INGRESS,5,,5,,ソーラー5ハウスへの移動,火星の行動と意欲が創造と恋愛へ向く。,125
MARS,SOLAR_HOUSE_INGRESS,6,,6,,ソーラー6ハウスへの移動,火星の行動と意欲が仕事と習慣へ向く。,126
MARS,SOLAR_HOUSE_INGRESS,7,,7,,ソーラー7ハウスへの移動,火星の行動と意欲が対人関係と契約へ向く。,127
MARS,SOLAR_HOUSE_INGRESS,8,,8,,ソーラー8ハウスへの移動,火星の行動と意欲が共有と深い結びつきへ向く。,128
MARS,SOLAR_HOUSE_INGRESS,9,,9,,ソーラー9ハウスへの移動,火星の行動と意欲が探求と遠方へ向く。,129
MARS,SOLAR_HOUSE_INGRESS,10,,10,,ソーラー10ハウスへの移動,火星の行動と意欲が仕事と社会的立場へ向く。,130
MARS,SOLAR_HOUSE_INGRESS,11,,11,,ソーラー11ハウスへの移動,火星の行動と意欲が仲間と未来へ向く。,131
MARS,SOLAR_HOUSE_INGRESS,12,,12,,ソーラー12ハウスへの移動,火星の行動と意欲が休息と無意識へ向く。,132
MARS,NATAL_HOUSE_INGRESS,1,,,1,ネイタル1ハウスへの移動,火星の行動と意欲が自分自身と始まりを動かす。,133
MARS,NATAL_HOUSE_INGRESS,2,,,2,ネイタル2ハウスへの移動,火星の行動と意欲が収入と価値観を動かす。,134
MARS,NATAL_HOUSE_INGRESS,3,,,3,ネイタル3ハウスへの移動,火星の行動と意欲が学習と連絡を動かす。,135
MARS,NATAL_HOUSE_INGRESS,4,,,4,ネイタル4ハウスへの移動,火星の行動と意欲が家庭と基盤を動かす。,136
MARS,NATAL_HOUSE_INGRESS,5,,,5,ネイタル5ハウスへの移動,火星の行動と意欲が創造と恋愛を動かす。,137
MARS,NATAL_HOUSE_INGRESS,6,,,6,ネイタル6ハウスへの移動,火星の行動と意欲が仕事と習慣を動かす。,138
MARS,NATAL_HOUSE_INGRESS,7,,,7,ネイタル7ハウスへの移動,火星の行動と意欲が対人関係と契約を動かす。,139
MARS,NATAL_HOUSE_INGRESS,8,,,8,ネイタル8ハウスへの移動,火星の行動と意欲が共有と深い結びつきを動かす。,140
MARS,NATAL_HOUSE_INGRESS,9,,,9,ネイタル9ハウスへの移動,火星の行動と意欲が探求と遠方を動かす。,141
MARS,NATAL_HOUSE_INGRESS,10,,,10,ネイタル10ハウスへの移動,火星の行動と意欲が仕事と社会的立場を動かす。,142
MARS,NATAL_HOUSE_INGRESS,11,,,11,ネイタル11ハウスへの移動,火星の行動と意欲が仲間と未来を動かす。,143
MARS,NATAL_HOUSE_INGRESS,12,,,12,ネイタル12ハウスへの移動,火星の行動と意欲が休息と無意識を動かす。,144
JUPITER,SIGN_INGRESS,ARIES,ARIES,,,牡羊座への移動,木星の成長と拡大に始動と自己主張が加わる。,145
JUPITER,SIGN_INGRESS,TAURUS,TAURUS,,,牡牛座への移動,木星の成長と拡大に安定と所有が加わる。,146
JUPITER,SIGN_INGRESS,GEMINI,GEMINI,,,双子座への移動,木星の成長と拡大に学習と交流が加わる。,147
JUPITER,SIGN_INGRESS,CANCER,CANCER,,,蟹座への移動,木星の成長と拡大に安心と居場所が加わる。,148
JUPITER,SIGN_INGRESS,LEO,LEO,,,獅子座への移動,木星の成長と拡大に創造と表現が加わる。,149
JUPITER,SIGN_INGRESS,VIRGO,VIRGO,,,乙女座への移動,木星の成長と拡大に整理と実務が加わる。,150
JUPITER,SIGN_INGRESS,LIBRA,LIBRA,,,天秤座への移動,木星の成長と拡大に調和と対話が加わる。,151
JUPITER,SIGN_INGRESS,SCORPIO,SCORPIO,,,蠍座への移動,木星の成長と拡大に集中と変容が加わる。,152
JUPITER,SIGN_INGRESS,SAGITTARIUS,SAGITTARIUS,,,射手座への移動,木星の成長と拡大に探求と拡大が加わる。,153
JUPITER,SIGN_INGRESS,CAPRICORN,CAPRICORN,,,山羊座への移動,木星の成長と拡大に責任と達成が加わる。,154
JUPITER,SIGN_INGRESS,AQUARIUS,AQUARIUS,,,水瓶座への移動,木星の成長と拡大に革新と仲間が加わる。,155
JUPITER,SIGN_INGRESS,PISCES,PISCES,,,魚座への移動,木星の成長と拡大に共感と手放しが加わる。,156
JUPITER,SOLAR_HOUSE_INGRESS,1,,1,,ソーラー1ハウスへの移動,木星の成長と拡大が自分自身と始まりへ向く。,157
JUPITER,SOLAR_HOUSE_INGRESS,2,,2,,ソーラー2ハウスへの移動,木星の成長と拡大が収入と価値観へ向く。,158
JUPITER,SOLAR_HOUSE_INGRESS,3,,3,,ソーラー3ハウスへの移動,木星の成長と拡大が学習と連絡へ向く。,159
JUPITER,SOLAR_HOUSE_INGRESS,4,,4,,ソーラー4ハウスへの移動,木星の成長と拡大が家庭と基盤へ向く。,160
JUPITER,SOLAR_HOUSE_INGRESS,5,,5,,ソーラー5ハウスへの移動,木星の成長と拡大が創造と恋愛へ向く。,161
JUPITER,SOLAR_HOUSE_INGRESS,6,,6,,ソーラー6ハウスへの移動,木星の成長と拡大が仕事と習慣へ向く。,162
JUPITER,SOLAR_HOUSE_INGRESS,7,,7,,ソーラー7ハウスへの移動,木星の成長と拡大が対人関係と契約へ向く。,163
JUPITER,SOLAR_HOUSE_INGRESS,8,,8,,ソーラー8ハウスへの移動,木星の成長と拡大が共有と深い結びつきへ向く。,164
JUPITER,SOLAR_HOUSE_INGRESS,9,,9,,ソーラー9ハウスへの移動,木星の成長と拡大が探求と遠方へ向く。,165
JUPITER,SOLAR_HOUSE_INGRESS,10,,10,,ソーラー10ハウスへの移動,木星の成長と拡大が仕事と社会的立場へ向く。,166
JUPITER,SOLAR_HOUSE_INGRESS,11,,11,,ソーラー11ハウスへの移動,木星の成長と拡大が仲間と未来へ向く。,167
JUPITER,SOLAR_HOUSE_INGRESS,12,,12,,ソーラー12ハウスへの移動,木星の成長と拡大が休息と無意識へ向く。,168
JUPITER,NATAL_HOUSE_INGRESS,1,,,1,ネイタル1ハウスへの移動,木星の成長と拡大が自分自身と始まりを動かす。,169
JUPITER,NATAL_HOUSE_INGRESS,2,,,2,ネイタル2ハウスへの移動,木星の成長と拡大が収入と価値観を動かす。,170
JUPITER,NATAL_HOUSE_INGRESS,3,,,3,ネイタル3ハウスへの移動,木星の成長と拡大が学習と連絡を動かす。,171
JUPITER,NATAL_HOUSE_INGRESS,4,,,4,ネイタル4ハウスへの移動,木星の成長と拡大が家庭と基盤を動かす。,172
JUPITER,NATAL_HOUSE_INGRESS,5,,,5,ネイタル5ハウスへの移動,木星の成長と拡大が創造と恋愛を動かす。,173
JUPITER,NATAL_HOUSE_INGRESS,6,,,6,ネイタル6ハウスへの移動,木星の成長と拡大が仕事と習慣を動かす。,174
JUPITER,NATAL_HOUSE_INGRESS,7,,,7,ネイタル7ハウスへの移動,木星の成長と拡大が対人関係と契約を動かす。,175
JUPITER,NATAL_HOUSE_INGRESS,8,,,8,ネイタル8ハウスへの移動,木星の成長と拡大が共有と深い結びつきを動かす。,176
JUPITER,NATAL_HOUSE_INGRESS,9,,,9,ネイタル9ハウスへの移動,木星の成長と拡大が探求と遠方を動かす。,177
JUPITER,NATAL_HOUSE_INGRESS,10,,,10,ネイタル10ハウスへの移動,木星の成長と拡大が仕事と社会的立場を動かす。,178
JUPITER,NATAL_HOUSE_INGRESS,11,,,11,ネイタル11ハウスへの移動,木星の成長と拡大が仲間と未来を動かす。,179
JUPITER,NATAL_HOUSE_INGRESS,12,,,12,ネイタル12ハウスへの移動,木星の成長と拡大が休息と無意識を動かす。,180
SATURN,SIGN_INGRESS,ARIES,ARIES,,,牡羊座への移動,土星の責任と構築に始動と自己主張が加わる。,181
SATURN,SIGN_INGRESS,TAURUS,TAURUS,,,牡牛座への移動,土星の責任と構築に安定と所有が加わる。,182
SATURN,SIGN_INGRESS,GEMINI,GEMINI,,,双子座への移動,土星の責任と構築に学習と交流が加わる。,183
SATURN,SIGN_INGRESS,CANCER,CANCER,,,蟹座への移動,土星の責任と構築に安心と居場所が加わる。,184
SATURN,SIGN_INGRESS,LEO,LEO,,,獅子座への移動,土星の責任と構築に創造と表現が加わる。,185
SATURN,SIGN_INGRESS,VIRGO,VIRGO,,,乙女座への移動,土星の責任と構築に整理と実務が加わる。,186
SATURN,SIGN_INGRESS,LIBRA,LIBRA,,,天秤座への移動,土星の責任と構築に調和と対話が加わる。,187
SATURN,SIGN_INGRESS,SCORPIO,SCORPIO,,,蠍座への移動,土星の責任と構築に集中と変容が加わる。,188
SATURN,SIGN_INGRESS,SAGITTARIUS,SAGITTARIUS,,,射手座への移動,土星の責任と構築に探求と拡大が加わる。,189
SATURN,SIGN_INGRESS,CAPRICORN,CAPRICORN,,,山羊座への移動,土星の責任と構築に責任と達成が加わる。,190
SATURN,SIGN_INGRESS,AQUARIUS,AQUARIUS,,,水瓶座への移動,土星の責任と構築に革新と仲間が加わる。,191
SATURN,SIGN_INGRESS,PISCES,PISCES,,,魚座への移動,土星の責任と構築に共感と手放しが加わる。,192
SATURN,SOLAR_HOUSE_INGRESS,1,,1,,ソーラー1ハウスへの移動,土星の責任と構築が自分自身と始まりへ向く。,193
SATURN,SOLAR_HOUSE_INGRESS,2,,2,,ソーラー2ハウスへの移動,土星の責任と構築が収入と価値観へ向く。,194
SATURN,SOLAR_HOUSE_INGRESS,3,,3,,ソーラー3ハウスへの移動,土星の責任と構築が学習と連絡へ向く。,195
SATURN,SOLAR_HOUSE_INGRESS,4,,4,,ソーラー4ハウスへの移動,土星の責任と構築が家庭と基盤へ向く。,196
SATURN,SOLAR_HOUSE_INGRESS,5,,5,,ソーラー5ハウスへの移動,土星の責任と構築が創造と恋愛へ向く。,197
SATURN,SOLAR_HOUSE_INGRESS,6,,6,,ソーラー6ハウスへの移動,土星の責任と構築が仕事と習慣へ向く。,198
SATURN,SOLAR_HOUSE_INGRESS,7,,7,,ソーラー7ハウスへの移動,土星の責任と構築が対人関係と契約へ向く。,199
SATURN,SOLAR_HOUSE_INGRESS,8,,8,,ソーラー8ハウスへの移動,土星の責任と構築が共有と深い結びつきへ向く。,200
SATURN,SOLAR_HOUSE_INGRESS,9,,9,,ソーラー9ハウスへの移動,土星の責任と構築が探求と遠方へ向く。,201
SATURN,SOLAR_HOUSE_INGRESS,10,,10,,ソーラー10ハウスへの移動,土星の責任と構築が仕事と社会的立場へ向く。,202
SATURN,SOLAR_HOUSE_INGRESS,11,,11,,ソーラー11ハウスへの移動,土星の責任と構築が仲間と未来へ向く。,203
SATURN,SOLAR_HOUSE_INGRESS,12,,12,,ソーラー12ハウスへの移動,土星の責任と構築が休息と無意識へ向く。,204
SATURN,NATAL_HOUSE_INGRESS,1,,,1,ネイタル1ハウスへの移動,土星の責任と構築が自分自身と始まりを動かす。,205
SATURN,NATAL_HOUSE_INGRESS,2,,,2,ネイタル2ハウスへの移動,土星の責任と構築が収入と価値観を動かす。,206
SATURN,NATAL_HOUSE_INGRESS,3,,,3,ネイタル3ハウスへの移動,土星の責任と構築が学習と連絡を動かす。,207
SATURN,NATAL_HOUSE_INGRESS,4,,,4,ネイタル4ハウスへの移動,土星の責任と構築が家庭と基盤を動かす。,208
SATURN,NATAL_HOUSE_INGRESS,5,,,5,ネイタル5ハウスへの移動,土星の責任と構築が創造と恋愛を動かす。,209
