Template_ID,Month_ID,Section_Order,Planet,Event_Type,Transit_Sign_From,Transit_Sign_To,Solar_House_From,Solar_House_To,Natal_House_From,Natal_House_To,Natal_House_At_Event,Date_Source,Date_Key,Date_Precision,Paragraph_Template,Priority,Active_Flag
2026_10_SIGN_SUN_LIBRA_SCORPIO_S12_S01_N11,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,11,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}、太陽が天秤座から蠍座へ移ることで、静かに温めていた未来の計画を、信頼できる仲間と共に具現化していく流れが加速します。全員に合わせようとせず、志を同じくする仲間と深い連携を結ぶことで、希望に満ちたプロジェクトを力強く前進させられます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S12_S01_N12,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,12,1,ANY,ANY,12,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ入る{event_date}以降、深い内省と魂の休息を通じて蓄えたエネルギーが、潜在意識の直観として働き始めます。過去の葛藤を受け止めつつ静かに自らを整えることで、次なる新しいステージへ向けた準備が着実に整っていきます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S01_S02_N01,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,1,2,ANY,ANY,1,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}に太陽が天秤座から蠍座へ移ると、自分を前面に押し出して行動していた流れから、日々の暮らしや安心を支えるリソースを堅実に管理する段階へ切り替わります。表面的な見栄えを追うより、確かな実利と安心感を大切にするほど、安定した前進力を維持できるでしょう。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S01_S02_N02,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,1,2,ANY,ANY,2,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ入る{event_date}を境に、自己アピールに集中していた時期から、収入の基盤や手元の資産を具体的に見直す流れへ進みます。目先の出費を整理し、将来にわたって価値を生み出す投資や貯蓄に資源を振り向けることで、経済的な安心感が大きく高まります。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S01_S02_N03,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,1,2,ANY,ANY,3,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}、太陽が蠍座へ移動することで、直感的な発信を広げていた段階から、自身のスキルや言葉の価値を実務へ着実に反映させる時期へ入ります。思いつきでの発言を控え、相手に役立つ具体的な情報を丁寧に届ける姿勢が、確かな信頼と安定した関係性をもたらします。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S01_S02_N04,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,1,2,ANY,ANY,4,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,自分自身の活動に熱中していた流れは、太陽が天秤座から蠍座へ移る{event_date}から、住まいや家族の暮らしを支える生活資金・空間の整備へ焦点が移ります。見栄えだけでなく維持費や居心地の良さを考慮して環境を整えることが、日々の活動を支える心の余裕を生み出します。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S01_S02_N05,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,1,2,ANY,ANY,5,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}に太陽が天秤座から蠍座へ入ることで、自己表現を楽しむ時期から、自らの才能や作品を具体的な価値へと昇華させる流れへ切り替わります。単なる楽しみに終わらせず、技術の向上や実用的な展開を意識して取り組むことで、確かな手応えと誇りが手に入ります。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S01_S02_N06,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,1,2,ANY,ANY,6,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ移る{event_date}以降、勢いで前進していたペースから、日々の業務効率や健康管理のコストを見直す段階へ移行します。時間や体力を無駄遣いせず、無理のない手順と定期的なメンテナンスを取り入れることで、持続可能な実務基盤を固められます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S01_S02_N07,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,1,2,ANY,ANY,7,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}、太陽が天秤座から蠍座へ移ると、自己主張を重視していた流れから、パートナーや重要な相手との経済的・実務的な協力関係を整える時期へ進みます。感情論ではなく具体的な条件や役割分担を言葉にして確認し合うことで、対等で強固な絆が築かれます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S01_S02_N08,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,1,2,ANY,ANY,8,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽の天秤座から蠍座への移動が起こる{event_date}から、自らの意志で動いていた状態から、他者と共有する財産や深い責任に正面から向き合う流れへ深まります。曖昧な貸し借りや契約を清算し、透明なルールを敷くことで、精神的な重圧から解放され安心を得られます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S01_S02_N09,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,1,2,ANY,ANY,9,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}に太陽が天秤座から蠍座へ入ると、個人的な挑戦を優先していた時期から、専門的な学びや資格取得に資源を投資し知見を深める段階へ進みます。確かな理論に裏打ちされた実力を身につけることで、将来に向けた揺るぎない自信と広い視野が育まれます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S01_S02_N10,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,1,2,ANY,ANY,10,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ移る{event_date}を境に、自らの存在感を示す段階から、社会的な実績やキャリアを確固たる報酬・地位へと結びつける流れへ移ります。周囲の期待に応えながらも正当な評価を確保する姿勢が、プロフェッショナルとしての尊厳を守ります。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S01_S02_N11,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,1,2,ANY,ANY,11,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}、太陽が天秤座から蠍座へ移ることで、仲間と夢を語り合っていた時期から、コミュニティの共同資産や活動資金を堅実に運用する段階へ入ります。現実的なリソース配分を丁寧に行うことで、未来に向けたプロジェクトが安定した基盤の上で前進します。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S01_S02_N12,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,1,2,ANY,ANY,12,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ入る{event_date}以降、自らを前面に出していた活動から一歩引き、心身のエネルギーを静かに蓄え直す流れへ切り替わります。不要な出費や精神的な疲労を手放し、十分な休息を取ることで、次のサイクルに向けた豊かな生命力が蘇ってきます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S02_S03_N01,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,2,3,ANY,ANY,1,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}に太陽が天秤座から蠍座へ移ると、手元の資金や資源の管理に集中していた時期から、自らの考えを言葉にして周囲へ伝えていく段階へ切り替わります。内にため込むだけでなく、積極的な対話や情報発信を行うことで、新たな協力関係と前進のきっかけが生まれます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S02_S03_N02,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,2,3,ANY,ANY,2,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ入る{event_date}を境に、資産の保全に注力していた流れから、実務やビジネスに直結する学び・情報収集へ投資する段階へ進みます。役立つ知識を身につけ、身近な人々と共有することで、保有するスキルの価値を一段と高められるでしょう。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S02_S03_N03,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,2,3,ANY,ANY,3,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}、太陽が天秤座から蠍座へ移動することで、価値観を深めていた状態から、日常のコミュニケーションや対話を活発化させる流れへ入ります。表面的な言葉遣いを改め、本質を突いた誠実な意見交換を重ねるほど、周囲との信頼関係が急速に深まります。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S02_S03_N04,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,2,3,ANY,ANY,4,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,家計や生活基盤の整理に向き合っていた流れは、太陽が天秤座から蠍座へ移る{event_date}から、家族や身近な人々との日常会話や情報共有を密にする方向へ変わります。日頃の感謝や連絡事項を丁寧に言葉にして伝えることが、家庭内の温かい調和を支える力となります。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S02_S03_N05,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,2,3,ANY,ANY,5,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}に太陽が天秤座から蠍座へ入ることで、自己の資質を確かめていた時期から、趣味や創作活動に関するアイデアを文章や言葉で発信する段階へ進みます。自分のこだわりや情熱をわかりやすく表現することで、同じ感性を持つ仲間からの共感を集められます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S02_S03_N06,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,2,3,ANY,ANY,6,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ移る{event_date}以降、実務のコストや効率を計算していたペースから、業務マニュアルの整備や同僚との報連相を強化する流れへ移行します。正確な情報伝達とスムーズなやり取りを徹底することで、日々の作業効率が大幅に向上します。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S02_S03_N07,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,2,3,ANY,ANY,7,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}、太陽が天秤座から蠍座へ移ると、二人の共有条件を計算していた段階から、パートナーや重要な相手と膝を交えて本音で対話する時期へ進みます。言葉を濁さずに互いの思いを伝え合うことで、誤解が解消され、より強固な信頼関係が築かれます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S02_S03_N08,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,2,3,ANY,ANY,8,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽の天秤座から蠍座への移動が起こる{event_date}から、共有財産の管理に集中していた状態から、デリケートな問題について率直に話し合う流れへ深まります。曖昧な憶測を排し、事実に基づいた誠実な対話を重ねることで、心理的な安心感を確固たるものにできます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S02_S03_N09,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,2,3,ANY,ANY,9,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}に太陽が天秤座から蠍座へ入ると、個人的な価値観を固めていた時期から、高度な専門知識や広い視野を身近な実践・対話へ落とし込む段階へ進みます。学んだ知見を分かりやすい言葉で発信することで、知的な自信と周囲への良い影響力が高まります。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S02_S03_N10,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,2,3,ANY,ANY,10,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ移る{event_date}を境に、報酬やリソースの確保に注力していた流れから、仕事上の提案や交渉を活発に行う方向へ移ります。的確なデータと論理的な説明を用意して臨むことで、周囲からの信用を獲得し、プロジェクトを優位に進められます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S02_S03_N11,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,2,3,ANY,ANY,11,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}、太陽が天秤座から蠍座へ移ることで、グループの資金や備品を整えていた時期から、仲間とのミーティングや意見交換を活性化させる段階へ入ります。オープンな対話を通じてアイデアを出し合うことで、未来に向けた計画が一気に具体化していきます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S02_S03_N12,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,2,3,ANY,ANY,12,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ入る{event_date}以降、静かに価値観を整理していた流れから、日記の執筆や瞑想を通じて自らの内なる思考を言葉にまとめる段階へ進みます。頭の中の雑音を紙に書き出して客観視することで、潜在意識がクリアになり深い平穏を得られます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S03_S04_N01,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,3,4,ANY,ANY,1,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}に太陽が天秤座から蠍座へ移ると、外向きの対話や情報交換に忙しかった流れから、自らの拠点や心の居場所をじっくり整える段階へ切り替わります。外での活動を少し控え、安心できるプライベート空間で自分を休めるほど、内なる活力がしっかりと回復します。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S03_S04_N02,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,3,4,ANY,ANY,2,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ入る{event_date}を境に、身近な知識の習得に向いていた関心が、家計や住まいに関わる資産・生活基盤の強化へ移ります。住環境の維持費や生活防衛資金を見直し、将来への安心感を高めることで、揺るぎない生活の土台を築くことができるでしょう。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S03_S04_N03,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,3,4,ANY,ANY,3,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}、太陽が天秤座から蠍座へ移動することで、広く浅く言葉を交わしていた状態から、家族や身近な人々と深い本音を語り合う流れへ進みます。日常の雑談を超えて、本当に大切にしたい暮らしの方針を共有することで、家庭内に温かい安心感が定着します。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S03_S04_N04,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,3,4,ANY,ANY,4,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,外とのやり取りを活発に進めていた流れは、太陽が天秤座から蠍座へ移る{event_date}から、住まいの居心地の良さや家族関係の絆を深める方向へ集中します。部屋の模様替えや家族との団らんを優先し、安心できる拠点を整えることが、日々の活動を支える大きな力となります。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S03_S04_N05,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,3,4,ANY,ANY,5,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}に太陽が天秤座から蠍座へ入ることで、外へ発信していた創造性を、自宅での趣味やプライベートな創作活動へじっくり注ぎ込む段階へ移行します。誰かに見せるためではなく、自分と家族が心から楽しめる活動に没頭することで、豊かな幸福感が心を満たします。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S03_S04_N06,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,3,4,ANY,ANY,6,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ移る{event_date}以降、連絡業務や移動に追われていたペースから、家事の手順や生活リズムを整えて健康基盤を固める段階へ変わります。無理な予定を詰め込まず、自宅での食事や睡眠環境を丁寧にケアすることで、慢性的な疲労が和らぎます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S03_S04_N07,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,3,4,ANY,ANY,7,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}、太陽が天秤座から蠍座へ移ると、会話を通じた交流から、パートナーや大切な相手と一緒に過ごす家庭的な時間を深める時期へ進みます。外での社交を控え、落ち着いた空間で互いをいたわり合うことで、二人だけの強固な信頼関係が育まれます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S03_S04_N08,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,3,4,ANY,ANY,8,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽の天秤座から蠍座への移動が起こる{event_date}から、情報交換を中心としていた流れが、家族間の共有財産や深い心理的ルーツに向き合う方向へ深まります。住まいに関する手続きや過去の感情を丁寧に整理することで、心の奥底から大きな安心と再生の力を得られます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S03_S04_N09,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,3,4,ANY,ANY,9,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}に太陽が天秤座から蠍座へ入ると、身近な学びを広げていた時期から、自宅でじっくり読書や専門的な探究に没頭する段階へ進みます。静かな環境で本質的な思想や人生観を深めることが、将来に向けた揺るぎない知的な軸と心のゆとりを育ててくれます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S03_S04_N10,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,3,4,ANY,ANY,10,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ移る{event_date}を境に、仕事上のコミュニケーションに注力していた流れから、キャリアを支える私生活の基盤を強固にする段階へ移ります。家庭環境や休息の場を整えることが、外での社会的責任を果たすための集中力とスタミナを支えます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S03_S04_N11,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,3,4,ANY,ANY,11,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}、太陽が天秤座から蠍座へ移ることで、仲間と活発に議論していた時期から、家族や親しい友人を自宅に招いて温かい時間を共有する段階へ入ります。プライベートな安心感を分かち合うことで、コミュニティの絆がより本質的で温かなものへと深まります。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S03_S04_N12,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,3,4,ANY,ANY,12,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ入る{event_date}以降、頭の中の思考を巡らせていた状態から、一人静かに心の奥底にある感情を受け止め浄化する流れへ進みます。過去のわだかまりを手放し、安心できる居場所で魂を休めることで、次のサイクルへの準備が整っていきます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S04_S05_N01,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,4,5,ANY,ANY,1,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}に太陽が天秤座から蠍座へ移ると、家庭や内面に意識を向けていた静かな時期から、自らの情熱や個性を堂々と表現する段階へ切り替わります。内にこもらず、自分が心からワクワクする活動に積極的に挑戦することで、周囲を魅了する強い輝きが引き出されます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S04_S05_N02,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,4,5,ANY,ANY,2,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ入る{event_date}を境に、生活基盤の維持に専念していた流れから、自らの才能や創作物を現実的な価値へと結びつける段階へ進みます。惜しみなく情熱を注ぎ込んだ作品やアイデアが、将来の豊かさと自己肯定感を力強く支えてくれるでしょう。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S04_S05_N03,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,4,5,ANY,ANY,3,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}、太陽が天秤座から蠍座へ移動することで、身近な居場所を整えていた状態から、自らの創造的なアイデアや趣味の楽しさを言葉で発信する流れへ入ります。心躍る体験をオープンに共有するほど、会話が生き生きと弾み、知的な刺激に満ちた交流が広がります。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S04_S05_N04,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,4,5,ANY,ANY,4,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,家の中で静かに過ごしていた流れは、太陽が天秤座から蠍座へ移る{event_date}から、住まいを舞台に趣味や自己表現を存分に楽しむ方向へ変化します。家族や身近な人と一緒に楽しめるイベントを企画したり、お気に入りのアートを飾ることで、暮らしに豊かな彩りが加わります。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S04_S05_N05,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,4,5,ANY,ANY,5,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}に太陽が天秤座から蠍座へ入ることで、心の奥底で温めていた創作への情熱が、独自の表現として広がり始めます。周囲の目を過度に気にせず、心から納得できる表現を追求することで、純粋な喜びと手応えのある充実感を得やすくなります。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S04_S05_N06,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,4,5,ANY,ANY,6,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽が天秤座から蠍座へ移る{event_date}以降、日々のルーティンをこなすだけのペースから、仕事や作業に遊び心やクリエイティブな工夫を取り入れる段階へ移行します。楽しみながら取り組む工夫を凝らすことで、作業効率が高まり、日々の業務に新鮮な活力が蘇ります。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S04_S05_N07,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,4,5,ANY,ANY,7,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}、太陽が天秤座から蠍座へ移ると、家庭的な安心感に浸っていた状態から、パートナーや大切な相手と一緒に心躍る特別な時間を楽しむ時期へ進みます。共通の趣味や娯楽を分かち合うことで、お互いの魅力が再発見され、二人の絆が一段と輝きを増します。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S04_S05_N08,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,4,5,ANY,ANY,8,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,太陽の天秤座から蠍座への移動が起こる{event_date}から、心の土台を固めていた流れが、深い情熱や愛着を持つテーマに徹底的に没頭する方向へ深まります。中途半端な妥協を排し、魂を込めて一つの創作やこだわりに熱中することで、強烈な達成感と再生の力を得られます。,100,1
2026_10_SIGN_SUN_LIBRA_SCORPIO_S04_S05_N09,2026-10,30,SUN,sign_ingress,LIBRA,SCORPIO,4,5,ANY,ANY,9,transit_calendar,SUN:sign_ingress:SCORPIO,exact_day,{event_date}に太陽が天秤座から蠍座へ入ると、居場所の平穏を守っていた時期から、高度な教養や哲学的なテーマを独自の視点で表現・発表する段階へ進みます。広い視野と豊かな感性を融合させた発信が、遠く離れた人々にも深い感銘を与え、知的な評価を集めます。,100,1
