planet,sign,テーマ,核となる意味,長所,注意点,対人での出方,仕事での出方,成長のコツ
Venus,Gemini,知的愛情,会話や知的交流を楽しむ恋愛,会話力 柔軟性,浮気性,軽快な関係,広告 メディアで活躍,深い関係を育てる
Venus,Cancer,家庭的愛情,家庭的で献身的な愛情,優しさ 献身性,依存,保護的関係,福祉 教育,自立心を持つ
Venus,Leo,華やかな愛情,ドラマティックで表現豊かな愛情,魅力 表現力,承認欲求,ロマンチック関係,芸術 エンタメ,相手尊重
Venus,Virgo,献身的愛情,相手を助ける実務的愛情,誠実 細やかさ,批判的,サポート型関係,医療 サービス,寛容さを持つ
Venus,Libra,調和の愛情,美やバランスを重視する愛情,社交性 美意識,優柔不断,理想的パートナーシップ,デザイン 接客,自分の価値を持つ
Venus,Scorpio,深い愛情,強烈で深い愛情と結びつき,情熱 忠誠,独占欲,深い関係,心理 研究 投資,執着を手放す
Venus,Sagittarius,自由な愛情,自由で理想を重視する恋愛観,自由 楽観,束縛嫌い,友達のような恋愛,教育 旅行,責任を学ぶ
Venus,Capricorn,現実的愛情,安定した長期関係を望む愛情,責任感 忠実,感情表現不足,堅実な関係,経営 管理,感情を表現
Venus,Aquarius,友情的愛情,友情のような自由な恋愛,個性 独立,距離感,対等関係,IT 企画,感情理解
Venus,Pisces,献身的愛情,ロマンチックで無条件の愛,共感力 芸術性,理想化,癒し関係,芸術 福祉,境界を持つ
Mars,Aries,行動と闘志,行動力が非常に強く挑戦的,勇気 スピード,衝動的,積極的リーダー,スポーツ 起業,計画性
Mars,Taurus,粘り強い行動,粘り強く持続する行動力,忍耐 継続力,頑固,安定した協力者,農業 職人分野,柔軟性
Mars,Gemini,知的行動,頭脳的に行動する,機動力 会話力,散漫,軽快な協力,営業 IT,集中
Mars,Cancer,守る行動,守るための行動力,保護力,感情的行動,家族守る,福祉 教育,客観性
Mars,Leo,誇りの行動,堂々とした自己表現的行動,カリスマ,自己中心,主導型,芸術 経営,協調
Mars,Virgo,効率行動,効率的で計画的な行動,分析力,細かすぎる,実務協力,研究 医療,全体視点
Mars,Libra,協力行動,協力や戦略で行動,外交力,優柔不断,協調型,交渉 法律,決断
Mars,Scorpio,集中行動,非常に強い意志と集中力,執念 洞察,執着,強い結びつき,研究 投資,柔軟
Mars,Sagittarius,冒険行動,自由で冒険的な行動,行動力 楽観,無計画,自由関係,教育 旅行,計画
Mars,Capricorn,達成行動,目標達成型の行動,努力 忍耐,仕事中心,信頼型,経営 管理,休息
Mars,Aquarius,改革行動,独創的で社会的な行動,独創性 改革力,反骨,自由関係,IT 科学,実行力
Mars,Pisces,感覚行動,感覚や共感に基づく行動,共感 芸術性,曖昧,柔軟関係,芸術 福祉,現実性
Jupiter,Aries,挑戦による拡大,挑戦を通じて成長する,行動力 成長力,無謀,刺激関係,起業 企画,長期視点
Jupiter,Taurus,豊かさの拡大,物質的豊かさの拡大,安定 成果,停滞,安心関係,金融 資産,変化
Jupiter,Gemini,知識拡大,知識や交流が拡大,学習力,浅い理解,社交関係,教育 メディア,専門性
Jupiter,Cancer,家庭拡大,家庭や感情面の成長,保護力,過保護,家族関係,教育 福祉,自立
Jupiter,Leo,創造拡大,創造性の拡大,表現力,自己中心,華やか関係,芸術 エンタメ,謙虚
Jupiter,Virgo,改善拡大,実務能力の成長,分析力,細部執着,サポート関係,医療 研究,全体視点
Jupiter,Libra,関係拡大,人間関係の拡大,社交性,依存,広い人脈,外交 デザイン,主体性
Jupiter,Scorpio,深層拡大,深い理解の拡大,洞察力,極端,深い絆,研究 投資,バランス
Jupiter,Sagittarius,理想拡大,哲学や理想の拡大,楽観 探求,誇張,自由関係,教育 出版,現実性
Jupiter,Capricorn,社会拡大,社会的成功の拡大,責任感,仕事中心,信頼関係,経営 管理,柔軟
Jupiter,Aquarius,未来拡大,未来志向の思想拡大,独創性,理想過多,対等関係,科学 IT,現実化
Jupiter,Pisces,精神拡大,精神的成長,共感力,逃避,癒し関係,福祉 芸術,境界
Saturn,Aries,自己確立の試練,自己主張と行動の課題,忍耐 自制,自信不足,慎重関係,起業訓練,勇気
Saturn,Taurus,物質努力,物質面の努力課題,忍耐 継続,欠乏意識,安定関係,資産形成,柔軟
Saturn,Gemini,知識努力,知識面の課題,思考力,不安,慎重会話,教育 研究,表現
Saturn,Cancer,家庭責任,家庭責任の課題,保護力,感情抑圧,責任関係,福祉 教育,感情理解
Saturn,Leo,自己表現試練,自己表現の課題,努力家,自信不足,慎重表現,芸術 訓練,自己肯定
Saturn,Virgo,義務試練,仕事や義務の課題,実務力,完璧主義,信頼関係,医療 管理,余裕
Saturn,Libra,関係責任,人間関係の責任,公平性,対人不安,責任ある関係,法律 外交,自己主張
Saturn,Scorpio,心理試練,心理的試練と変容,洞察力,恐れ,深い関係,研究 心理,信頼
Saturn,Sagittarius,信念試練,信念や思想の試練,哲学力,悲観,議論関係,教育 研究,柔軟
Saturn,Capricorn,社会責任,社会的責任と努力,忍耐力,孤独,信頼関係,経営 管理,休息
Saturn,Aquarius,社会改革責任,社会改革の課題,理想,孤立,対等関係,科学 社会活動,現実
Saturn,Pisces,精神課題,精神的責任や境界課題,共感力,逃避,癒し関係,福祉 芸術,境界
Uranus,Aries,自己革新,急激な自己変革,独立 革新,衝動,刺激関係,起業 技術,安定
Uranus,Taurus,価値革命,価値観や経済の革新,改革力,混乱,自由関係,金融 技術,柔軟
Uranus,Gemini,情報革命,情報や通信の革新,発想力,散漫,刺激会話,IT メディア,集中
Uranus,Cancer,家庭改革,家庭や感情の変革,自由,不安定,独特関係,教育 福祉,安定
Uranus,Leo,創造革命,創造や表現の革命,独創性,極端,個性的関係,芸術 IT,協調
Uranus,Virgo,仕事革新,仕事方法の革新,技術力,神経質,合理関係,IT 研究,柔軟
Uranus,Libra,関係改革,関係の革新,独立性,不安定,自由恋愛,社会活動,安定
Uranus,Scorpio,深層革命,心理や深層の革命,洞察力,極端,深い変化,研究 科学,バランス
Uranus,Sagittarius,思想革命,思想や哲学の革命,自由思想,過激,自由関係,教育 出版,現実
Uranus,Capricorn,社会構造革命,社会構造の改革,改革力,破壊的,距離関係,政治 経営,持続
Uranus,Aquarius,未来革命,未来社会の革新,天才性,孤立,友愛関係,科学 IT,現実化
Uranus,Pisces,精神革命,精神世界の革新,直感力,混乱,神秘関係,芸術 福祉,現実
Neptune,Aries,理想衝動,理想や直感に突き動かされる衝動,情熱 想像力,衝動,情熱関係,芸術 起業,現実
Neptune,Taurus,美的理想,美や感覚の理想,芸術性,幻想,穏やか関係,芸術 美容,現実価値
Neptune,Gemini,言葉幻想,言葉や情報の幻想,想像力,混乱,夢的会話,文学 芸術,明確化
Neptune,Cancer,感情共鳴,感情や家庭への共感,共感力,依存,癒し関係,福祉 芸術,境界
Neptune,Leo,創造幻想,創造的理想や幻想,芸術性,誇張,ロマン関係,芸術 表現,現実
Neptune,Virgo,奉仕理想,理想的奉仕,献身,自己犠牲,支援関係,医療 福祉,境界
Neptune,Libra,理想愛,理想的な関係性,美意識,理想化,ロマン関係,芸術 外交,現実
Neptune,Scorpio,神秘変容,神秘的な深層変容,洞察力,極端,神秘関係,研究 芸術,現実
Neptune,Sagittarius,精神探求,哲学や宗教の理想探求,精神性,理想過多,思想関係,宗教 教育,現実
Neptune,Capricorn,社会理想,社会構造の理想,ビジョン,幻想,距離関係,社会活動,現実
Neptune,Aquarius,理想社会思想,博愛的未来思想,理想主義,非現実,友情関係,社会運動,実行
Neptune,Pisces,精神共鳴,精神的共鳴や神秘性,共感力,境界喪失,癒し関係,芸術 福祉,境界
Pluto,Aries,自己変革,根本的自己変革,強い意志,破壊衝動,強烈関係,起業 改革,制御
Pluto,Taurus,価値変革,価値構造の変化,資源力,執着,所有関係,金融 資産,手放し
Pluto,Gemini,情報変革,知識や通信の革命,知性,操作的,議論関係,IT 研究,倫理
Pluto,Cancer,家庭変革,家庭構造の変化,保護力,過干渉,深い関係,教育 福祉,自立
Pluto,Leo,創造権力,創造的力の変革,カリスマ,支配欲,強い魅力,芸術 経営,謙虚
Pluto,Virgo,構造改善,構造改革や改善,分析力,批判,厳格関係,医療 研究,柔軟
Pluto,Libra,関係再構築,関係や契約の変革,交渉力,支配,強い関係,法律 外交,対等
Pluto,Scorpio,完全変容,死と再生の完全変容,再生力,極端,深い結びつき,心理 研究,手放し
Pluto,Sagittarius,思想変革,思想や信念の変革,影響力,狂信,思想関係,教育 政治,柔軟
Pluto,Capricorn,社会再編,社会構造の根本変革,権力,支配,緊張関係,政治 経営,倫理
Pluto,Aquarius,社会革命,社会や未来の革命,改革力,過激,自由関係,科学 社会運動,調和
Pluto,Pisces,精神再生,集合意識や精神の再生,神秘力,逃避,精神関係,芸術 宗教,現実
