career_id,mc_sign,mc_ruler,dominant_axis,jupiter_house,main_role_text,strength_text,expansion_text,caution_text,tags
aquarius_11h_saturn_10h,Aquarius,Saturn,11H,10H,IT革新制度設計の領域で既存の仕組みを再構築し新しい価値と流れを生み出す機能を担います,長期視点で新しい仕組みを現実に落とし込める,組織改革や制度設計で評価されやすい,理想と現実のギャップに苦しみやすい,reform;system;structure;society
virgo_6h_saturn_10h,Virgo,Saturn,6H,10H,業務改善分析品質管理の領域で現場を整え精度を高めることで安定した成果を再現する機能を担います,高い基準で仕事を安定して遂行できる,責任ある立場で専門性を発揮すると評価が上がる,自己要求が高すぎると消耗しやすい,professional;work;discipline;quality
leo_5h_venus_11h,Leo,Venus,5H,11H,表現企画やリーダー業務の場で自己表現と影響力を発揮し場の活性と方向性を生み出す機能を担います,楽しさや魅力で人を集める力がある,イベントや発信で人を巻き込むと成功しやすい,評価を求めすぎるとブレやすい,creative;community;attraction;expression
pisces_12h_jupiter_9h,Pisces,Jupiter,12H,9H,医療芸術福祉の領域で感性と共感を活かし境界を超えたつながりと癒しを生み出す機能を担います,目に見えない価値や意味を扱う力がある,精神的成長や学びの分野で発展しやすい,現実とのバランスを崩しやすい,spiritual;exploration;learning;intuition
capricorn_10h_saturn_6h,Capricorn,Saturn,10H,6H,組織運営管理責任の領域で計画と実行を統合し成果と地位を積み上げる構造を確立する機能を担います,現場と組織の両方を安定させる実務力が高い,責任範囲を広げることで評価と影響力が増す,責任過多で負担を抱え込みやすい,management;work;discipline;operation
virgo_6h_mercury_10h,Virgo,Mercury,6H,10H,業務改善分析品質管理の領域で現場を整え精度を高めることで安定した成果を再現する機能を担います,細部精度と業務最適化の両立ができる,専門性を社会的ポジションへ接続すると伸びる,完璧主義が評価不安につながりやすい,work;analysis;professional;quality
taurus_2h_venus_6h,Taurus,Venus,2H,6H,資産運用や価値提供の領域で安定した成果を積み上げ継続可能な基盤を形成する機能を担います,継続力と品質維持に優れる,日々の積み重ねが収益に直結しやすい,変化への対応が遅れやすい,finance;stability;work;value
libra_7h_venus_11h,Libra,Venus,7H,11H,交渉調整仲介の領域で関係性を整え利害を調整することで合意と均衡を成立させる機能を担います,対人調整とネットワーク形成が得意,コミュニティや共同プロジェクトで成長する,他人軸になりすぎると判断が鈍る,relationship;network;collaboration;balance
scorpio_8h_pluto_10h,Scorpio,Pluto,8H,10H,金融再生危機対応の領域で資源配分と関係構造を組み替え根本的な変容を引き起こす機能を担います,問題の核心を捉え抜本的改善ができる,専門領域で影響力を高めると大きく伸びる,極端さが対人摩擦を生みやすい,transformation;analysis;depth;authority
sagittarius_9h_jupiter_10h,Sagittarius,Jupiter,9H,10H,教育出版研修海外領域で知識と理念を体系化し伝達することで他者の視野と理解を拡張する機能を担います,大局観と伝達力に優れる,教育や発信の場で評価が高まりやすい,理想先行で実務が疎かになりやすい,education;leadership;expansion;public
gemini_3h_mercury_6h,Gemini,Mercury,3H,6H,情報発信や編集教育の領域で知識を整理し伝達することで理解と流通を促進する機能を担います,情報整理と効率化のスキルが高い,複数業務を横断することで価値が高まる,集中力が分散しやすい,information;work;optimization;communication
cancer_4h_moon_10h,Cancer,Moon,4H,10H,支援福祉教育の領域で関係性を築き人を守り育てることで安心と定着を生み出す機能を担います,共感力と保護力に優れる,人を支える役割で評価が上がる,感情負担を抱え込みやすい,care;emotion;support;public
leo_5h_sun_6h,Leo,Sun,5H,6H,表現企画やリーダー業務の場で自己表現と影響力を発揮し場の活性と方向性を生み出す機能を担います,自己表現と実行力を両立できる,企画と運用を一体化すると成功しやすい,承認欲求が実務効率を下げやすい,creative;work;expression;execution
aquarius_11h_uranus_6h,Aquarius,Uranus,11H,6H,IT革新制度設計の領域で既存の仕組みを再構築し新しい価値と流れを生み出す機能を担います,革新性と実務適用のバランスが取れる,新規システム導入や改善で活躍する,変化を急ぎすぎると現場が混乱しやすい,innovation;system;work;change
pisces_12h_neptune_10h,Pisces,Neptune,12H,10H,医療芸術福祉の領域で感性と共感を活かし境界を超えたつながりと癒しを生み出す機能を担います,見えないニーズを捉える力が高い,芸術や福祉分野で評価されやすい,境界が曖昧になり消耗しやすい,healing;service;art;public
aries_1h_mars_6h,Aries,Mars,6H,6H,新規立ち上げや意思決定の場で主体的に行動を起こし停滞した状況を前進させる推進機能を担います,即断即決で業務を進める力がある,スピードが求められる現場で評価される,衝動的になりミスが増えやすい,action;execution;work;speed
taurus_2h_venus_10h,Taurus,Venus,2H,10H,資産運用や価値提供の領域で安定した成果を積み上げ継続可能な基盤を形成する機能を担います,安定した品質で信頼を築く,長期的に資産と評価を積み上げると成功する,変化を避けすぎると停滞しやすい,value;finance;career;stability
libra_7h_venus_6h,Libra,Venus,7H,6H,交渉調整仲介の領域で関係性を整え利害を調整することで合意と均衡を成立させる機能を担います,バランス感覚で人と仕事をつなぐ,チーム内での調整役として評価される,優柔不断で決断が遅れやすい,relationship;work;balance;support
scorpio_8h_mars_6h,Scorpio,Mars,8H,6H,金融再生危機対応の領域で資源配分と関係構造を組み替え根本的な変容を引き起こす機能を担います,集中力と実行力が高い,困難な業務ほど能力を発揮する,極端なやり方で摩擦を生みやすい,analysis;execution;intensity;work
sagittarius_9h_jupiter_6h,Sagittarius,Jupiter,9H,6H,教育出版研修海外領域で知識と理念を体系化し伝達することで他者の視野と理解を拡張する機能を担います,学びと実践を結びつける力がある,教育や研修分野で評価されやすい,理論偏重になると現場適応が弱くなる,education;work;learning;application
gemini_3h_mercury_11h,Gemini,Mercury,3H,11H,情報発信や編集教育の領域で知識を整理し伝達することで理解と流通を促進する機能を担います,情報拡散と人脈形成が得意,コミュニティやSNSで影響力が高まる,情報過多で軸がぶれやすい,network;communication;information;community
cancer_4h_moon_6h,Cancer,Moon,4H,6H,支援福祉教育の領域で関係性を築き人を守り育てることで安心と定着を生み出す機能を担います,細やかな配慮で信頼を得る,継続的な支援で評価が高まる,感情の波で安定性を欠きやすい,care;work;emotion;support
leo_5h_sun_11h,Leo,Sun,5H,11H,表現企画やリーダー業務の場で自己表現と影響力を発揮し場の活性と方向性を生み出す機能を担います,魅力と発信力で人を惹きつける,イベントや企画で影響力を拡大する,自己中心的になると反発を招きやすい,leadership;community;creative;public
aquarius_11h_saturn_6h,Aquarius,Saturn,11H,6H,IT革新制度設計の領域で既存の仕組みを再構築し新しい価値と流れを生み出す機能を担います,現実的に新しい仕組みを実装できる,改善活動を継続することで評価される,理想と現実のギャップに悩みやすい,reform;work;system;discipline
pisces_12h_jupiter_6h,Pisces,Jupiter,12H,6H,医療芸術福祉の領域で感性と共感を活かし境界を超えたつながりと癒しを生み出す機能を担います,共感と洞察で人を支える力がある,支援職や福祉分野で成長しやすい,自己犠牲が強くなりやすい,healing;service;empathy;work
aries_1h_mars_10h,Aries,Mars,10H,10H,新規立ち上げや意思決定の場で主体的に行動を起こし停滞した状況を前進させる推進機能を担います,決断力と推進力に優れる,新規事業やリーダー職で成功しやすい,独断的になると対立が増える,leadership;action;career;initiative
taurus_2h_venus_11h,Taurus,Venus,2H,11H,資産運用や価値提供の領域で安定した成果を積み上げ継続可能な基盤を形成する機能を担います,安定した関係構築で利益を拡大する,コミュニティビジネスで成功しやすい,変化に弱くチャンスを逃しやすい,finance;network;value;community
libra_7h_venus_10h,Libra,Venus,7H,10H,交渉調整仲介の領域で関係性を整え利害を調整することで合意と均衡を成立させる機能を担います,人との関係を成果に変える力がある,営業や対外交渉で評価が上がる,相手に依存しすぎると主体性を失う,negotiation;relationship;career;balance
scorpio_8h_pluto_6h,Scorpio,Pluto,8H,6H,金融再生危機対応の領域で資源配分と関係構造を組み替え根本的な変容を引き起こす機能を担います,問題の本質を見抜く力がある,専門分野で信頼を築くと強い,執着が強くなりすぎると視野が狭くなる,analysis;depth;work;transformation
sagittarius_9h_jupiter_2h,Sagittarius,Jupiter,9H,2H,教育出版研修海外領域で知識と理念を体系化し伝達することで他者の視野と理解を拡張する機能を担います,知識を商品化する力がある,発信や教育で収入を拡大できる,理想と収益のバランスを崩しやすい,education;finance;expansion;knowledge
gemini_3h_mercury_2h,Gemini,Mercury,3H,2H,情報発信や編集教育の領域で知識を整理し伝達することで理解と流通を促進する機能を担います,情報処理と発信のスピードが速い,コンテンツビジネスで成功しやすい,浅さが信頼低下につながりやすい,information;finance;media;communication
cancer_4h_moon_11h,Cancer,Moon,4H,11H,支援福祉教育の領域で関係性を築き人を守り育てることで安心と定着を生み出す機能を担います,人を包み込むような関係構築が得意,コミュニティ運営で評価されやすい,内向きになりすぎると閉鎖的になる,community;care;emotion;support
leo_5h_sun_10h_alt,Leo,Sun,5H,10H,表現企画やリーダー業務の場で自己表現と影響力を発揮し場の活性と方向性を生み出す機能を担います,自己表現と発信で人を動かす力がある,舞台や発信で評価を拡大できる,評価依存が強くなると不安定になる,creative;leadership;public;expression
aquarius_11h_uranus_2h,Aquarius,Uranus,11H,2H,IT革新制度設計の領域で既存の仕組みを再構築し新しい価値と流れを生み出す機能を担います,独自の発想で収益構造を作れる,新規ビジネスで成功しやすい,安定性に欠けるリスクがある,innovation;finance;system;business
virgo_6h_mercury_2h,Virgo,Mercury,6H,2H,業務改善分析品質管理の領域で現場を整え精度を高めることで安定した成果を再現する機能を担います,業務の無駄を削減し利益につなげる力がある,効率化とコスト管理で価値が拡大する,細部にこだわりすぎて全体利益を見失いやすい,work;finance;analysis;efficiency
capricorn_10h_saturn_9h,Capricorn,Saturn,10H,9H,組織運営管理責任の領域で計画と実行を統合し成果と地位を積み上げる構造を確立する機能を担います,計画性と実行力で大きな目標を達成する,教育や思想分野で影響力が拡大する,慎重すぎて機会を逃しやすい,strategy;management;vision;authority
sagittarius_9h_jupiter_6h_alt,Sagittarius,Jupiter,9H,6H,教育出版研修海外領域で知識と理念を体系化し伝達することで他者の視野と理解を拡張する機能を担います,抽象概念を現場に落とし込める,教育と実務の橋渡しで成長する,理論偏重で現場から乖離しやすい,education;application;work;learning
libra_7h_venus_2h,Libra,Venus,7H,2H,交渉調整仲介の領域で関係性を整え利害を調整することで合意と均衡を成立させる機能を担います,信頼関係を利益に結びつける力がある,顧客関係を深めることで収益が安定する,人に依存しすぎると不安定になる,relationship;finance;client;balance
scorpio_8h_pluto_11h,Scorpio,Pluto,8H,11H,金融再生危機対応の領域で資源配分と関係構造を組み替え根本的な変容を引き起こす機能を担います,組織の問題を根本から変える力がある,集団に影響力を持つことで成長する,支配的になると反発を招きやすい,transformation;organization;depth;change
leo_5h_sun_2h,Leo,Sun,5H,2H,表現企画やリーダー業務の場で自己表現と影響力を発揮し場の活性と方向性を生み出す機能を担います,魅力を価値として提供できる,個人ブランドを育てると成功しやすい,自己中心性が強くなりやすい,creative;finance;brand;expression
aquarius_11h_uranus_11h,Aquarius,Uranus,11H,11H,IT革新制度設計の領域で既存の仕組みを再構築し新しい価値と流れを生み出す機能を担います,新しい繋がりを作る力が強い,オンラインやコミュニティで拡大しやすい,距離感が強すぎると孤立しやすい,network;innovation;community;future
pisces_12h_neptune_2h,Pisces,Neptune,12H,2H,医療芸術福祉の領域で感性と共感を活かし境界を超えたつながりと癒しを生み出す機能を担います,共感力を価値化できる,芸術や癒しで収益化しやすい,現実感覚が弱くなりやすい,healing;finance;art;empathy
aries_1h_mars_2h,Aries,Mars,1H,2H,新規立ち上げや意思決定の場で主体的に行動を起こし停滞した状況を前進させる推進機能を担います,即行動で結果を出す力がある,スピード重視のビジネスで成功しやすい,衝動的判断で損失を出しやすい,action;finance;execution;speed
taurus_2h_venus_9h,Taurus,Venus,2H,9H,資産運用や価値提供の領域で安定した成果を積み上げ継続可能な基盤を形成する機能を担います,安定性と拡張性のバランスが良い,海外や教育分野で収益を伸ばせる,変化に慎重すぎると拡大が遅れる,finance;expansion;value;stability
gemini_3h_mercury_9h,Gemini,Mercury,3H,9H,情報発信や編集教育の領域で知識を整理し伝達することで理解と流通を促進する機能を担います,情報処理と発信力が高い,講座や教育分野で成長しやすい,浅さが信頼低下につながる,information;education;communication;learning
cancer_4h_moon_2h,Cancer,Moon,4H,2H,支援福祉教育の領域で関係性を築き人を守り育てることで安心と定着を生み出す機能を担います,人を支える力で収益を生む,生活関連サービスで安定しやすい,感情に左右されやすい,care;finance;home;support
leo_5h_sun_9h,Leo,Sun,5H,9H,表現企画やリーダー業務の場で自己表現と影響力を発揮し場の活性と方向性を生み出す機能を担います,魅力と理念を結びつける力がある,教育や発信で影響力を拡大する,自己主張が強くなりすぎる,creative;education;expression;vision
aquarius_11h_saturn_2h,Aquarius,Saturn,11H,2H,IT革新制度設計の領域で既存の仕組みを再構築し新しい価値と流れを生み出す機能を担います,革新を現実的に収益化できる,長期的なビジネスモデルで成功する,安定化に時間がかかる,innovation;finance;structure;business
pisces_12h_jupiter_2h,Pisces,Jupiter,12H,2H,医療芸術福祉の領域で感性と共感を活かし境界を超えたつながりと癒しを生み出す機能を担います,見えない価値を収益に変える力がある,支援活動を収益化すると発展する,境界が曖昧になりやすい,spiritual;finance;healing;support
aries_1h_mars_11h,Aries,Mars,1H,11H,新規立ち上げや意思決定の場で主体的に行動を起こし停滞した状況を前進させる推進機能を担います,人を巻き込み動かす力がある,集団活動で影響力を発揮する,強引さが反発を招きやすい,action;community;leadership;initiative
taurus_2h_venus_11h_alt,Taurus,Venus,2H,11H,資産運用や価値提供の領域で安定した成果を積み上げ継続可能な基盤を形成する機能を担います,信頼関係を長期利益に変える,コミュニティビジネスで成功する,変化に弱い,finance;network;value;community
libra_7h_venus_9h,Libra,Venus,7H,9H,交渉調整仲介の領域で関係性を整え利害を調整することで合意と均衡を成立させる機能を担います,人との関係で知識や価値を拡張する,海外や教育分野で発展する,他人依存になりやすい,relationship;education;balance;exchange
scorpio_8h_pluto_2h_alt,Scorpio,Pluto,8H,2H,金融再生危機対応の領域で資源配分と関係構造を組み替え根本的な変容を引き起こす機能を担います,高度な専門知識で価値を生む,ニッチ分野で強い収益力を持つ,閉鎖的になりやすい,specialty;finance;depth;analysis
sagittarius_9h_jupiter_11h_alt,Sagittarius,Jupiter,9H,11H,教育出版研修海外領域で知識と理念を体系化し伝達することで他者の視野と理解を拡張する機能を担います,思想を広げる力がある,コミュニティと結びつくと成功する,拡散しすぎて焦点がぼやける,expansion;community;vision;network
gemini_3h_mercury_10h_alt,Gemini,Mercury,3H,10H,情報発信や編集教育の領域で知識を整理し伝達することで理解と流通を促進する機能を担います,発信力で影響力を持つ,メディアやSNSで成功しやすい,情報過多で軸がぶれる,media;communication;public;information
cancer_4h_moon_9h,Cancer,Moon,4H,9H,支援福祉教育の領域で関係性を築き人を守り育てることで安心と定着を生み出す機能を担います,人を育てる力がある,教育やサポート分野で成長する,感情的になりやすい,care;education;emotion;support
leo_5h_sun_11h_alt,Leo,Sun,5H,11H,表現企画やリーダー業務の場で自己表現と影響力を発揮し場の活性と方向性を生み出す機能を担います,人を惹きつける力がある,イベントや企画で成功しやすい,自己中心性に注意,creative;community;expression;leadership
aquarius_11h_uranus_9h,Aquarius,Uranus,11H,9H,IT革新制度設計の領域で既存の仕組みを再構築し新しい価値と流れを生み出す機能を担います,新しい考えを広める力がある,教育や発信で影響力を持つ,現実離れしやすい,innovation;education;future;vision
pisces_12h_neptune_11h,Pisces,Neptune,12H,11H,医療芸術福祉の領域で感性と共感を活かし境界を超えたつながりと癒しを生み出す機能を担います,人を優しくつなぐ力がある,支援コミュニティで成長する,境界が曖昧になりやすい,healing;community;empathy;support
virgo_6h_mercury_11h_alt,Virgo,Mercury,6H,11H,業務改善分析品質管理の領域で現場を整え精度を高めることで安定した成果を再現する機能を担います,現場の改善を仕組みに落とし込む力がある,チームや組織単位で改善を広げると成長する,細部に偏りすぎると全体戦略を見失う,work;system;optimization;organization
capricorn_10h_saturn_2h_alt,Capricorn,Saturn,10H,2H,組織運営管理責任の領域で計画と実行を統合し成果と地位を積み上げる構造を確立する機能を担います,長期的に安定した成果を出せる,資産や収益と結びつけることで成功する,責任過多で疲弊しやすい,management;finance;career;discipline
sagittarius_9h_jupiter_10h_alt2,Sagittarius,Jupiter,9H,10H,教育出版研修海外領域で知識と理念を体系化し伝達することで他者の視野と理解を拡張する機能を担います,広い視野で人を導く力がある,教育や発信で社会的評価が高まる,理想が高すぎると現実と乖離する,education;leadership;vision;public
libra_7h_venus_6h_alt,Libra,Venus,7H,6H,交渉調整仲介の領域で関係性を整え利害を調整することで合意と均衡を成立させる機能を担います,人と仕事のバランスを取る力が高い,チーム内での調整役で評価が上がる,優柔不断で判断が遅れる,relationship;work;balance;team
scorpio_8h_pluto_10h_alt,Scorpio,Pluto,8H,10H,金融再生危機対応の領域で資源配分と関係構造を組み替え根本的な変容を引き起こす機能を担います,極限状況で成果を出す力がある,危機管理や再建分野で成長する,極端なやり方で摩擦を生む,transformation;crisis;authority;leadership
leo_5h_sun_6h_alt,Leo,Sun,5H,6H,表現企画やリーダー業務の場で自己表現と影響力を発揮し場の活性と方向性を生み出す機能を担います,表現力と実行力のバランスが良い,企画運用の両立で成功しやすい,承認欲求が業務効率を下げる,creative;work;expression;execution
aquarius_11h_uranus_6h_alt,Aquarius,Uranus,11H,6H,IT革新制度設計の領域で既存の仕組みを再構築し新しい価値と流れを生み出す機能を担います,新しい仕組みを実務に落とし込める,改善活動を継続することで評価される,変化が急すぎると混乱を招く,innovation;work;system;change
pisces_12h_neptune_10h_alt,Pisces,Neptune,12H,10H,医療芸術福祉の領域で感性と共感を活かし境界を超えたつながりと癒しを生み出す機能を担います,見えないニーズを感じ取る力がある,福祉や芸術分野で評価される,境界が曖昧になりやすい,healing;public;empathy;service
aries_1h_mars_6h_alt,Aries,Mars,1H,6H,新規立ち上げや意思決定の場で主体的に行動を起こし停滞した状況を前進させる推進機能を担います,スピードと決断力に優れる,実行力が求められる環境で成功する,衝動的になりやすい,action;work;execution;speed
taurus_2h_venus_10h_alt2,Taurus,Venus,2H,10H,資産運用や価値提供の領域で安定した成果を積み上げ継続可能な基盤を形成する機能を担います,品質と継続力で信頼を築く,長期的な実績で成功する,変化への対応が遅れる,value;finance;career;stability
gemini_3h_mercury_6h_alt,Gemini,Mercury,3H,6H,情報発信や編集教育の領域で知識を整理し伝達することで理解と流通を促進する機能を担います,情報整理と効率化が得意,複数業務を横断すると強みが出る,集中力が分散しやすい,information;work;optimization;communication
cancer_4h_moon_10h_alt,Cancer,Moon,4H,10H,支援福祉教育の領域で関係性を築き人を守り育てることで安心と定着を生み出す機能を担います,人を支える力で信頼を得る,支援分野で評価が上がる,感情負担が大きくなりやすい,care;public;emotion;support
leo_5h_sun_10h_alt2,Leo,Sun,5H,10H,表現企画やリーダー業務の場で自己表現と影響力を発揮し場の活性と方向性を生み出す機能を担います,魅力で人を惹きつける,発信や舞台で成功しやすい,評価依存になりやすい,creative;leadership;public;expression
aquarius_11h_saturn_10h_alt,Aquarius,Saturn,11H,10H,IT革新制度設計の領域で既存の仕組みを再構築し新しい価値と流れを生み出す機能を担います,長期視点で仕組みを構築できる,制度設計で評価される,理想と現実のギャップに悩む,reform;system;structure;authority
pisces_12h_jupiter_10h_alt,Pisces,Jupiter,12H,10H,医療芸術福祉の領域で感性と共感を活かし境界を超えたつながりと癒しを生み出す機能を担います,見えない価値を伝える力がある,教育や福祉で影響力が高まる,現実とのバランスが崩れやすい,spiritual;leadership;healing;public
aries_1h_mars_2h_alt,Aries,Mars,1H,2H,新規立ち上げや意思決定の場で主体的に行動を起こし停滞した状況を前進させる推進機能を担います,即行動で結果を出せる,短期ビジネスで成功しやすい,衝動的な判断で損失を出す,action;finance;execution;speed
taurus_2h_venus_6h_alt,Taurus,Venus,2H,6H,資産運用や価値提供の領域で安定した成果を積み上げ継続可能な基盤を形成する機能を担います,継続力で成果を出す,日々の積み重ねで成功する,変化に弱い,finance;work;stability;value
libra_7h_venus_11h_alt2,Libra,Venus,7H,11H,交渉調整仲介の領域で関係性を整え利害を調整することで合意と均衡を成立させる機能を担います,関係構築能力が高い,コミュニティで成功しやすい,他人に依存しやすい,relationship;network;community;balance
scorpio_8h_pluto_6h_alt,Scorpio,Pluto,8H,6H,金融再生危機対応の領域で資源配分と関係構造を組み替え根本的な変容を引き起こす機能を担います,問題の本質を見抜く力がある,専門分野で評価される,視野が狭くなりやすい,analysis;work;depth;transformation
sagittarius_9h_jupiter_2h_alt,Sagittarius,Jupiter,9H,2H,教育出版研修海外領域で知識と理念を体系化し伝達することで他者の視野と理解を拡張する機能を担います,知識を価値に変える力がある,教育ビジネスで成功しやすい,理想と収益のバランスが崩れる,education;finance;expansion;knowledge
gemini_3h_mercury_2h_alt,Gemini,Mercury,3H,2H,情報発信や編集教育の領域で知識を整理し伝達することで理解と流通を促進する機能を担います,発信力と情報処理能力が高い,コンテンツで収益を伸ばす,浅さが信頼低下につながる,information;finance;media;communication
cancer_4h_moon_6h_alt,Cancer,Moon,4H,6H,支援福祉教育の領域で関係性を築き人を守り育てることで安心と定着を生み出す機能を担います,細やかな配慮ができる,継続支援で評価される,感情に影響されやすい,care;work;emotion;support
leo_5h_sun_11h_alt2,Leo,Sun,5H,11H,表現企画やリーダー業務の場で自己表現と影響力を発揮し場の活性と方向性を生み出す機能を担います,人を惹きつける力がある,イベントや企画で成功する,自己中心性に注意,creative;community;expression;leadership
aquarius_11h_uranus_2h_alt,Aquarius,Uranus,11H,2H,IT革新制度設計の領域で既存の仕組みを再構築し新しい価値と流れを生み出す機能を担います,独自の発想で収益を生む,新規ビジネスで成功しやすい,安定性に欠ける,innovation;finance;system;business
pisces_12h_neptune_11h_alt,Pisces,Neptune,12H,11H,医療芸術福祉の領域で感性と共感を活かし境界を超えたつながりと癒しを生み出す機能を担います,人を優しくまとめる力がある,支援コミュニティで発展する,境界が曖昧になりやすい,healing;community;empathy;support
