sign,house,count_min,theme_id,label,summary,main_text,work_text,relationship_text,caution_text,tags
Aquarius,10,3,aquarius_10h_stellium_reform,社会改革と独自性の集中,社会の中で独自の視点を活かし新しい仕組みを作ることが大きなテーマになりやすい集中配置です。,既存の枠に疑問を持ちよりよい形へ更新していく流れが強まりやすいです。,仕事では企画開発IT制度設計組織改革コミュニティ運営で力を発揮しやすいでしょう。,対人面ではフラットさと個性が魅力になります。,理屈や距離感が強すぎると温度の低さや孤立感につながりやすいです。,stellium;Aquarius;10house;reform;career;innovation
Pisces,6,3,pisces_6h_stellium_healing_service,癒しと奉仕の集中,繊細さや共感力を日常の役割や奉仕に注いでいく集中配置です。,人の痛みや空気を感じ取りながら支えることが人生の重要テーマになりやすいです。,仕事では医療福祉支援芸術セラピー裏方業務で力を発揮しやすいでしょう。,対人面では受容性と優しさが強い魅力になります。,境界が曖昧になると抱え込みや疲弊につながりやすくなります。,stellium;Pisces;6house;healing;service;sensitivity
Aries,7,3,aries_7h_stellium_dynamic_relationship,関係の中で鍛えられる集中,人との関わりの中で勢いや主体性が強く刺激されやすい集中配置です。,対人関係が人生の推進力となり関係の中で自分が鍛えられやすいです。,仕事では交渉営業共同プロジェクト対外対応で力を発揮しやすいでしょう。,対人面ではストレートさと行動力が魅力ですが衝突も起こりやすいです。,勝ち負けにこだわると関係が消耗戦になりやすくなります。,stellium;Aries;7house;relationship;initiative;dynamic
Taurus,6,3,taurus_6h_stellium_steady_work,安定稼働と継続実務の集中,無理なく続く形で日常や仕事を整える力が強く出やすい集中配置です。,安定した習慣と現実的な手順を積み重ねることで人生が整いやすいです。,仕事では継続運用品質維持経理事務制作管理で力を発揮しやすいでしょう。,対人面では穏やかさと誠実さが信頼につながりやすいです。,変化に消極的になりすぎると改善の機会を逃しやすくなります。,stellium;Taurus;6house;steady;work;routine
Gemini,11,3,gemini_11h_stellium_networking,交流と発信ネットワークの集中,仲間やコミュニティの中で情報をつなぎ広げる役割が強く出やすい集中配置です。,一人で抱えるより人と情報を循環させることで人生が発展しやすいです。,仕事ではSNS広報企画連携営業コミュニティ運営で力を発揮しやすいでしょう。,対人面では軽やかな交流力と話題の豊かさが魅力になります。,関係が広く浅くなりすぎると本当に必要な絆が弱まりやすいです。,stellium;Gemini;11house;network;communication;community
Cancer,10,3,cancer_10h_stellium_protective_role,守る役割と社会性の集中,人を守り支える役割を社会の中で担いやすい集中配置です。,安心を提供することや面倒を見ることが社会的役割につながりやすいです。,仕事では教育福祉人事接客管理サポート役で力を発揮しやすいでしょう。,対人面では温かさと包容力が魅力になります。,感情を仕事に持ち込みすぎると消耗しやすくなります。,stellium;Cancer;10house;care;career;protection
Leo,1,3,leo_1h_stellium_presence,存在感と自己表現の集中,自分らしさや華やかさが人格全体で強く前面に出やすい集中配置です。,自分の魅力を隠さず表現することで人生の流れが活性化しやすいです。,仕事では発信企画教育演出マネジメントで力を発揮しやすいでしょう。,対人面では明るさと温かい存在感が大きな魅力になります。,プライドや評価への敏感さが強まると傷つきやすくなります。,stellium;Leo;1house;presence;expression;self
Virgo,10,3,virgo_10h_stellium_professionalism,専門性と改善の社会化,実務改善や専門性を社会的役割として形にしていく集中配置です。,正確さと有用性を高めながら社会で信頼を築くことが大きなテーマになります。,仕事では分析品質管理編集研究事務改善専門職で力を発揮しやすいでしょう。,対人面では有能さと誠実さが信頼につながりやすいです。,細部へのこだわりが強まりすぎると評価不安や神経疲労につながりやすいです。,stellium;Virgo;10house;professional;career;improvement
Libra,1,3,libra_1h_stellium_refined_self,洗練された自己表現の集中,調和美意識対人感覚が人格全体に強くにじみやすい集中配置です。,人との関わりの中で自分を磨き洗練させていく流れが強まりやすいです。,仕事では接客広報デザイン調整交渉連携で力を発揮しやすいでしょう。,対人面では柔らかさ上品さ気配りが魅力になります。,自分の意見を後回しにしすぎると曖昧さが強まりやすいです。,stellium;Libra;1house;refinement;balance;self
Scorpio,10,3,scorpio_10h_stellium_intense_career,深い影響力と社会的変容の集中,社会の中で深い影響力を持ち変化を起こす役割が強く出やすい集中配置です。,表面的に整えるだけでなく本質に切り込み変革する流れが強まりやすいです。,仕事では調査研究金融危機管理再建経営心理分野で力を発揮しやすいでしょう。,対人面では存在感の強さと見抜く力が印象に残りやすいです。,支配欲や極端さが強まると力の使い方が重くなりやすいです。,stellium;Scorpio;10house;career;influence;transformation
Sagittarius,5,3,sagittarius_5h_stellium_playful_expansion,創造的拡大と自由表現の集中,楽しみながら表現し世界を広げていく力が強く出やすい集中配置です。,遊び創作発信冒険が人生の活力になりやすいです。,仕事では教育企画エンタメ発信旅行イベント分野で力を発揮しやすいでしょう。,対人面では明るさ開放感ユーモアが魅力になります。,勢いに任せすぎると継続性や責任感が弱まりやすいです。,stellium;Sagittarius;5house;play;creativity;expansion
Capricorn,2,3,capricorn_2h_stellium_structured_value,価値の構築と堅実性の集中,時間をかけて確かな価値や資源を築くことが大きなテーマになりやすい集中配置です。,短期的な派手さより長期的な蓄積で人生が安定しやすいです。,仕事では経理管理資産形成制度運用長期計画で力を発揮しやすいでしょう。,対人面では信頼できる現実感が安心感につながりやすいです。,不足感や損失への恐れが強まると守りが固くなりやすいです。,stellium;Capricorn;2house;value;structure;resources
Aquarius,1,3,aquarius_1h_stellium_individuality,独自性と自由な自己像の集中,常識にとらわれず独自の生き方を体現しやすい集中配置です。,自分らしい視点を貫くことで人生の流れが生まれやすいです。,仕事では企画開発改革IT研究コミュニティ形成で力を発揮しやすいでしょう。,対人面では個性と距離感のバランスが印象に残りやすいです。,違いを強調しすぎると孤立や反発につながりやすいです。,stellium;Aquarius;1house;individuality;freedom;self
Pisces,8,3,pisces_8h_stellium_empathic_depth,共感的な深さと変容の集中,見えない感情や深い結びつきを通して変容していく力が強く出やすい集中配置です。,理屈では説明しきれない深い感応を通して人生が動きやすいです。,仕事では心理支援福祉芸術医療研究秘密保持が必要な分野で力を発揮しやすいでしょう。,対人面では深い共感と溶け合うような親密さが出やすいです。,境界の曖昧さが強まると依存や混乱につながりやすいです。,stellium;Pisces;8house;depth;empathy;transformation
Aries,4,3,aries_4h_stellium_inner_drive,内的推進力と居場所形成の集中,安心基盤や私的領域の中に強い推進力が集まりやすい集中配置です。,自分の居場所を自力で切り開きながら人生の土台を作っていきやすいです。,仕事では立ち上げ運営現場対応家庭支援不動産管理などで力を発揮しやすいでしょう。,対人面では身内に対して率直で守る力が強く出やすいです。,感情的な反応が早すぎると家庭や身近な関係で衝突が増えやすくなります。,stellium;Aries;4house;home;initiative;foundation
Aries,8,3,aries_8h_stellium_crisis_drive,危機突破と変容の集中,深い共有や危機的状況の中で突破力が強く働きやすい集中配置です。,強いプレッシャーの中で本領を発揮し人生を変化させやすいです。,仕事では危機管理再建交渉調査投資医療など緊張感の高い分野で力を発揮しやすいでしょう。,対人面では親密な関係で情熱と衝突の両方が強く出やすいです。,力で押し切ろうとすると信頼関係が壊れやすくなります。,stellium;Aries;8house;crisis;transformation;shared
Aries,11,3,aries_11h_stellium_collective_push,集団推進と先導の集中,仲間や集団の中で先頭に立ち流れを作りやすい集中配置です。,理想を語るだけでなく周囲を巻き込んで動かすことが大きなテーマになります。,仕事ではチーム推進企画立案営業組織開拓コミュニティ形成で力を発揮しやすいでしょう。,対人面では行動力と決断の速さが魅力になります。,周囲のペースを無視すると独走や対立につながりやすいです。,stellium;Aries;11house;group;leadership;initiative
Taurus,4,3,taurus_4h_stellium_security_base,安心基盤と蓄積の集中,生活基盤や居場所を安定させながら人生を築きやすい集中配置です。,慌てず確実に安心できる土台を作ることが人生の中心テーマになりやすいです。,仕事では住環境管理不動産経理家業運営支援業務で力を発揮しやすいでしょう。,対人面では温かさと安定感が信頼につながりやすいです。,安定へのこだわりが強すぎると閉じた環境に留まりやすくなります。,stellium;Taurus;4house;security;home;stability
Taurus,8,3,taurus_8h_stellium_shared_security,共有資源と安心の集中,共有や深い結びつきの中でも安定を求めやすい集中配置です。,他者との結びつきの中で安心できる形を作ることが人生テーマになりやすいです。,仕事では金融管理資産運用継承支援保険経理などで力を発揮しやすいでしょう。,対人面では一度信頼すると深く長く結びつきやすいです。,執着や所有意識が強まると関係が重くなりやすいです。,stellium;Taurus;8house;shared;security;resources
Taurus,10,3,taurus_10h_stellium_reliable_career,堅実な社会的信頼の集中,社会の中で安定した価値を提供し信頼を築きやすい集中配置です。,急成長よりも着実な積み上げで評価されやすい人生の流れになります。,仕事では品質管理経営補佐製造会計資産管理運営で力を発揮しやすいでしょう。,対人面では落ち着きと誠実さが魅力として伝わりやすいです。,現状維持が強すぎると挑戦のタイミングを逃しやすくなります。,stellium;Taurus;10house;career;reliability;stability
Gemini,6,3,gemini_6h_stellium_adaptive_work,柔軟実務と情報処理の集中,日常や仕事の場で情報処理と柔軟な対応力が強く出やすい集中配置です。,変化の多い環境の中で素早く学び回しながら人生を整えやすいです。,仕事では事務処理編集調整サポート分析連絡業務で力を発揮しやすいでしょう。,対人面では気さくさと話しやすさが安心感につながりやすいです。,気が散りやすいと集中力や継続力が落ちやすくなります。,stellium;Gemini;6house;work;adaptability;information
Gemini,7,3,gemini_7h_stellium_dialogue_relation,対話関係と知的交流の集中,人との対話や知的交流を通して人生が展開しやすい集中配置です。,関係性の中で言葉を交わしながら自分の視野を広げていく流れが強まりやすいです。,仕事では営業接客広報交渉教育連携業務で力を発揮しやすいでしょう。,対人面では会話のテンポの良さと柔軟性が魅力になります。,言葉が多くなりすぎると軽さや一貫性の弱さにつながりやすいです。,stellium;Gemini;7house;relationship;dialogue;communication
Gemini,10,3,gemini_10h_stellium_public_voice,社会的発信と知的機動力の集中,社会の中で情報を扱い発信する役割が強く出やすい集中配置です。,知識や言葉を活かして多方面に働きかけることが人生のテーマになりやすいです。,仕事では広報営業編集教育企画メディア業務で力を発揮しやすいでしょう。,対人面では軽快さと頭の回転の速さが印象に残りやすいです。,興味が分散しすぎると専門性の薄さにつながりやすいです。,stellium;Gemini;10house;career;communication;public
Cancer,1,3,cancer_1h_stellium_sensitive_presence,感受性と保護性の集中,感受性や守ろうとする気質が人格全体に強く表れやすい集中配置です。,自分や大切な人を守りながら安心できる流れを作ることが人生の土台になりやすいです。,仕事ではケア支援教育接客保護管理で力を発揮しやすいでしょう。,対人面では親しみやすさと温かさが大きな魅力になります。,感情防衛が強くなると気分の波や閉鎖性につながりやすいです。,stellium;Cancer;1house;sensitivity;care;self
Cancer,6,3,cancer_6h_stellium_caring_work,支援実務と保護の集中,日常や仕事の場で人を支え守る力が強く出やすい集中配置です。,身近な場を整えながら人の安心を支えることが人生の重要テーマになります。,仕事では医療福祉人事総務接客教育支援で力を発揮しやすいでしょう。,対人面では細やかな気遣いと面倒見の良さが魅力になります。,抱え込みやすいと疲弊や境界の曖昧さにつながりやすいです。,stellium;Cancer;6house;service;care;work
Cancer,8,3,cancer_8h_stellium_emotional_depth,感情的深さと共有の集中,深い感情交流や共有を通して大きく変化しやすい集中配置です。,人との強い結びつきの中で心の深い層が動き人生が変わりやすいです。,仕事では心理支援福祉危機対応財務継承支援で力を発揮しやすいでしょう。,対人面では深い愛着と守ろうとする姿勢が強く出やすいです。,不安や依存が強まると関係が重くなりやすくなります。,stellium;Cancer;8house;depth;bonding;shared
Leo,7,3,leo_7h_stellium_visible_relation,関係の中で輝く集中,対人関係の中で自分らしさや存在感が強く表れやすい集中配置です。,人と関わることで魅力や表現力が引き出され人生が活性化しやすいです。,仕事では接客営業教育広報共同企画マネジメントで力を発揮しやすいでしょう。,対人面では明るさ温かさドラマ性が魅力になります。,認められたい気持ちが強すぎると関係が不安定になりやすいです。,stellium;Leo;7house;relationship;visibility;expression
Leo,11,3,leo_11h_stellium_group_presence,集団の中での存在感の集中,仲間や集団の中で目立つ役割や中心性を持ちやすい集中配置です。,個人の魅力を共同体の中で発揮することが人生テーマになりやすいです。,仕事ではチーム運営発信イベント企画教育コミュニティ形成で力を発揮しやすいでしょう。,対人面では人を明るくする華やかさが魅力になります。,集団の中で承認を求めすぎると競争意識が強まりやすいです。,stellium;Leo;11house;group;presence;leadership
Leo,12,3,leo_12h_stellium_hidden_creativity,内面世界の創造性の集中,表に見えにくい場所で強い創造性や誇りが育ちやすい集中配置です。,表に出る前の準備期間や内面の熟成を通して人生が深まりやすいです。,仕事では制作研究裏方演出支援芸術分野で力を発揮しやすいでしょう。,対人面では静かな誇りと優しさがにじみやすいです。,認められない痛みを溜め込むと自己否定や孤立感につながりやすいです。,stellium;Leo;12house;creativity;inner;hidden
Virgo,1,3,virgo_1h_stellium_precise_self,整える自己像の集中,正確さや整える力が人格全体に強くにじみやすい集中配置です。,観察し調整し改善することが自分らしさの核になりやすいです。,仕事では分析編集管理品質改善実務全般で力を発揮しやすいでしょう。,対人面では気配りと誠実さが信頼につながりやすいです。,自己批判や過度な神経質さが強まると疲れやすくなります。,stellium;Virgo;1house;precision;self;improvement
Virgo,4,3,virgo_4h_stellium_ordered_base,整った基盤づくりの集中,生活基盤や心の土台を整えることに力が集まりやすい集中配置です。,安心できる環境を細やかに整えながら人生を安定させやすいです。,仕事では総務事務運用管理家業支援医療福祉関連で力を発揮しやすいでしょう。,対人面では身近な人への細やかな配慮が魅力になります。,細部へのこだわりが強すぎると家庭内の緊張や不満が増えやすいです。,stellium;Virgo;4house;home;order;support
Virgo,8,3,virgo_8h_stellium_analysis_depth,深い分析と共有課題の集中,共有や深いテーマに対して分析力と改善意識が強く向きやすい集中配置です。,複雑な問題を整理し現実的に扱うことが人生の重要テーマになりやすいです。,仕事では研究調査医療会計保険危機管理分析で力を発揮しやすいでしょう。,対人面では慎重さと誠実さが信頼につながりやすいです。,不安を細かく追いすぎると神経過敏や疑い深さにつながりやすいです。,stellium;Virgo;8house;analysis;depth;shared
Libra,4,3,libra_4h_stellium_harmonious_base,調和的な居場所づくりの集中,家庭や私的領域で美しさと調和を整える力が強く出やすい集中配置です。,心地よい関係性と環境を整えることで人生の土台が安定しやすいです。,仕事では住環境接客調整総務支援デザイン関連で力を発揮しやすいでしょう。,対人面では柔らかさと公平さが安心感につながりやすいです。,対立を避けすぎると本音が溜まりやすくなります。,stellium;Libra;4house;home;harmony;balance
Libra,8,3,libra_8h_stellium_shared_balance,深い関係における均衡の集中,共有や親密さの中でバランス感覚が試されやすい集中配置です。,人との深い結びつきを公平に保つことが人生の大きなテーマになりやすいです。,仕事では交渉財務相談法務支援心理対人調整で力を発揮しやすいでしょう。,対人面では品のある親密さと配慮が魅力になります。,相手に合わせすぎると自分の欲求が見えにくくなりやすいです。,stellium;Libra;8house;shared;balance;relationship
Libra,11,3,libra_11h_stellium_social_link,社会的つながりと協調の集中,仲間や社会とのつながりの中で調整役として機能しやすい集中配置です。,個人の意見を調整しながら共同体を整えることが人生テーマになりやすいです。,仕事では人事広報イベント企画営業コミュニティ運営で力を発揮しやすいでしょう。,対人面では社交性と気配りが強い魅力になります。,全員に良く思われようとすると判断が鈍りやすくなります。,stellium;Libra;11house;social;cooperation;network
Scorpio,1,3,scorpio_1h_stellium_intense_self,強い存在感と深い自己変容の集中,強い存在感や極端さが人格全体に前面化しやすい集中配置です。,深く生きることや本質に迫ることが自分らしさの核になりやすいです。,仕事では研究分析危機対応再建心理金融分野で力を発揮しやすいでしょう。,対人面では見抜く力と濃い存在感が印象に残りやすいです。,警戒や支配欲が強まると人との距離が極端になりやすいです。,stellium;Scorpio;1house;intensity;self;transformation
Scorpio,4,3,scorpio_4h_stellium_deep_foundation,深い心の基盤形成の集中,心の奥深くにある課題や記憶が人生の土台に強く影響しやすい集中配置です。,安心基盤を作るために深い感情や過去と向き合うことが重要になりやすいです。,仕事では心理支援家族支援調査再建保全業務で力を発揮しやすいでしょう。,対人面では身内に対する結びつきが非常に深くなりやすいです。,感情を抱え込みすぎると防衛的で閉鎖的になりやすいです。,stellium;Scorpio;4house;home;depth;inner
Scorpio,11,3,scorpio_11h_stellium_intense_group,濃い仲間関係と集団変容の集中,仲間や集団の中で深い影響力や結束を生みやすい集中配置です。,表面的なつながりより本気で関われる共同体を求めやすいです。,仕事では組織再建戦略立案研究チーム運営危機管理で力を発揮しやすいでしょう。,対人面では少数精鋭の濃い関係を築きやすいです。,疑いや排他性が強まると集団内の緊張が高まりやすいです。,stellium;Scorpio;11house;group;intensity;bonding
Sagittarius,4,3,sagittarius_4h_stellium_belief_base,広い視野を育てる基盤の集中,家庭や内面の基盤に自由さと探求心が強く流れやすい集中配置です。,安心の中に広がりや学びを持ち込むことが人生のテーマになりやすいです。,仕事では教育支援企画住環境運営海外関連業務で力を発揮しやすいでしょう。,対人面では明るさとおおらかさが居心地の良さにつながりやすいです。,自由を優先しすぎると生活基盤の安定が弱まりやすいです。,stellium;Sagittarius;4house;home;freedom;belief
Sagittarius,6,3,sagittarius_6h_stellium_growth_work,成長志向の実務集中,日常や仕事の場で成長志向や向上心が強く出やすい集中配置です。,働きながら学び広げていくことが人生の流れになりやすいです。,仕事では教育企画研修営業研究発信業務で力を発揮しやすいでしょう。,対人面では前向きさと率直さが良い刺激になりやすいです。,理想が先行しすぎると日々の細かな管理が雑になりやすいです。,stellium;Sagittarius;6house;work;growth;learning
Sagittarius,11,3,sagittarius_11h_stellium_vision_network,理想共有と未来拡大の集中,仲間と理想を共有しながら未来を広げていく力が強く出やすい集中配置です。,一人の成功よりも共同体の可能性を広げることに意味を感じやすいです。,仕事では企画教育コミュニティ運営海外連携発信で力を発揮しやすいでしょう。,対人面では開放感と前向きさが周囲を明るくしやすいです。,理想論ばかりになると現実的な実行力が弱まりやすいです。,stellium;Sagittarius;11house;vision;network;expansion
Capricorn,1,3,capricorn_1h_stellium_serious_self,責任感ある自己像の集中,責任感や現実性が人格全体に強く表れやすい集中配置です。,軽さよりも確かさを重視しながら人生を積み上げやすいです。,仕事では管理運営統制計画実務推進で力を発揮しやすいでしょう。,対人面では信頼感と落ち着きが魅力になります。,自分に厳しすぎると柔軟性や余裕を失いやすいです。,stellium;Capricorn;1house;responsibility;self;structure
