theme_id,role,label,summary,section5_text,section8_text,problem_text,growth_text,tags
node_vs_mars_conflict,conflict,衝動と方向性の葛藤,行動の勢いと人生の方向が噛み合わないテーマです。,衝動的な行動が方向性と噛み合わず動き直しが頻発しやすい流れが生じます。,行動の衝動を方向性に沿わせて使うことが人生の課題として残ります。,勢い任せで失敗しやすい傾向があります。,一度立ち止まって方向を確認することが重要です。,conflict;node;mars
node_vs_saturn_conflict,conflict,制限と成長方向の葛藤,現実的な制約と進むべき方向の間で葛藤が起こるテーマです。,制限や停滞に直面しやすく進行と抑制の間で葛藤が継続的に発生します。,制限や停滞を成長資源へ転換することが人生の課題として残ります。,できない理由に囚われやすい傾向があります。,制限の中でできることを積み重ねることで道が開けます。,conflict;node;saturn
node_virgo_6h_direction,direction,実務改善と役割遂行の方向性,理想に逃げるのではなく現実の中で役に立つことを積み上げることが成長方向です。,日常業務や習慣の改善を繰り返しながら精度と成果を積み上げていく流れになります。,日常の改善と積み重ねによって成果を安定させることが人生の基盤として確立されます。,理想や曖昧さに逃げると現実が停滞します。,現実的な行動を積み上げることで成長が進みます。,direction;node;virgo;6house;work
node_libra_7h_direction,direction,協調と関係性の方向性,自分中心ではなく他者とのバランスを取ることが成長方向です。,対人関係の調整とバランス構築を通じて全体の流れが整っていきます。,関係性の質とバランスを整えることが人生全体の発展を支える軸になります。,自己主張が強すぎると対立が増えます。,相手を尊重することで安定した関係が築けます。,direction;node;libra;7house;relationship
node_scorpio_8h_direction,direction,深い共有と変容の方向性,表面的な安全ではなく深い関係と変容に向かうことが成長方向です。,深い関係や変容的体験を通じて状態が大きく更新されていく流れになります。,深い関係や変容的体験を通じて自己を更新することが人生の核心になります。,安全志向に留まりすぎると停滞します。,変化を受け入れることで本質的な成長が起こります。,direction;node;scorpio;8house;transformation
node_taurus_2h_direction,direction,安定と自己価値の方向性,外部に依存するのではなく自分の価値を安定させることが成長方向です。,安定した価値や資産を積み上げながら基盤を強化していく流れになります。,安定した価値と資産を築くことが人生を支える基盤として定着します。,他者依存が強いと不安定になります。,自分の価値を育てることで安心感が生まれます。,direction;node;taurus;2house;value
saturn_1h_identity_conflict,conflict,自己表現への抑制の葛藤,自分らしさを出すことに制限や不安を感じやすいテーマです。,自己表現や行動に抑制がかかりやすく主体性の発揮に制限が生じます。,自己否定を乗り越え自分の存在を受け入れることが人生の課題として残ります。,自信のなさから行動が制限されやすいです。,少しずつ自己表現を増やすことで成長します。,conflict;saturn;1house;identity
saturn_2h_value_conflict,conflict,自己価値と不安の葛藤,自分の価値や収入に対して不安を感じやすいテーマです。,自己価値への不安定さが続き判断基準が外部に寄りやすい状態になります。,自己価値を自分で確立することが人生の課題として残ります。,不足感が強く安心しにくい傾向があります。,現実的な積み上げで自信が育ちます。,conflict;saturn;2house;value
saturn_3h_expression_conflict,conflict,表現とコミュニケーションの葛藤,言葉や表現に対して慎重になりすぎるテーマです。,言語化や発信に詰まりが生じやすく伝達が滞りやすい状態が続きます。,伝達力を鍛え自分の考えを表現することが人生の課題として残ります。,誤解を恐れて黙りがちになります。,経験を積むことで自然に表現力が育ちます。,conflict;saturn;3house;communication
saturn_4h_home_conflict,conflict,安心基盤の葛藤,家庭や安心感に課題が出やすいテーマです。,安心できる基盤が揺らぎやすく内的安定が確保しにくい状態が続きます。,安心できる拠点を自分で築くことが人生の課題として残ります。,過去や家族の影響を引きずりやすいです。,自分なりの安心を作ることで安定します。,conflict;saturn;4house;home
saturn_5h_expression_conflict,conflict,楽しみと自己表現の葛藤,楽しむことや表現にブレーキがかかりやすいテーマです。,楽しみや自己表現に制限がかかり創造的な発散が抑えられやすくなります。,楽しみや表現を自分に許可することが人生の課題として残ります。,真面目すぎて遊びが不足します。,創造的活動を増やすことでバランスが取れます。,conflict;saturn;5house;creativity
saturn_9h_belief_conflict,conflict,信念と拡大の葛藤,考え方や価値観の広がりに制限がかかりやすいテーマです。,思考や信念が固定化しやすく視野の拡張が停滞しやすい状態になります。,固定化した信念を手放し柔軟な視点を持つことが人生の課題として残ります。,固定観念に縛られやすいです。,多様な考えに触れることで成長します。,conflict;saturn;9house;belief
saturn_11h_group_conflict,conflict,集団と所属の葛藤,人とのつながりや所属に課題が出やすいテーマです。,集団との距離感が極端になりやすく関係性の維持に不均衡が生じます。,集団との適切な距離と関係性を築くことが人生の課題として残ります。,人間関係を避けがちになります。,信頼できる関係を少しずつ築くことが重要です。,conflict;saturn;11house;group
saturn_12h_inner_conflict,conflict,内面と無意識の葛藤,見えない不安や内面的な制限が強く出やすいテーマです。,内面に抑圧や不安が蓄積しやすく無意識領域で負荷が増大しやすい状態になります。,内面の理解を深め自分自身を受け止めることが人生の課題として残ります。,自己否定や不安に引き込まれやすいです。,内省や癒しを通して安定が生まれます。,conflict;saturn;12house;inner
pluto_1h_identity_intensity,conflict,自己の極端さの葛藤,自分の在り方が極端になりやすいテーマです。,自己の在り方が極端に変動しやすく安定した自己像を維持しにくい状態が続きます。,揺れやすい自己像を統合し安定した自己を築くことが人生の課題として残ります。,極端な自己変化に振り回されやすいです。,自己理解を深めることで安定します。,conflict;pluto;1house;identity
pluto_2h_value_intensity,conflict,価値と執着の葛藤,お金や価値に対する執着が強くなりやすいテーマです。,価値や所有への執着が強まりやすく手放しと再構築の揺れが繰り返されます。,執着を手放し価値を再構築することが人生の課題として残ります。,執着が強いほど不安が増します。,価値観を柔軟にすることで安定します。,conflict;pluto;2house;value
pluto_10h_power_conflict,conflict,社会的権力の葛藤,仕事や社会で力関係の問題が出やすいテーマです。,社会的影響力の扱いが極端になりやすく支配と責任のバランスが崩れやすくなります。,影響力を適切に扱い社会的な力を健全に運用することが人生の課題として残ります。,権力争いに巻き込まれやすいです。,協調的なリーダーシップが成長につながります。,conflict;pluto;10house;power
t_square_core_conflict,conflict,強い葛藤による推進力,複数の緊張が集中し行動の原動力になるテーマです。,複数の方向から圧力がかかり続け常に選択と調整を迫られる状態が継続します。,葛藤を避けず推進力へ変換し続けることが人生の軸として求められます。,ストレスや極端さが強く出やすいです。,エネルギーを建設的に使うことで飛躍できます。,conflict;pattern;t_square
yod_core_conflict,conflict,調整圧力と使命感の葛藤,特定の一点に強い調整圧力がかかるテーマです。,特定の選択を迫られる局面が繰り返され役割が一点に収束していく流れが強まります。,特定の役割へ収束していく流れと向き合うことが人生の課題として残ります。,不安定さに悩みやすいです。,役割を受け入れることで安定します。,conflict;pattern;yod
