感受点名,星座名,ハウス,要約,解釈文,長所,注意点,成長のコツ,仕事での出方,対人での出方,優先度,タグ
DragonHead,Gemini,11,知的ネットワークを広げる配置,多様な人々と知識を交換することで人生の可能性が広がりやすいでしょう,柔軟な交流力,人間関係を広げすぎて疲れやすい,興味あるコミュニティに集中する,情報共有型の仕事で活躍,知的刺激のある仲間関係,88,交流|知識
DragonHead,Gemini,12,内面の言葉を見つける配置,心の中にある思考や感情を言葉として理解することが人生テーマです,内省的知性,考えすぎて動けなくなる,思考を整理して表現する,研究や執筆分野で活躍,理解し合う精神的関係,88,内省|知性
DragonHead,Cancer,1,感情を大切に生きる配置,自分の感情を尊重して生きることが人生の重要テーマになります,共感力,感情に振り回されやすい,安心できる自己理解を育てる,ケアや教育分野で活躍,共感的な関係を築く,90,感情|共感
DragonHead,Cancer,2,安心できる価値を作る配置,心の安心感につながる価値や資源を育てることが重要です,守り育てる力,不安から所有欲が強くなる,安心できる環境を整える,生活関連分野で活躍,温かい関係を築く,88,安心|価値
DragonHead,Cancer,3,感情を言葉で伝える配置,心の思いを言葉にして共有することが人生テーマです,共感的コミュニケーション,感情を言葉にできない,素直に話す習慣,教育やカウンセリングで活躍,温かい会話関係,88,対話|感情
DragonHead,Cancer,4,家庭的な基盤を築く配置,安心できる家庭や生活基盤を築くことが人生テーマです,家庭的安定力,過去に縛られやすい,自分の居場所を作る,生活支援分野で活躍,家族的関係を育てる,90,家庭|安心
DragonHead,Cancer,5,愛情を表現する配置,愛情や感情を素直に表現することで人生が豊かになります,愛情表現力,感情を抑え込みやすい,喜びを共有する,芸術教育分野で活躍,温かい恋愛関係,88,愛情|表現
DragonHead,Cancer,6,思いやりのある働き方配置,周囲を支える働き方を通して人生が安定します,献身的働き方,自己犠牲になりやすい,自分も大切にする,医療福祉分野で活躍,支え合う関係,90,奉仕|共感
DragonHead,Cancer,7,感情的な信頼関係配置,心を開いた信頼関係を築くことが人生テーマです,深い共感関係,依存的になりやすい,自立と共感のバランス,パートナー事業で活躍,安心感のある関係,90,信頼|対人
DragonHead,Cancer,8,深い感情共有配置,他者と感情を共有することで大きな成長が生まれます,心理的洞察力,感情的執着,信頼を育てる,心理研究分野で活躍,深い絆を築く,90,心理|信頼
DragonHead,Cancer,9,感情と信念を結ぶ配置,感情を大切にした信念を育てることが人生テーマです,人間理解力,感情優先で視野が狭くなる,広い視点を持つ,教育思想分野で活躍,共感的議論関係,88,信念|共感
DragonHead,Cancer,10,思いやりの社会役割配置,共感や保護の力を社会で活かすことが重要です,温かいリーダーシップ,責任に押し潰されやすい,安心感を与える役割,教育医療分野で活躍,信頼される社会関係,92,社会|共感
DragonHead,Cancer,11,仲間を支える配置,仲間やコミュニティを支えることで人生が広がります,協力関係を築く力,感情に巻き込まれやすい,安心できる仲間を選ぶ,コミュニティ活動で活躍,仲間意識の強い関係,88,仲間|共感
DragonHead,Cancer,12,深い共感を育てる配置,人の痛みや感情を理解することで精神的成長が進みます,深い共感力,感情を背負いすぎる,境界線を保つ,ヒーリング分野で活躍,精神的つながり,88,精神|共感
DragonHead,Leo,1,自分らしく輝く配置,自分の個性を堂々と表現することが人生テーマです,強い存在感,自信を失いやすい,自分を肯定する,リーダー職で活躍,魅力的な関係,90,自己表現|自信
DragonHead,Leo,2,誇りある価値を築く配置,自分の価値に誇りを持つことが重要です,自信ある価値観,虚栄に走りやすい,誠実な努力,経営分野で活躍,尊敬し合う関係,88,誇り|価値
DragonHead,Leo,3,堂々と話す配置,自信を持って意見を発信することが人生テーマです,堂々とした表現力,目立つことを恐れる,自信を持つ,講演教育で活躍,明るい会話関係,88,発信|自信
DragonHead,Leo,4,誇りある家庭配置,家庭の中で自分らしさを表現することが大切です,家庭リーダー力,自己中心になりやすい,家族を尊重する,家庭事業で活躍,温かい家族関係,88,家庭|誇り
DragonHead,Leo,5,創造的に輝く配置,創造や表現で人生が大きく開けます,強い創造力,承認欲求が強くなる,創作に集中する,芸術分野で活躍,情熱的恋愛,92,創造|表現
DragonHead,Leo,6,自信ある働き方配置,仕事で自信を持って能力を発揮することが重要です,積極的仕事力,完璧主義になりやすい,自信を持つ,管理職で活躍,頼られる関係,88,仕事|自信
DragonHead,Leo,7,情熱的関係配置,情熱を持って関係を築くことが人生テーマです,情熱的愛情,支配的になる,相手を尊重する,パートナー事業成功,情熱的関係,90,愛情|情熱
DragonHead,Leo,8,強い変容力配置,大きな変化を通して自己の力を発揮します,強い精神力,ドラマチックになりすぎる,冷静さを保つ,研究金融分野活躍,深い信頼関係,88,変容|力
DragonHead,Leo,9,信念を堂々と示す配置,自分の信念を誇りを持って表現することが大切です,信念の強さ,独善的になる,他者の意見を聞く,教育思想分野で活躍,尊敬関係,88,信念|誇り
DragonHead,Leo,10,社会で輝く配置,社会的舞台で自分の才能を発揮することが人生テーマです,カリスマ性,名声に執着しやすい,誠実に働く,経営政治分野で活躍,尊敬される関係,92,社会|名声
DragonHead,Leo,11,理想を情熱で実現配置,情熱を持って理想を実現することが重要です,リーダー的理想主義,独裁的になりやすい,仲間を尊重する,団体活動で活躍,情熱的仲間関係,88,理想|情熱
DragonHead,Leo,12,内なる誇り配置,内面的な誇りや自信を育てることが人生テーマです,精神的強さ,孤立しやすい,内面を大切にする,芸術精神分野で活躍,精神的つながり,88,精神|誇り
DragonHead,Virgo,1,自己改善配置,自分を磨き続けることで人生が開けます,分析力,完璧主義,小さく改善,研究分野活躍,誠実関係,88,改善|分析
DragonHead,Virgo,2,価値改善配置,価値や資産を改善しながら育てることが重要です,堅実改善力,細部にこだわりすぎる,全体を見る,管理分野活躍,信頼関係,88,価値|改善
DragonHead,Virgo,3,知識整理配置,知識を整理し役立てることが人生テーマです,整理力,批判的になりやすい,建設的思考,教育分析分野活躍,理性的関係,88,知識|整理
DragonHead,Virgo,4,生活改善配置,生活環境を整えることで人生が安定します,生活管理力,神経質になる,柔軟性持つ,生活産業活躍,穏やかな関係,88,生活|整理
DragonHead,Virgo,5,創造改善配置,創造活動を磨くことで人生が豊かになります,緻密な創造力,批判的になりすぎる,楽しむこと,芸術研究活躍,知的恋愛,88,創造|分析
DragonHead,Virgo,6,仕事改善配置,日常業務を改善することで大きな成果を生みます,改善能力,完璧主義,効率重視,実務分野活躍,信頼関係,90,仕事|改善
DragonHead,Virgo,7,関係改善配置,関係を丁寧に改善していくことが重要です,調整力,批判的態度,理解を深める,調整役活躍,協力関係,88,対人|改善
DragonHead,Virgo,8,心理分析配置,深い心理を分析することで成長します,洞察力,疑い深くなる,信頼を育てる,研究心理分野活躍,深い関係,88,心理|分析
DragonHead,Virgo,9,知識深化配置,知識を体系化することが人生テーマです,体系的知性,視野が狭くなる,広い視点持つ,研究教育分野活躍,理性的関係,88,知識|体系
DragonHead,Virgo,10,実務的成功配置,堅実な努力で社会的成功を築きます,努力継続力,働きすぎ,休息を取る,管理専門職活躍,信頼社会関係,92,社会|努力
DragonHead,Virgo,11,理想改善配置,理想や社会活動を現実的に改善していくことが人生テーマになります,計画的理想実現力,理想を細分化しすぎる,段階的実行を意識する,社会プロジェクト分野で活躍,協力的な仲間関係,88,理想|改善
DragonHead,Virgo,12,精神整理配置,内面の混乱を整理し精神的安定を育てることが重要です,精神分析力,神経質になりやすい,休息と整理を大切にする,研究医療分野で活躍,静かな信頼関係,88,精神|整理
DragonHead,Libra,1,調和的自己表現配置,他者との調和を意識した自己表現を学ぶことが人生テーマです,バランス感覚,自己主張が弱くなる,公平な表現を意識する,交渉分野で活躍,調和的関係,90,調和|対人
DragonHead,Libra,2,調和価値配置,バランスの取れた価値観を育てることが重要です,公平な判断力,優柔不断になる,価値基準を明確にする,法律金融分野で活躍,尊重関係,88,価値|調和
DragonHead,Libra,3,対話配置,対話を通して理解を深めることが人生テーマです,優れた対話力,意見を曖昧にしやすい,率直さを保つ,外交教育分野で活躍,会話関係,88,対話|理解
DragonHead,Libra,4,家庭調和配置,家庭や生活環境の調和を作ることが重要です,調整力,衝突回避しすぎる,問題に向き合う,家庭支援分野活躍,穏やかな家庭関係,88,家庭|調和
DragonHead,Libra,5,愛の調和配置,愛情関係においてバランスを学ぶことがテーマです,魅力的関係力,依存関係,対等関係意識,芸術恋愛分野活躍,優雅な恋愛関係,90,愛情|調和
DragonHead,Libra,6,協働仕事配置,協力関係の中で働くことが人生テーマになります,チームワーク,決断遅れ,役割分担意識,チーム職で活躍,協力関係,90,仕事|協力
DragonHead,Libra,7,パートナー配置,対等なパートナー関係を築くことが重要です,対人理解力,依存傾向,自立を保つ,共同事業成功,信頼関係,92,対人|パートナー
DragonHead,Libra,8,関係変容配置,関係の中で深い理解を育てることがテーマです,心理理解力,関係に振り回される,境界線保つ,心理研究分野活躍,深い信頼関係,88,心理|関係
DragonHead,Libra,9,思想調和配置,多様な思想を調和させることが人生テーマです,公平思想,相対主義,信念持つ,教育思想分野活躍,知的議論関係,88,思想|調和
DragonHead,Libra,10,社会調和配置,社会の中で調整役として力を発揮します,外交能力,責任回避,責任意識,外交法律分野活躍,社会信頼関係,90,社会|調整
DragonHead,Libra,11,理想協力配置,仲間と協力して理想を実現することが重要です,協力型理想主義,集団依存,主体性保つ,団体活動活躍,仲間信頼関係,88,理想|協力
DragonHead,Libra,12,精神調和配置,内面のバランスを整えることで精神的成長が進みます,精神安定力,優柔不断,内面対話,芸術精神分野活躍,精神的関係,88,精神|調和
DragonHead,Scorpio,1,自己変容配置,人生の中で自己変容を経験することが重要テーマです,強い精神力,極端思考,柔軟性持つ,研究分野活躍,深い関係,90,変容|力
DragonHead,Scorpio,2,価値変容配置,価値観を深く変化させながら成長します,洞察力,執着強い,手放し学ぶ,金融研究分野活躍,信頼関係,88,価値|変容
DragonHead,Scorpio,3,心理対話配置,深い対話を通して理解を深めます,洞察対話力,疑念強い,信頼育てる,心理教育分野活躍,深い会話関係,88,対話|心理
DragonHead,Scorpio,4,家庭変容配置,家庭や内面で大きな変容を経験します,精神強さ,感情激化,安定意識,家庭心理分野活躍,深い家族関係,88,家庭|変容
DragonHead,Scorpio,5,情熱創造配置,情熱的創造を通して人生が開けます,強い創造力,劇的思考,冷静保つ,芸術研究分野活躍,情熱恋愛,90,創造|情熱
DragonHead,Scorpio,6,変革仕事配置,仕事の中で変革を起こすことがテーマです,改革力,破壊的態度,建設意識,改革職活躍,信頼関係,88,仕事|改革
DragonHead,Scorpio,7,深い関係配置,深い信頼関係を築くことが人生テーマです,絆力,支配傾向,対等意識,共同事業成功,深い信頼関係,92,対人|信頼
DragonHead,Scorpio,8,極限変容配置,大きな変化を通して人生が進化します,再生力,危機依存,安定重視,金融研究分野活躍,深い心理関係,92,変容|再生
DragonHead,Scorpio,9,深い信念配置,深い信念を探求することがテーマです,精神探求力,偏執思考,広い視点,哲学研究分野活躍,思想関係,88,信念|探求
DragonHead,Scorpio,10,強力社会配置,社会で強い影響力を持つことが人生テーマです,カリスマ力,権力執着,倫理意識,政治研究分野活躍,尊敬関係,92,社会|影響
DragonHead,Scorpio,11,変革理想配置,社会変革を目指す理想が人生テーマです,革命思想,過激思想,現実調整,社会運動活躍,仲間信頼関係,88,理想|改革
DragonHead,Scorpio,12,精神変容配置,精神的変容を経験することで成長します,深い洞察,孤立傾向,共感意識,精神研究分野活躍,精神関係,88,精神|変容
DragonHead,Sagittarius,1,信念行動配置,自分の信念に基づき行動することが人生テーマです,冒険心,衝動行動,計画性持つ,探検教育分野活躍,自由関係,90,信念|冒険
DragonHead,Sagittarius,2,信念価値配置,信念に基づく価値観を育てることが重要です,理想価値力,浪費傾向,現実意識,教育出版活躍,尊敬関係,88,価値|信念
DragonHead,Sagittarius,3,思想発信配置,思想や哲学を言葉で広めることがテーマです,哲学対話力,大雑把思考,具体化意識,講演教育活躍,知的関係,88,思想|発信
DragonHead,Sagittarius,4,精神家庭配置,家庭の中で精神的価値を育てます,精神的家庭力,理想押し付け,理解重視,教育家庭活躍,精神家族関係,88,家庭|精神
DragonHead,Sagittarius,5,自由創造配置,自由な創造活動で人生が広がります,自由創造力,責任回避,継続意識,芸術旅行分野活躍,自由恋愛,90,創造|自由
DragonHead,Sagittarius,6,理想仕事配置,理想を仕事で実現することがテーマです,理想実行力,現実軽視,現実計画,教育国際分野活躍,信頼関係,90,仕事|理想
DragonHead,Sagittarius,7,思想パートナー配置,思想や価値観を共有できる関係が重要です,理解関係力,信念衝突,尊重意識,教育出版活躍,思想関係,90,対人|思想
DragonHead,Sagittarius,8,哲学変容配置,哲学的理解を通して人生が変容します,精神理解力,極端思想,柔軟思考,研究宗教分野活躍,深い精神関係,88,哲学|変容
DragonHead,Sagittarius,9,探求配置,世界や思想を探求することが人生テーマです,探究心,現実離れ,実践意識,研究教育活躍,思想関係,92,探求|哲学
DragonHead,Sagittarius,10,理想社会配置,理想を社会で実現することがテーマです,理想リーダー力,理想主義過剰,現実調整,政治教育分野活躍,社会信頼関係,92,社会|理想
DragonHead,Sagittarius,11,自由理想配置,自由な思想や理想を仲間と共有することが人生テーマです,理想共有力,理想過多,現実性持つ,教育国際分野活躍,自由な仲間関係,88,理想|自由
DragonHead,Sagittarius,12,精神探求配置,精神的探求や哲学理解を深めることで成長します,精神探究力,孤立傾向,他者理解意識,宗教哲学分野活躍,精神関係,88,精神|探求
DragonHead,Capricorn,1,責任ある自己形成配置,責任感を持った自己形成が人生テーマです,強い責任感,自分に厳しすぎる,柔軟性持つ,管理職分野活躍,信頼関係,90,責任|自立
DragonHead,Capricorn,2,堅実価値配置,現実的価値を築くことが人生テーマになります,堅実経済力,物質主義,精神価値意識,金融管理分野活躍,安定関係,88,価値|努力
DragonHead,Capricorn,3,実務知識配置,実務的知識を社会で活かすことが重要です,計画思考力,視野狭い,柔軟思考,教育研究分野活躍,理性的関係,88,知識|実務
DragonHead,Capricorn,4,責任家庭配置,家庭の中で責任を担うことが成長テーマです,家庭責任力,重圧感じやすい,信頼分担,家庭管理分野活躍,堅実家族関係,88,家庭|責任
DragonHead,Capricorn,5,努力創造配置,努力による創造で人生が開けます,粘り強い創造力,遊び不足,楽しむ意識,芸術教育分野活躍,堅実恋愛関係,88,創造|努力
DragonHead,Capricorn,6,責任仕事配置,責任ある仕事を通して成功を築きます,実務能力,働きすぎ,休息大切,管理専門職活躍,信頼職場関係,92,仕事|責任
DragonHead,Capricorn,7,責任関係配置,責任あるパートナー関係を築くことが重要です,誠実関係力,関係重すぎる,柔軟性持つ,共同事業成功,長期関係,90,対人|責任
DragonHead,Capricorn,8,社会変革配置,社会構造を理解し変革することがテーマです,組織理解力,権力志向,倫理意識,政治研究分野活躍,深い信頼関係,88,社会|構造
DragonHead,Capricorn,9,現実思想配置,現実的思想を育てることが人生テーマです,実務哲学力,理想不足,理想意識持つ,教育政策分野活躍,思想関係,88,思想|現実
DragonHead,Capricorn,10,社会成功配置,社会的成功を築くことが人生テーマです,強い野心,成功執着,人間性重視,経営政治分野活躍,尊敬関係,92,社会|成功
DragonHead,Capricorn,11,組織理想配置,組織の中で理想を実現することが重要です,組織運営力,独裁傾向,協調意識,団体組織分野活躍,仲間信頼関係,88,理想|組織
DragonHead,Capricorn,12,精神責任配置,精神的成熟を通して人生が進みます,精神忍耐力,孤独感,支援求める,研究精神分野活躍,静かな関係,88,精神|成熟
DragonHead,Aquarius,1,独自性配置,独自性を発揮することが人生テーマです,革新力,孤立しやすい,協力意識,IT研究分野活躍,自由関係,90,個性|革新
DragonHead,Aquarius,2,革新価値配置,新しい価値観を育てることが重要です,未来思考力,現実軽視,現実意識,IT金融分野活躍,自由関係,88,価値|革新
DragonHead,Aquarius,3,知的革新配置,新しい知識や発想を広げることがテーマです,発明思考力,奇抜思考,実用意識,研究教育分野活躍,知的関係,88,知識|革新
DragonHead,Aquarius,4,自由家庭配置,自由な家庭環境を築くことが重要です,独立家庭力,孤立家庭,協調意識,生活改革分野活躍,自由家族関係,88,家庭|自由
DragonHead,Aquarius,5,革新創造配置,革新的創造活動が人生テーマです,独創力,奇抜すぎる,調整意識,芸術IT分野活躍,自由恋愛関係,90,創造|革新
DragonHead,Aquarius,6,改革仕事配置,仕事の中で改革を起こすことが重要です,改革力,反抗心強い,協力意識,IT技術分野活躍,協働関係,90,仕事|改革
DragonHead,Aquarius,7,自由関係配置,自由で対等な関係を築くことがテーマです,平等関係力,距離取りすぎる,感情共有意識,共同事業成功,自由関係,90,対人|自由
DragonHead,Aquarius,8,革新変容配置,社会的変革に関わることで成長します,社会洞察力,極端思想,現実調整,研究社会分野活躍,深い信頼関係,88,変革|社会
DragonHead,Aquarius,9,未来思想配置,未来志向の思想を広げることがテーマです,未来思想力,現実離れ,実践意識,教育研究分野活躍,知的関係,88,思想|未来
DragonHead,Aquarius,10,社会改革配置,社会改革を担う役割を持ちます,改革リーダー力,反体制過剰,協力意識,政治社会分野活躍,社会関係,92,社会|改革
DragonHead,Aquarius,11,未来理想配置,未来志向の理想を実現することが人生テーマです,理想革新力,理想過多,現実意識,社会活動分野活躍,仲間関係,90,理想|未来
DragonHead,Aquarius,12,精神革新配置,精神的な自由や革新がテーマです,精神自由力,孤立傾向,共感意識,芸術研究分野活躍,精神関係,88,精神|自由
DragonHead,Pisces,1,共感自己配置,共感力を活かして自己表現することが人生テーマです,共感力,自己境界弱い,境界意識,芸術癒し分野活躍,共感関係,90,共感|精神
DragonHead,Pisces,2,精神価値配置,精神的価値を育てることが重要です,精神理解力,現実軽視,現実意識,芸術分野活躍,共感関係,88,価値|精神
DragonHead,Pisces,3,感性対話配置,感性を言葉で表現することがテーマです,感受性,混乱思考,整理意識,芸術教育分野活躍,優しい関係,88,感性|対話
DragonHead,Pisces,4,癒し家庭配置,家庭の中で癒しを育てることが人生テーマです,癒し力,依存関係,自立意識,福祉教育分野活躍,温かい家庭関係,88,家庭|癒し
DragonHead,Pisces,5,幻想創造配置,幻想や感性を創造へ変えることが重要です,芸術感性,現実逃避,現実意識,芸術分野活躍,ロマン関係,90,創造|芸術
DragonHead,Pisces,6,奉仕仕事配置,奉仕を通して成長することがテーマです,献身力,自己犠牲,自分大切にする,医療福祉分野活躍,支援関係,90,仕事|奉仕
DragonHead,Pisces,7,共感関係配置,共感的関係を築くことが人生テーマです,理解関係力,依存傾向,自立意識,カウンセリング分野活躍,深い関係,90,対人|共感
DragonHead,Pisces,8,精神変容配置,精神的変容を経験することで成長します,深い洞察力,感情混乱,冷静意識,心理研究分野活躍,深い関係,88,変容|精神
DragonHead,Pisces,9,精神探求配置,精神や哲学を探求することが人生テーマです,精神理解力,現実逃避,現実行動,宗教哲学分野活躍,精神関係,88,精神|探求
DragonHead,Pisces,10,共感社会配置,共感を社会で活かすことが重要です,慈愛力,責任回避,責任意識,福祉医療分野活躍,信頼関係,90,社会|共感
DragonHead,Pisces,11,共感理想配置,共感を基盤にした理想を仲間と共有することが人生テーマです,共感的理想力,理想過多,現実行動,福祉社会分野活躍,共感仲間関係,88,理想|共感
DragonHead,Pisces,12,精神統合配置,精神的理解や癒しを通して人生が統合されていきます,深い精神理解,現実逃避,現実意識,ヒーリング研究分野活躍,精神的関係,90,精神|統合
DragonTail,Aries,1,自己中心的行動の癖が出やすい配置,過去からの習慣として自分の衝動や意思を優先しすぎる傾向が出やすい配置です,決断力と行動力,衝動的行動や独断,相手の視点を意識する,独立職では強みを発揮しやすい,自己主張が強く出やすい,80,過去傾向|衝動|自己主張
DragonTail,Aries,2,自力で抱え込む価値観の癖,自分一人で価値や資源を守ろうとする傾向が出やすい配置です,自立した価値観,孤立した努力,他者と協力すること,個人事業では強みを発揮,独立心が強い関係傾向,78,過去傾向|価値|自立
DragonTail,Aries,3,衝動的な発言の癖,思いついたことをそのまま発言する傾向が出やすい配置です,率直な表現力,配慮不足の発言,対話を意識する,営業や発信で活躍しやすい,率直すぎる会話になりやすい,78,過去傾向|発言|衝動
