Rule_ID,Category,Factor_Type,Peak_Type,Transit_Planet,Natal_Target,Target_Role,House_System,Target_House,Aspect_Angle,Aspect_Class,Transit_State,Orb_Max,Duration_Days_Before,Duration_Days_After,Activation_Weight,Caution_Weight,Intensity_Hint,Tone,Monthly_Title,Monthly_Summary,Monthly_Description,Monthly_Caution,Yearly_Summary,Priority,Tags,Active_Flag,Narrative_Key,Narrative_Priority
GENERAL_MERCURY_SOLAR_6H_ROUTINE,general_health,solar_house,life_rhythm,MERCURY,ANY,daily_order,solar,6,ANY,none,ingress,3,0,5,3,1,medium,active,日課の整理が進む,予定や手順を整えやすい時期です,細かな調整や見直しが効きやすく生活ペースを組み直す助けになります,考えすぎて休む時間を削らないこと,日常の運用を整える月,11,solar_house;mercury;6h;routine,1,routine,3
GENERAL_MOON_NATAL_1H_DAILY_MOOD,general_health,natal_house,body_condition,MOON,ANY,mood_body,natal,1,ANY,none,ingress,3,0,1,2,1,low,mixed,体感が揺れやすい日,気分や体の反応を見ながら過ごしたい短期の山です,その日の気分や体感が表に出やすく予定を軽く調整すると過ごしやすくなります,一時的な揺れを大きく判断しすぎないこと,日々のコンディション変化に気づく流れ,12,moon;short_peak;1h,1,self_pace,3
GENERAL_MOON_NATAL_6H_DAILY_ROUTINE,general_health,natal_house,life_rhythm,MOON,ANY,daily_mood,natal,6,ANY,none,ingress,3,0,1,2,1,low,mixed,日課を整える短い山,その日の用事や体調に合わせた調整が効きます,家事や実務やケアの予定を少し整えることで一日を回しやすくなります,細かな不調を無視しないこと,日々のルーティン調整に向く短期の流れ,13,moon;short_peak;6h;routine,1,routine,3
GENERAL_SUN_N_SUN_CONJ_VITALITY,general_health,transit_to_natal,vitality,SUN,SUN,core_self,none,ANY,0,conjunction,direct,3,2,2,4,0,high,positive,活力が中心に戻る,自分のペースを取り戻しやすい時期です,体力や意欲の中心が明るくなり生活全体を立て直すきっかけになります,勢いに任せて休息を後回しにしないこと,一年の中で自己回復の節目になる流れ,14,aspect;sun;vitality;conjunction,1,self_pace,2
GENERAL_SUN_N_ASC_CONJ_BODY,general_health,transit_to_natal,vitality,SUN,ASC,self_body,none,ANY,0,conjunction,direct,3,2,2,4,0,high,active,存在感と体力が前に出る,外へ出る力と自己管理が動きやすい時期です,生活の主導権を取りやすく行動や見た目の整え直しにも向く月です,無理な予定変更を重ねないこと,自己表現と体調管理が結びつく流れ,15,aspect;sun;asc;vitality,1,self_pace,3
GENERAL_SUN_N_MOON_SOFT_RHYTHM,general_health,transit_to_natal,life_rhythm,SUN,MOON,emotional_body,none,ANY,120,soft,direct,3,2,2,3,0,medium,positive,心身のリズムが整いやすい,気分と行動がかみ合いやすい流れです,生活のテンポを無理なく整えやすく家のことや休息の調整も進みます,気分の良さだけで予定を増やしすぎないこと,心身の基礎ペースを整える流れ,16,aspect;sun;moon;soft,1,routine,3
GENERAL_MARS_N_MOON_HARD_BODY,general_health,transit_to_natal,body_condition,MARS,MOON,emotional_body,none,ANY,90,hard,direct,3,2,2,3,3,high,caution,気分と体が熱を持ちやすい,焦りや疲れが表に出やすい時期です,感情や体感が強まりやすく急ぎの用事が増えるほど消耗もしやすくなります,反応的に予定を詰めないこと,心身の熱量と休息の配分が課題になる流れ,17,aspect;mars;moon;hard;load,1,self_pace,3
GENERAL_MARS_N_MERCURY_HARD_NERVES,general_health,transit_to_natal,mental_focus,MARS,MERCURY,mental_nerves,none,ANY,90,hard,direct,3,2,2,3,3,high,caution,頭が急ぎやすい時期,連絡や判断が速まり神経の負荷も上がります,考えや言葉が鋭くなりやすく短時間で多くを処理しようとしがちな月です,睡眠前の情報過多を避けること,判断速度と神経疲労の管理が重要になる流れ,18,aspect;mars;mercury;hard;mental,1,cognitive_load,3
GENERAL_MARS_N_ASC_HARD_BODY_LOAD,general_health,transit_to_natal,body_condition,MARS,ASC,self_body,none,ANY,90,hard,direct,3,2,2,4,3,very_high,mixed,活動量が跳ねやすい,体の負荷と行動力が同時に強まります,動き出す力が強まる一方で疲労や急ぎすぎも出やすい重要なピークです,無理な運動や強行日程を避けること,体の使い方と行動量が大きく動く流れ,19,aspect;mars;asc;hard;load,1,self_pace,3
GENERAL_SATURN_N_SUN_HARD_PRESSURE,general_health,transit_to_natal,pressure,SATURN,SUN,core_self,none,ANY,90,hard,direct,2.5,3,5,2,3,caution_only,heavy,重さを感じやすい時期,責任や疲れが自己管理に影響しやすい流れです,無理を続けてきた部分が表に出やすく体力配分を現実的に見直す必要があります,気力だけで押し切らないこと,責任と体力のバランスを整える年回り,20,aspect;saturn;sun;hard;caution,1,pressure,2
GENERAL_SATURN_N_MOON_HARD_REST,general_health,transit_to_natal,rest,SATURN,MOON,emotional_body,none,ANY,90,hard,direct,2.5,3,5,1,3,caution_only,heavy,心身を休ませたい時期,気分の重さや疲れを丁寧に扱う流れです,感情面の負担や生活の制約を感じやすく休息の優先度が上がります,一人で抱え込みすぎないこと,心身の守りと生活基盤を見直す流れ,21,aspect;saturn;moon;hard;rest,1,recovery,3
GENERAL_SATURN_N_ASC_HARD_BODY,general_health,transit_to_natal,pressure,SATURN,ASC,self_body,none,ANY,90,hard,direct,2.5,3,5,2,3,caution_only,heavy,体の制約を見直す時期,負荷や責任が体調面に出やすい流れです,生活や役割の重さが体感に出やすく無理のない設計に変える必要があります,慢性的な疲れを軽く扱わないこと,体力と責任の限界線を調整する流れ,22,aspect;saturn;asc;hard;caution,1,pressure,3
GENERAL_NEPTUNE_N_SUN_HARD_FOG,general_health,transit_to_natal,body_condition,NEPTUNE,SUN,core_self,none,ANY,90,hard,direct,1.5,5,10,1,3,caution_only,caution,調子の輪郭がぼやけやすい,気力や体力の判断を慎重にしたい時期です,はっきりしない疲れや迷いが出やすく予定と回復を丁寧に分けたい月です,曖昧なまま負荷を増やさないこと,自己感覚と回復の質を見直す長期背景,23,aspect;neptune;sun;hard;caution_only,1,self_pace,2
GENERAL_NEPTUNE_N_MOON_HARD_SENSITIVITY,general_health,transit_to_natal,rest,NEPTUNE,MOON,emotional_body,none,ANY,90,hard,direct,1.5,5,10,1,3,caution_only,caution,感受性が揺れやすい時期,睡眠や気分の境界を整えたい流れです,感情や体感が周囲の影響を受けやすく静かな回復時間が必要になります,不安を一人で膨らませないこと,感受性と休息環境を整える長期背景,24,aspect;neptune;moon;hard;caution_only,1,recovery,3
GENERAL_NEPTUNE_N_ASC_HARD_BODY_FOG,general_health,transit_to_natal,body_condition,NEPTUNE,ASC,self_body,none,ANY,90,hard,direct,1.5,5,10,1,3,caution_only,caution,体感が曖昧になりやすい,無理のサインを見落とさない工夫が必要です,体調や気分の境目がぼやけやすく記録や相談で現実確認をしたい月です,違和感を気のせいだけで済ませないこと,体感の曖昧さを整える長期背景,25,aspect;neptune;asc;hard;caution_only,1,self_pace,3
GENERAL_MERCURY_N_MERCURY_HARD_NERVES,general_health,transit_to_natal,mental_focus,MERCURY,MERCURY,mental_nerves,none,ANY,90,hard,direct,3,2,2,3,2,medium,mixed,頭が詰まりやすい時期,情報量が増えて整理が必要です,考えることや連絡が多くなりやすく休憩を挟むほど判断が安定します,同時進行を増やしすぎないこと,思考量と休息の配分を整える流れ,26,aspect;mercury;mercury;hard,1,cognitive_load,3
GENERAL_MOON_N_MOON_CONJ_SHORT,general_health,transit_to_natal,life_rhythm,MOON,MOON,emotional_body,none,ANY,0,conjunction,direct,3,0,1,2,1,low,mixed,気分を整える短い山,その日の心身の反応を見ながら調整できます,気分や体感が一時的に強まりやすく休むか動くかを細かく選びたい日です,一日の揺れを長期判断にしないこと,日々の心身リズムを確認する流れ,27,moon;short_peak;conjunction,1,routine,3
GENERAL_SUN_N_MERCURY_SOFT_FOCUS,general_health,transit_to_natal,mental_focus,SUN,MERCURY,mental_nerves,none,ANY,60,soft,direct,3,2,2,3,0,medium,positive,考えがまとまりやすい,予定整理や生活改善に向く時期です,頭の中を整理しやすく体調管理のための記録や計画を作りやすい月です,細部にこだわりすぎないこと,思考と生活改善がかみ合う流れ,28,aspect;sun;mercury;soft,1,cognitive_load,3
GENERAL_SUN_N_ASC_SOFT_BODY,general_health,transit_to_natal,vitality,SUN,ASC,self_body,none,ANY,120,soft,direct,3,2,2,3,0,medium,positive,体のペースを整えやすい,無理なく調子を上げやすい流れです,生活の基礎を整えながら外向きの行動も進めやすい月です,予定を増やす前に余白を残すこと,体調と行動ペースを穏やかに整える流れ,29,aspect;sun;asc;soft,1,self_pace,3
GENERAL_SUN_N_MOON_HARD_RHYTHM,general_health,transit_to_natal,life_rhythm,SUN,MOON,emotional_body,none,ANY,90,hard,direct,3,0,3,3,1,medium,mixed,生活リズムに揺れが出る,気分と予定の噛み合いを調整したい時期です,やるべきことと体感のペースに差が出やすく日課や休み方を見直しやすい月です,無理に普段通り進めようとしすぎないこと,気力と生活ペースの調整が必要な流れ,30,aspect;sun;moon;hard;rhythm,1,routine,3
GENERAL_SUN_N_MERCURY_CONJ_FOCUS,general_health,transit_to_natal,mental_focus,SUN,MERCURY,mental_nerves,none,ANY,0,conjunction,direct,3,0,3,4,0,high,active,頭の回転が表に出る,考える力や伝える力が動きやすい時期です,予定整理や判断に意識が向きやすく生活の段取りを組み直しやすい月です,情報を詰め込みすぎないこと,思考と日常管理が前に出る流れ,31,aspect;sun;mercury;conjunction;focus,1,cognitive_load,3
GENERAL_SUN_N_SUN_SOFT_VITALITY,general_health,transit_to_natal,vitality,SUN,SUN,core_self,none,ANY,120,soft,direct,3,0,3,3,0,medium,positive,調子を整えやすい時期,自分のペースを取り戻しやすい流れです,気力と行動がまとまりやすく生活の軸を整えるきっかけを作りやすい月です,予定を増やしすぎず余白を残すこと,自分の軸を整えやすい流れ,32,aspect;sun;sun;soft;vitality,1,self_pace,2
GENERAL_SUN_N_ASC_HARD_BODY,general_health,transit_to_natal,vitality,SUN,ASC,self_body,none,ANY,90,hard,direct,3,0,3,3,1,medium,mixed,体感が強く出る時期,周囲の予定と自分の調子を合わせ直したい流れです,外からの用事や期待が増えやすく自分のペースとの調整が必要になりやすい月です,無理な予定を引き受けすぎないこと,自分の状態を見ながら動く流れ,33,aspect;sun;asc;hard;body,1,self_pace,3
GENERAL_MERCURY_N_MOON_SOFT_MOOD_ORDER,general_health,transit_to_natal,life_rhythm,MERCURY,MOON,emotional_body,none,ANY,60,soft,direct,3,0,2,2,0,low,active,気持ちを整理しやすい,言葉にすることで生活ペースを整えやすい時期です,考えていることや気分の変化をメモや会話に出すと日課の調整につながりやすい月です,細かな気分に振り回されすぎないこと,感情と段取りをつなぎ直す流れ,34,aspect;mercury;moon;soft;routine,1,routine,3
GENERAL_MERCURY_N_MOON_HARD_NERVES,general_health,transit_to_natal,mental_focus,MERCURY,MOON,emotional_body,none,ANY,90,hard,direct,3,0,2,2,2,medium,mixed,気持ちが落ち着きにくい,考えすぎや連絡疲れに注意したい時期です,感情と情報処理がぶつかりやすく小さな予定変更でも気疲れしやすい月です,返信や判断を急ぎすぎないこと,気分と神経の使い方を整える流れ,35,aspect;mercury;moon;hard;nerves,1,cognitive_load,3
GENERAL_MERCURY_N_SUN_SOFT_PLANNING,general_health,transit_to_natal,mental_focus,MERCURY,SUN,core_self,none,ANY,60,soft,direct,3,0,2,3,0,medium,active,予定を組みやすい時期,考えと行動の方向をそろえやすい流れです,日々の予定や生活管理を言語化しやすく今月の動き方を具体化しやすい月です,細部にこだわりすぎないこと,生活設計を整えやすい流れ,36,aspect;mercury;sun;soft;planning,1,cognitive_load,2
GENERAL_MERCURY_N_ASC_CONJ_NERVOUS_SYSTEM,general_health,transit_to_natal,mental_focus,MERCURY,ASC,self_body,none,ANY,0,conjunction,direct,3,0,2,3,1,medium,active,反応が速くなる時期,連絡や移動が増えて神経を使いやすい流れです,身近な用事や会話が増えやすく頭と体を同時に動かす場面が多くなりやすい月です,休憩時間を予定に入れておくこと,反応力と神経の使い方が目立つ流れ,37,aspect;mercury;asc;conjunction;nerves,1,cognitive_load,3
GENERAL_MARS_N_SUN_CONJ_ACTION,general_health,transit_to_natal,vitality,MARS,SUN,core_self,none,ANY,0,conjunction,direct,3,0,3,4,2,high,mixed,行動力が強まる時期,気力が出る一方で負荷も上がりやすい流れです,やりたいことを前に進めやすい反面予定を詰めるほど疲れや焦りが出やすい月です,勢いで休息を削らないこと,行動量と体力配分が重要になる流れ,38,aspect;mars;sun;conjunction;vitality,1,self_pace,2
GENERAL_MARS_N_SUN_HARD_OVERHEAT,general_health,transit_to_natal,body_condition,MARS,SUN,core_self,none,ANY,90,hard,direct,3,0,3,3,3,high,caution,熱量が上がりすぎやすい,焦りや無理な動きに注意したい時期です,気力が前に出るほど予定や運動量が過剰になりやすく意識的なクールダウンが必要な月です,短気な判断や無理な短期集中を避けること,熱量の扱いに注意したい流れ,39,aspect;mars;sun;hard;overheat,1,self_pace,2
GENERAL_MARS_N_MOON_CONJ_BODY_MOOD,general_health,transit_to_natal,body_condition,MARS,MOON,emotional_body,none,ANY,0,conjunction,direct,3,0,2,3,2,medium,mixed,感情と体が反応しやすい,気分の勢いで動きやすい時期です,気持ちの高まりが行動に出やすく家事や予定を一気に進めやすい一方で疲れも出やすい月です,感情的な勢いだけで予定を増やさないこと,体感と感情の波を整える流れ,40,aspect;mars;moon;conjunction;body_mood,1,self_pace,3
GENERAL_MARS_N_MERCURY_CONJ_FAST_MIND,general_health,transit_to_natal,mental_focus,MARS,MERCURY,mental_nerves,none,ANY,0,conjunction,direct,3,0,2,3,2,medium,mixed,思考が速くなる時期,判断と発言に勢いが出やすい流れです,短時間で物事を処理しやすい反面言葉が強くなったり神経が休まりにくくなりやすい月です,急ぎの返答や詰め込み作業に注意すること,思考速度と神経負荷が上がる流れ,41,aspect;mars;mercury;conjunction;fast_mind,1,cognitive_load,3
GENERAL_MARS_N_ASC_CONJ_BODY_DRIVE,general_health,transit_to_natal,body_condition,MARS,ASC,self_body,none,ANY,0,conjunction,direct,3,0,3,4,2,high,mixed,体が前に出る時期,活動量が増えて体力配分が大切です,行動のスイッチが入りやすく運動や作業に向く一方で疲れや小さな無理も出やすい月です,勢いで睡眠や食事を後回しにしないこと,活動量の増加と体調管理が重なる流れ,42,aspect;mars;asc;conjunction;body_drive,1,self_pace,3
GENERAL_SATURN_N_MERCURY_HARD_MENTAL_LOAD,general_health,transit_to_natal,mental_focus,SATURN,MERCURY,mental_nerves,none,ANY,90,hard,direct,2.5,3,6,1,3,caution_only,heavy,考えが重くなりやすい,判断や連絡に負担を感じやすい時期です,責任ある確認や細かな調整が増えやすく頭が固まりやすい月です,一人で抱え込まず確認手順を分けること,思考の負荷と慎重さが増す流れ,43,aspect;saturn;mercury;hard;mental_load,1,cognitive_load,3
GENERAL_SATURN_N_MERCURY_SOFT_DISCIPLINE,general_health,transit_to_natal,mental_focus,SATURN,MERCURY,mental_nerves,none,ANY,120,soft,direct,2.5,3,6,2,1,background_only,review,考えを整理する背景,手順や習慣を地道に整えやすい流れです,派手な動きではないものの情報管理や生活ルールを安定させる後押しになりやすい月です,完璧主義で動きが止まらないようにすること,思考と習慣を整える背景,44,aspect;saturn;mercury;soft;background,1,cognitive_load,3
GENERAL_SATURN_N_MOON_SOFT_STABILITY,general_health,transit_to_natal,life_rhythm,SATURN,MOON,emotional_body,none,ANY,120,soft,direct,2.5,3,6,2,1,background_only,review,生活を落ち着かせる背景,感情と日課を安定させやすい流れです,急な盛り上がりではなく睡眠や家の用事を整えることで気持ちが落ち着きやすい月です,我慢を習慣化しすぎないこと,生活基盤を整える背景,45,aspect;saturn;moon;soft;background,1,routine,3
GENERAL_SATURN_N_ASC_SOFT_BODY_CARE,general_health,transit_to_natal,body_condition,SATURN,ASC,self_body,none,ANY,60,soft,direct,2.5,3,6,2,1,background_only,review,体調管理を固める背景,生活の基礎を整えやすい流れです,運動や睡眠のルールを無理なく固めることで長く続く調整につながりやすい月です,厳しすぎる制限を自分に課さないこと,体調管理を習慣化する背景,46,aspect;saturn;asc;soft;background,1,self_pace,3
GENERAL_NEPTUNE_N_MERCURY_HARD_FOG,general_health,transit_to_natal,mental_focus,NEPTUNE,MERCURY,mental_nerves,none,ANY,90,hard,direct,1.5,5,10,1,3,caution_only,caution,判断がぼやけやすい背景,情報や予定の確認を丁寧にしたい時期です,思い込みや聞き違いが起こりやすく細かな約束ほど確認を重ねたい月です,曖昧なまま返事や判断を進めないこと,情報判断に霧がかかりやすい背景,47,aspect;neptune;mercury;hard;caution,1,cognitive_load,3
GENERAL_NEPTUNE_N_MERCURY_SOFT_IMAGINATION,general_health,transit_to_natal,mental_focus,NEPTUNE,MERCURY,mental_nerves,none,ANY,120,soft,direct,1.5,5,10,1,1,background_only,review,感覚が広がる背景,直感的に考えやすい一方で整理も必要です,創作や内省には向きますが日常の判断では事実確認を添えると扱いやすい月です,雰囲気だけで予定を決めないこと,感覚と思考が広がる背景,48,aspect;neptune;mercury;soft;background,1,cognitive_load,3
GENERAL_NEPTUNE_N_ASC_SOFT_SENSITIVITY,general_health,transit_to_natal,body_condition,NEPTUNE,ASC,self_body,none,ANY,120,soft,direct,1.5,5,10,1,1,background_only,review,感受性が高まる背景,休息や静かな時間が助けになりやすい流れです,周囲の雰囲気を受け取りやすくなるため予定を詰めすぎず回復の時間を作りたい月です,境界が曖昧な頼まれごとを抱えすぎないこと,感受性と休息の背景,49,aspect;neptune;asc;soft;background,1,self_pace,3
GENERAL_MOON_N_SUN_CONJ_SHORT_VITALITY,general_health,transit_to_natal,vitality,MOON,SUN,core_self,none,ANY,0,conjunction,direct,3,0,1,2,0,low,active,当日の気力が動く,短い集中や予定調整に向くタイミングです,その日の気分と行動がそろいやすく小さな用事を片づけるきっかけになります,長期的な判断は急がないこと,当日単位で気力が動く流れ,50,aspect;moon;sun;short;vitality,1,self_pace,2
GENERAL_MOON_N_MERCURY_CONJ_SHORT_MIND,general_health,transit_to_natal,mental_focus,MOON,MERCURY,mental_nerves,none,ANY,0,conjunction,direct,3,0,1,2,0,low,active,当日の考えが動く,連絡や整理に意識が向きやすいタイミングです,短い会話やメモによって気分と予定を整理しやすい日です,気分で結論を急がないこと,当日単位で思考が動く流れ,51,aspect;moon;mercury;short;mind,1,cognitive_load,3
GENERAL_MOON_N_ASC_CONJ_SHORT_BODY,general_health,transit_to_natal,body_condition,MOON,ASC,self_body,none,ANY,0,conjunction,direct,3,0,1,2,1,low,mixed,当日の体感が強まる,気分や体の反応に気づきやすいタイミングです,その日の予定が体感に出やすく休憩や食事の調整で過ごしやすさを作れます,一時的な不調感を大きく捉えすぎないこと,当日単位で体感が動く流れ,52,aspect;moon;asc;short;body,1,self_pace,3
GENERAL_MERCURY_RETROGRADE_HEALTH_ROUTINE,general_health,retrograde,life_rhythm,MERCURY,MERCURY,daily_order,none,ANY,ANY,none,retrograde,3,2,5,2,2,medium,review,日課を組み直す時期,予定や手順の見直しが増えやすい流れです,連絡や移動や小さな予定が揺れやすく生活の運用を整え直す月です,確認不足と睡眠不足に注意すること,生活手順と思考の整理がテーマになる流れ,53,mercury;retrograde;routine;review,1,routine,3
GENERAL_MERCURY_STATION_BODY_MIND,general_health,station,mental_focus,MERCURY,MERCURY,mental_nerves,none,ANY,ANY,none,station,3,1,3,2,2,medium,review,考えを止めて見直す時期,判断や連絡のペースを整えたい流れです,思考や連絡が滞りやすい一方で生活の手順や予定を見直すには向いています,急ぎの判断を重ねないこと,思考と日課の点検が必要になる節目,54,mercury;station;mind_body;review,1,cognitive_load,3
GENERAL_SATURN_N_SUN_HARD_VITALITY_PRESSURE,general_health,transit_to_natal,pressure,SATURN,SUN,vitality,natal,ANY,90,hard,direct,2.5,4,7,2,3,caution_only,heavy,気力に重さが出やすい,無理を続けた部分を見直しやすい時期です,責任や制限を通じて体力と気力の使い方を現実的に整える必要が出やすくなります,予定を詰めすぎず休む時間を先に確保すること,気力と責任のバランスを見直す流れ,55,aspect;saturn;sun;hard;vitality;caution,1,pressure,2
GENERAL_SATURN_N_MOON_HARD_EMOTIONAL_LOAD,general_health,transit_to_natal,rest,SATURN,MOON,emotion_moon,natal,ANY,90,hard,direct,2.5,4,7,1,3,caution_only,heavy,気分が重くなりやすい,安心感や休息の不足に気づきやすい時期です,気持ちを抑え込みやすく生活リズムや睡眠の質を整えることが大切になります,一人で抱え込まず負荷を小さく分けること,心身の休息を立て直す流れ,56,aspect;saturn;moon;hard;rest;caution,1,recovery,3
GENERAL_SATURN_N_MERCURY_HARD_MENTAL_BLOCK,general_health,transit_to_natal,mental_focus,SATURN,MERCURY,communication,natal,ANY,90,hard,direct,2.5,4,7,2,2,medium,review,考えが重くなりやすい,判断や連絡を慎重に見直しやすい時期です,集中力は出やすい一方で考えすぎや遅れも出やすいため情報整理が重要になります,結論を急がず確認の時間を取ること,思考と判断を現実的に整える流れ,57,aspect;saturn;mercury;hard;mental_focus,1,cognitive_load,2
GENERAL_SATURN_N_ASC_CONJ_BODY_LIMIT,general_health,transit_to_natal,body_condition,SATURN,ASC,self_body,natal,ANY,0,conjunction,direct,2.5,5,8,2,3,caution_only,heavy,体の制限を感じやすい,体調や姿勢を現実的に整える必要が出やすい時期です,疲れや責任感が表に出やすく無理のない生活設計へ戻すきっかけになります,我慢で押し切らず早めに負荷を減らすこと,自己管理を見直す大きな節目,58,aspect;saturn;asc;conjunction;body;caution,1,self_pace,3
GENERAL_NEPTUNE_N_SUN_HARD_LOW_ENERGY,general_health,transit_to_natal,vitality,NEPTUNE,SUN,vitality,natal,ANY,90,hard,direct,1.5,5,10,1,3,caution_only,heavy,気力がぼやけやすい,目的意識や体力の輪郭が曖昧になりやすい時期です,はっきり動こうとしても力が入りにくく休息や回復を優先したい流れです,無理に気合いで押し切らないこと,気力の回復と境界線の見直しが必要な流れ,59,aspect;neptune;sun;hard;low_energy;caution,1,self_pace,2
GENERAL_NEPTUNE_N_MOON_HARD_SLEEP_FOG,general_health,transit_to_natal,rest,NEPTUNE,MOON,emotion_moon,natal,ANY,90,hard,direct,1.5,5,10,1,3,caution_only,heavy,眠気や曖昧さが出やすい,感情や睡眠リズムが揺らぎやすい時期です,疲れを自覚しにくくぼんやりした不安や眠気が出やすいため休む設計が必要です,予定と休息の境目を曖昧にしないこと,心身の境界を整える流れ,60,aspect;neptune;moon;hard;sleep;caution,1,recovery,3
GENERAL_NEPTUNE_N_MERCURY_HARD_MENTAL_FOG,general_health,transit_to_natal,mental_focus,NEPTUNE,MERCURY,communication,natal,ANY,90,hard,direct,1.5,5,10,1,3,caution_only,caution,判断がぼやけやすい,情報整理や連絡確認を丁寧にしたい時期です,考えが散りやすく勘違いや見落としが出やすいため確認作業に向いています,大事な判断は一度寝かせて確認すること,思考の曖昧さを整える流れ,61,aspect;neptune;mercury;hard;mental_fog,1,cognitive_load,2
