Planet,Planet_Label,Event_Type,Event_Date,Event_DateTime_JST,Ecliptic_Longitude,Sign_ID,Sign_Label,Degree_In_Sign,Degree_Display,Display_Label,Source_Note
PLUTO,冥王星,DIRECT_START,2028-10-19,2028-10-19 12:45:50,306.4068,AQUARIUS,水瓶座,6.4068,水瓶座6°24′,冥王星順行開始: 2028年10月19日 水瓶座6°24′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
NEPTUNE,海王星,DIRECT_START,2028-12-17,2028-12-17 05:42:58,6.091807,ARIES,牡羊座,6.091807,牡羊座6°06′,海王星順行開始: 2028年12月17日 牡羊座6°06′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
SATURN,土星,DIRECT_START,2029-01-05,2029-01-05 21:38:41,34.416511,TAURUS,牡牛座,4.416511,牡牛座4°25′,土星順行開始: 2029年1月5日 牡牛座4°25′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,RETROGRADE_START,2029-01-07,2029-01-07 16:56:37,303.633952,AQUARIUS,水瓶座,3.633952,水瓶座3°38′,水星逆行開始: 2029年1月7日 水瓶座3°38′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,DIRECT_START,2029-01-28,2029-01-28 03:40:16,287.541297,CAPRICORN,山羊座,17.541297,山羊座17°32′,水星順行開始: 2029年1月28日 山羊座17°32′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
JUPITER,木星,RETROGRADE_START,2029-02-10,2029-02-10 22:07:13,207.423895,LIBRA,天秤座,27.423895,天秤座27°25′,木星逆行開始: 2029年2月10日 天秤座27°25′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MARS,火星,RETROGRADE_START,2029-02-14,2029-02-14 17:16:30,193.922595,LIBRA,天秤座,13.922595,天秤座13°55′,火星逆行開始: 2029年2月14日 天秤座13°55′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
URANUS,天王星,DIRECT_START,2029-02-16,2029-02-16 19:51:46,70.205436,GEMINI,双子座,10.205436,双子座10°12′,天王星順行開始: 2029年2月16日 双子座10°12′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,RETROGRADE_START,2029-05-02,2029-05-02 08:05:34,56.672263,TAURUS,牡牛座,26.672263,牡牛座26°40′,水星逆行開始: 2029年5月2日 牡牛座26°40′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MARS,火星,DIRECT_START,2029-05-06,2029-05-06 03:59:50,174.929055,VIRGO,乙女座,24.929055,乙女座24°56′,火星順行開始: 2029年5月6日 乙女座24°56′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
PLUTO,冥王星,RETROGRADE_START,2029-05-11,2029-05-11 13:14:02,310.452768,AQUARIUS,水瓶座,10.452768,水瓶座10°27′,冥王星逆行開始: 2029年5月11日 水瓶座10°27′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,DIRECT_START,2029-05-26,2029-05-26 04:20:50,47.560902,TAURUS,牡牛座,17.560902,牡牛座17°34′,水星順行開始: 2029年5月26日 牡牛座17°34′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
JUPITER,木星,DIRECT_START,2029-06-14,2029-06-14 06:06:43,197.506963,LIBRA,天秤座,17.506963,天秤座17°30′,木星順行開始: 2029年6月14日 天秤座17°30′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
NEPTUNE,海王星,RETROGRADE_START,2029-07-14,2029-07-14 11:11:01,11.141228,ARIES,牡羊座,11.141228,牡羊座11°08′,海王星逆行開始: 2029年7月14日 牡羊座11°08′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,RETROGRADE_START,2029-09-02,2029-09-02 21:18:08,181.830889,LIBRA,天秤座,1.830889,天秤座1°50′,水星逆行開始: 2029年9月2日 天秤座1°50′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
SATURN,土星,RETROGRADE_START,2029-09-06,2029-09-06 17:34:56,55.018959,TAURUS,牡牛座,25.018959,牡牛座25°01′,土星逆行開始: 2029年9月6日 牡牛座25°01′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
URANUS,天王星,RETROGRADE_START,2029-09-24,2029-09-24 01:22:02,78.553206,GEMINI,双子座,18.553206,双子座18°33′,天王星逆行開始: 2029年9月24日 双子座18°33′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,DIRECT_START,2029-09-25,2029-09-25 11:01:53,167.447174,VIRGO,乙女座,17.447174,乙女座17°27′,水星順行開始: 2029年9月25日 乙女座17°27′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
PLUTO,冥王星,DIRECT_START,2029-10-21,2029-10-21 12:56:36,308.045566,AQUARIUS,水瓶座,8.045566,水瓶座8°03′,冥王星順行開始: 2029年10月21日 水瓶座8°03′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
VENUS,金星,RETROGRADE_START,2029-12-17,2029-12-17 08:47:26,294.028364,CAPRICORN,山羊座,24.028364,山羊座24°02′,金星逆行開始: 2029年12月17日 山羊座24°02′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
NEPTUNE,海王星,DIRECT_START,2029-12-19,2029-12-19 17:24:17,8.33193,ARIES,牡羊座,8.33193,牡羊座8°20′,海王星順行開始: 2029年12月19日 牡羊座8°20′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,RETROGRADE_START,2029-12-22,2029-12-22 14:50:39,287.707795,CAPRICORN,山羊座,17.707795,山羊座17°42′,水星逆行開始: 2029年12月22日 山羊座17°42′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,DIRECT_START,2030-01-11,2030-01-11 14:45:33,271.437129,CAPRICORN,山羊座,1.437129,山羊座1°26′,水星順行開始: 2030年1月11日 山羊座1°26′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
SATURN,土星,DIRECT_START,2030-01-19,2030-01-19 12:53:49,48.090322,TAURUS,牡牛座,18.090322,牡牛座18°05′,土星順行開始: 2030年1月19日 牡牛座18°05′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
VENUS,金星,DIRECT_START,2030-01-27,2030-01-27 06:33:06,278.628174,CAPRICORN,山羊座,8.628174,山羊座8°38′,金星順行開始: 2030年1月27日 山羊座8°38′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
URANUS,天王星,DIRECT_START,2030-02-21,2030-02-21 08:22:38,74.507706,GEMINI,双子座,14.507706,双子座14°30′,天王星順行開始: 2030年2月21日 双子座14°30′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
JUPITER,木星,RETROGRADE_START,2030-03-13,2030-03-13 23:33:18,237.633421,SCORPIO,蠍座,27.633421,蠍座27°38′,木星逆行開始: 2030年3月13日 蠍座27°38′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,RETROGRADE_START,2030-04-13,2030-04-13 11:33:27,37.799244,TAURUS,牡牛座,7.799244,牡牛座7°48′,水星逆行開始: 2030年4月13日 牡牛座7°48′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,DIRECT_START,2030-05-07,2030-05-07 05:14:51,27.436423,ARIES,牡羊座,27.436423,牡羊座27°26′,水星順行開始: 2030年5月7日 牡羊座27°26′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
PLUTO,冥王星,RETROGRADE_START,2030-05-13,2030-05-13 08:10:43,312.060726,AQUARIUS,水瓶座,12.060726,水瓶座12°04′,冥王星逆行開始: 2030年5月13日 水瓶座12°04′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
JUPITER,木星,DIRECT_START,2030-07-15,2030-07-15 10:26:19,227.762509,SCORPIO,蠍座,17.762509,蠍座17°46′,木星順行開始: 2030年7月15日 蠍座17°46′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
NEPTUNE,海王星,RETROGRADE_START,2030-07-17,2030-07-17 01:29:07,13.382929,ARIES,牡羊座,13.382929,牡羊座13°23′,海王星逆行開始: 2030年7月17日 牡羊座13°23′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,RETROGRADE_START,2030-08-16,2030-08-16 10:20:13,164.495652,VIRGO,乙女座,14.495652,乙女座14°30′,水星逆行開始: 2030年8月16日 乙女座14°30′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,DIRECT_START,2030-09-08,2030-09-08 18:27:39,151.107792,VIRGO,乙女座,1.107792,乙女座1°06′,水星順行開始: 2030年9月8日 乙女座1°06′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
SATURN,土星,RETROGRADE_START,2030-09-21,2030-09-21 06:29:44,68.946159,GEMINI,双子座,8.946159,双子座8°57′,土星逆行開始: 2030年9月21日 双子座8°57′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
URANUS,天王星,RETROGRADE_START,2030-09-28,2030-09-28 17:26:55,82.894236,GEMINI,双子座,22.894236,双子座22°54′,天王星逆行開始: 2030年9月28日 双子座22°54′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
PLUTO,冥王星,DIRECT_START,2030-10-23,2030-10-23 12:06:03,309.664739,AQUARIUS,水瓶座,9.664739,水瓶座9°40′,冥王星順行開始: 2030年10月23日 水瓶座9°40′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,RETROGRADE_START,2030-12-06,2030-12-06 11:47:28,271.864494,CAPRICORN,山羊座,1.864494,山羊座1°52′,水星逆行開始: 2030年12月6日 山羊座1°52′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
NEPTUNE,海王星,DIRECT_START,2030-12-22,2030-12-22 05:40:28,10.573278,ARIES,牡羊座,10.573278,牡羊座10°34′,海王星順行開始: 2030年12月22日 牡羊座10°34′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,DIRECT_START,2030-12-26,2030-12-26 06:14:28,255.557349,SAGITTARIUS,射手座,15.557349,射手座15°33′,水星順行開始: 2030年12月26日 射手座15°33′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
SATURN,土星,DIRECT_START,2031-02-02,2031-02-02 11:24:46,61.993466,GEMINI,双子座,1.993466,双子座2°00′,土星順行開始: 2031年2月2日 双子座2°00′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
URANUS,天王星,DIRECT_START,2031-02-25,2031-02-25 20:24:30,78.838605,GEMINI,双子座,18.838605,双子座18°50′,天王星順行開始: 2031年2月25日 双子座18°50′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,RETROGRADE_START,2031-03-26,2031-03-26 09:43:43,19.742591,ARIES,牡羊座,19.742591,牡羊座19°45′,水星逆行開始: 2031年3月26日 牡羊座19°45′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MARS,火星,RETROGRADE_START,2031-03-29,2031-03-29 09:34:35,231.636016,SCORPIO,蠍座,21.636016,蠍座21°38′,火星逆行開始: 2031年3月29日 蠍座21°38′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
JUPITER,木星,RETROGRADE_START,2031-04-15,2031-04-15 21:04:15,268.986101,SAGITTARIUS,射手座,28.986101,射手座28°59′,木星逆行開始: 2031年4月15日 射手座28°59′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
MERCURY,水星,DIRECT_START,2031-04-18,2031-04-18 20:15:45,7.841248,ARIES,牡羊座,7.841248,牡羊座7°50′,水星順行開始: 2031年4月18日 牡羊座7°50′,"Swiss Ephemeris FLG_SPEED speed sign change, JST"
