planet1,planet2,aspect,テーマ,核となる意味,長所,注意点,対人での出方,仕事での出方,成長のコツ,要約,解釈文,use_in_section,role,priority,conflict_weight,support_weight,direction_weight,section7_summary
Sun,Venus,conjunction,自分らしさと愛情と価値観の一体化,自分らしさと愛情と価値観が一体化する構造,集中力が高まり、勢いを成果に変える前進力として活きる,勢いが強まり、ブレーキが効かず行き過ぎを招く,自分の喜びや美意識を素直に打ち出し他者と共有します,自分の喜びや感性を仕事の価値へ直結させます,自己愛を健全な自己表現へ繋げ周囲を明るく照らすこと,太陽の自分らしさと金星の愛情が一体化し、押しが強くなる。,自分らしさと愛情と価値観が一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,medium,0.6,0,0,太陽の自分らしさと金星の愛情が一体化し、押しが強くなる
Sun,Venus,sextile,自分らしさと愛情と価値観の協調,自分らしさと愛情と価値観が協力し、好意が伝わりやすい。,補い合う工夫ができ、実務で形にする力として活きる,合わせすぎて主体性が弱まり、判断が遅れる,愛情深く柔和な態度で周囲との調和を自然に作り出します,周囲と愛嬌よく接し職場の調和を保ちながら進めます,他者の顔色を窺いすぎず自分の本音を大切にすること,太陽の自分らしさと金星の愛情が自然に流れ、動きが進み、動きが具体化しやすくなる,自分らしさと愛情と価値観が協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,太陽の自分らしさと金星の愛情が自然に流れ、動きが進み、動きが具体化しやすくなる
Sun,Venus,square,自分らしさと愛情と価値観の衝突,自分らしさと愛情と価値観がぶつかり、距離感が乱れ、満たされにくい。,緊張をバネにして、粘り強く課題を突破する力として活きる,焦って動き、衝突やミスを招く,価値観の摩擦を恐れず対話を通じて深い関係を築きます,価値観の対立を乗り越え対人スキルの向上に努めます,価値観の相違を恐れず建設的な議論で絆を深めること,太陽の自分らしさと金星の愛情がぶつかるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる,自分らしさと愛情と価値観がぶつかり、判断が遅れた後に焦って動き、衝突やミスを招く。摩擦を通じて判断力を磨く流れが生まれる。,TRUE,conflict,high,0.8,0,0,太陽の自分らしさと金星の愛情がぶつかるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる
Sun,Venus,trine,自分らしさと愛情と価値観の調和,自分らしさと愛情と価値観が自然に調和し、関係が和らぎやすい。,流れを掴んで自然に成果へつなげる力として活きる,流れに乗りすぎて詰めが甘くなり、成果が薄れる,自然な魅力で周囲を惹きつけ幸運や好意を受け取ります,幸運やチャンスを素直に受け取り成果に繋げます,受け取った恩恵を周囲へ還元し循環を意識すること,太陽の自分らしさと金星の愛情が自然に流れ、前進が進み、動きが具体化しやすくなる,自分らしさと愛情と価値観が自然につながり、流れが整い、行動が前に進んで成果が形になる。流れを活かして成果を形にしていく流れが生まれる。,TRUE,support,low,0,0.6,0,太陽の自分らしさと金星の愛情が自然に流れ、前進が進み、動きが具体化しやすくなる
Sun,Venus,opposition,自分らしさと愛情と価値観の対立,自分らしさと愛情と価値観が向かい合い、距離感が乱れ、満たされにくい。,対人関係での自己鏡映,迷いが長引き、決めきれず機会を逃す,他者との交流の中で自分自身の価値を再確認し磨きます,他者との関わりを通じて自分の価値を確立します,他者に依存せず自分自身の内なる価値を確立すること,太陽の自分らしさと金星の愛情が引き裂かれるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる,自分らしさと愛情と価値観が引き合い、迷いが続き、決断が遅れて機会を逃す。揺れを抱えながらも選択を積み上げる流れが生まれる。,TRUE,conflict,high,0.8,0,0,太陽の自分らしさと金星の愛情が引き裂かれるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる
Sun,Mars,conjunction,自分らしさと行動と衝動の一体化,自分らしさと行動と衝動が一体化し、勢いが強まりブレーキが効きにくい。,集中力が高まり、勢いを成果に変える前進力として活きる,勢いが強まり、ブレーキが効かず行き過ぎを招く,強い意志と情熱を持って周囲を力強く牽引します,強い意志と実行力で目標に向かって邁進します,強い力を建設的な目的のために正しく制御すること,太陽の自分らしさと火星の行動が一体化し、押しが強くなる。,自分らしさと行動と衝動が一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,medium,0.6,0,0,太陽の自分らしさと火星の行動が一体化し、押しが強くなる
Sun,Mars,sextile,自分らしさと行動と衝動の協調,自分らしさと行動と衝動が協力し、動き出しが軽くなりやすい。,補い合う工夫ができ、実務で形にする力として活きる,合わせすぎて主体性が弱まり、判断が遅れる,意欲を適切にコントロールし効率的に他者と協力します,情熱を効率的に成果へ変えるバランス感覚を発揮します,効率性のみを求めず時には休息を取り活力を養うこと,太陽の自分らしさと火星の行動が自然に流れ、動きが進み、動きが具体化しやすくなる,自分らしさと行動と衝動が協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,太陽の自分らしさと火星の行動が自然に流れ、動きが進み、動きが具体化しやすくなる
Sun,Mars,trine,自分らしさと行動と衝動の調和,自分らしさと行動と衝動が調和する構造,流れを掴んで自然に成果へつなげる力として活きる,流れに乗りすぎて詰めが甘くなり、成果が薄れる,情熱を絶やさず持続的な関わりで強い絆を結びます,持続的な熱意を持って着実に成果を積み上げます,情熱を一時的なものにせず長期的な目標へ向けること,太陽の自分らしさと火星の行動が自然に流れ、前進が進み、動きが具体化しやすくなる,自分らしさと行動と衝動が自然につながり、流れが整い、行動が前に進んで成果が形になる。流れを活かして成果を形にしていく流れが生まれる。,TRUE,support,low,0,0.6,0,太陽の自分らしさと火星の行動が自然に流れ、前進が進み、動きが具体化しやすくなる
Sun,Jupiter,conjunction,自分らしさと拡大と楽観の一体化,自分らしさと拡大と楽観が一体化し、拡大しすぎて散らかりやすい。,集中力が高まり、勢いを成果に変える前進力として活きる,勢いが強まり、ブレーキが効かず行き過ぎを招く,寛大な心で他者を受け入れ共にチャンスを拡大させます,自信を持ってチャンスを掴み積極的に規模を広げます,過信による失敗を防ぐため謙虚に実力を見直すこと,太陽の自分らしさと木星の拡大が一体化し、押しが強くなる。,自分らしさと拡大と楽観が一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,medium,0.6,0,0,太陽の自分らしさと木星の拡大が一体化し、押しが強くなる
Sun,Jupiter,sextile,自分らしさと拡大と楽観の協調,自分らしさと拡大と楽観が協力し、広げやすくなる。,補い合う工夫ができ、実務で形にする力として活きる,合わせすぎて主体性が弱まり、判断が遅れる,柔軟な姿勢で周囲をサポートし着実な発展を促します,柔軟な精神で好機を逃さず着実に発展させます,受け身の姿勢を捨て積極的にチャンスを掴みに行くこと,太陽の自分らしさと木星の拡大が自然に流れ、動きが進み、動きが具体化しやすくなる,自分らしさと拡大と楽観が協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,太陽の自分らしさと木星の拡大が自然に流れ、動きが進み、動きが具体化しやすくなる
Sun,Jupiter,square,自分らしさと拡大と楽観の衝突,自分らしさと拡大と楽観がぶつかり、楽観が膨らみ、詰めが甘くなりやすい。,緊張をバネにして、粘り強く課題を突破する力として活きる,焦って動き、衝突やミスを招く,弱さや挫折を共有することで他者と誠実に向き合います,失敗から多くを学び誠実な成功の道を追求します,失敗を恐れず自身の倫理観に照らして誠実に歩むこと,太陽の自分らしさと木星の拡大がぶつかるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる,自分らしさと拡大と楽観がぶつかり、判断が遅れた後に焦って動き、衝突やミスを招く。摩擦を通じて判断力を磨く流れが生まれる。,TRUE,conflict,high,0.8,0,0,太陽の自分らしさと木星の拡大がぶつかるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる
Sun,Jupiter,trine,自分らしさと拡大と楽観の調和,自分らしさと拡大と楽観が自然に調和し、余裕が支えになる。,流れを掴んで自然に成果へつなげる力として活きる,流れに乗りすぎて詰めが甘くなり、成果が薄れる,高い徳と包容力で周囲を包み込み多大な信頼を得ます,寛大な心で周囲を支援し大きな成功を引き寄せます,幸運に甘んじることなく精神的な研鑽を継続すること,太陽の自分らしさと木星の拡大が自然に流れ、前進が進み、動きが具体化しやすくなる,自分らしさと拡大と楽観が自然につながり、流れが整い、行動が前に進んで成果が形になる。流れを活かして成果を形にしていく流れが生まれる。,TRUE,support,low,0,0.6,0,太陽の自分らしさと木星の拡大が自然に流れ、前進が進み、動きが具体化しやすくなる
Sun,Jupiter,opposition,自分らしさと拡大と楽観の対立,自分らしさと拡大と楽観が向かい合い、楽観が膨らみ、詰めが甘くなりやすい。,両面を見渡して調整できるため、バランスを取る力として活きる,迷いが長引き、決めきれず機会を逃す,壮大な理想を語り仲間と共に高い精神性を追求します,高い理想を掲げて仲間を鼓舞し未来を切り拓きます,理想を語るだけでなく現実的な一歩を踏み出すこと,太陽の自分らしさと木星の拡大が引き裂かれるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる,自分らしさと拡大と楽観が引き合い、迷いが続き、決断が遅れて機会を逃す。揺れを抱えながらも選択を積み上げる流れが生まれる。,TRUE,conflict,high,0.8,0,0,太陽の自分らしさと木星の拡大が引き裂かれるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる
Sun,Saturn,conjunction,自分らしさと制限と責任の一体化,自分らしさと制限と責任が一体化し、責任感が強まり、力みやすい。,集中力が高まり、勢いを成果に変える前進力として活きる,勢いが強まり、ブレーキが効かず行き過ぎを招く,誠実で責任感のある態度により揺るぎない信頼を得ます,強い責任感と規律で確固たる実力を構築します,過度な自己抑制を解き放ち適度な柔軟性を持つこと,太陽の自分らしさと土星の制限が一体化し、押しが強くなる。,自分らしさと制限と責任が一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,high,0.85,0.05,0.1,太陽の自分らしさと土星の制限が一体化し、押しが強くなる
Sun,Saturn,sextile,自分らしさと制限と責任の協調,自分らしさと制限と責任が協力し、現実化が進みやすい。,補い合う工夫ができ、実務で形にする力として活きる,合わせすぎて主体性が弱まり、判断が遅れる,落ち着いた規律ある対応で安定した関係を維持します,忍耐強く安定した方法で社会的な基盤を築きます,古い習慣に固執せず新しい時代の流れを柔軟に受け入れること,太陽の自分らしさと土星の制限が自然に流れ、動きが進み、動きが具体化しやすくなる,自分らしさと制限と責任が協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,太陽の自分らしさと土星の制限が自然に流れ、動きが進み、動きが具体化しやすくなる
Sun,Saturn,square,自分らしさと制限と責任の衝突,自分らしさと制限と責任がぶつかり、抑え込みが強まり、動きが重くなりやすい。,緊張をバネにして、粘り強く課題を突破する力として活きる,焦って動き、衝突やミスを招く,自分を抑えながら慎重に関係を築きやすい,責任感を軸に堅実に成果を積み上げやすい,自己否定ではなく成熟課題として受け止めること,太陽の自分らしさと土星の制限がぶつかるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる,自分らしさと制限と責任がぶつかり、判断が遅れた後に焦って動き、衝突やミスを招く。摩擦を通じて判断力を磨く流れが生まれる。,TRUE,conflict,high,0.9,0,0,太陽の自分らしさと土星の制限がぶつかるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる
Sun,Saturn,trine,自分らしさと制限と責任の調和,自分らしさと制限と責任が自然に調和し、地に足がつきやすい。,流れを掴んで自然に成果へつなげる力として活きる,流れに乗りすぎて詰めが甘くなり、成果が薄れる,時間をかけて誠実に向き合い確固たる地位を築きます,長期的な視点で着実に高い地位を確立します,築き上げた地位を守るだけでなく次世代へ継承すること,太陽の自分らしさと土星の制限が自然に流れ、前進が進み、動きが具体化しやすくなる,自分らしさと制限と責任が自然につながり、流れが整い、行動が前に進んで成果が形になる。流れを活かして成果を形にしていく流れが生まれる。,TRUE,support,low,0,0.6,0,太陽の自分らしさと土星の制限が自然に流れ、前進が進み、動きが具体化しやすくなる
Sun,Saturn,opposition,自分らしさと制限と責任の対立,自分らしさと制限と責任が向かい合い、抑え込みが強まり、動きが重くなりやすい。,両面を見渡して調整できるため、バランスを取る力として活きる,迷いが長引き、決めきれず機会を逃す,相手や環境に合わせすぎて自分を抑えやすい,外圧の中でも成果を求められやすい,外部基準と自分の価値観を切り分けること,太陽の自分らしさと土星の制限が引き裂かれるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる,自分らしさと制限と責任が引き合い、迷いが続き、決断が遅れて機会を逃す。揺れを抱えながらも選択を積み上げる流れが生まれる。,TRUE,conflict,high,0.9,0,0,太陽の自分らしさと土星の制限が引き裂かれるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる
Sun,Uranus,conjunction,自分らしさと変化と独立の一体化,自分らしさと変化と独立が一体化し、変化が強まり落ち着きにくい。,集中力が高まり、勢いを成果に変える前進力として活きる,勢いが強まり、ブレーキが効かず行き過ぎを招く,独自の個性を堂々と発揮し周囲に新鮮な刺激を与えます,独自の個性を発揮し既存の枠を壊して革新します,独りよがりな改革を避け周囲の理解を得る努力をすること,太陽の自分らしさと天王星の変化が一体化し、押しが強くなる。,自分らしさと変化と独立が一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,medium,0.6,0,0,太陽の自分らしさと天王星の変化が一体化し、押しが強くなる
Sun,Uranus,sextile,自分らしさと変化と独立の協調,自分らしさと変化と独立が協力し、柔軟に切り替えやすい。,補い合う工夫ができ、実務で形にする力として活きる,合わせすぎて主体性が弱まり、判断が遅れる,新しいアイデアを共有し柔軟な人間関係を構築します,新しいアイデアを柔軟に実生活へ取り入れ改善します,突飛なアイデアを実生活に役立つ形へ具現化すること,太陽の自分らしさと天王星の変化が自然に流れ、動きが進み、動きが具体化しやすくなる,自分らしさと変化と独立が協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,太陽の自分らしさと天王星の変化が自然に流れ、動きが進み、動きが具体化しやすくなる
Sun,Uranus,square,自分らしさと変化と独立の衝突,自分らしさと変化と独立がぶつかり、不安定さが強まり、急な断絶が出やすい。,既存の枠組みの刷新力,焦って動き、衝突やミスを招く,常識に囚われない態度で周囲の意識に改革を促します,反骨精神を創造的な改革エネルギーへ転換します,反抗心を無駄な衝突に使わず社会貢献へ振り向けること,太陽の自分らしさと天王星の変化がぶつかるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる,自分らしさと変化と独立がぶつかり、判断が遅れた後に焦って動き、衝突やミスを招く。摩擦を通じて判断力を磨く流れが生まれる。,TRUE,conflict,high,0.8,0,0,太陽の自分らしさと天王星の変化がぶつかるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる
Sun,Uranus,trine,自分らしさと変化と独立の調和,自分らしさと変化と独立が調和する構造,流れを掴んで自然に成果へつなげる力として活きる,流れに乗りすぎて詰めが甘くなり、成果が薄れる,先見の明を持ってユニークな人々と協力関係を築きます,時代を先取る才能を発揮しスムーズに変化を促します,先見の明を信じつつ地に足の着いた行動を心がけること,太陽の自分らしさと天王星の変化が自然に流れ、前進が進み、動きが具体化しやすくなる,自分らしさと変化と独立が自然につながり、流れが整い、行動が前に進んで成果が形になる。流れを活かして成果を形にしていく流れが生まれる。,TRUE,support,low,0,0.6,0,太陽の自分らしさと天王星の変化が自然に流れ、前進が進み、動きが具体化しやすくなる
Sun,Uranus,opposition,自分らしさと変化と独立の対立,自分らしさと変化と独立が向かい合い、不安定さが強まり、急な断絶が出やすい。,両面を見渡して調整できるため、バランスを取る力として活きる,迷いが長引き、決めきれず機会を逃す,個を尊重しつつ集団の変革をリードする役割を担います,集団の個性を尊重しつつ社会の構造を変革します,集団の中での個の役割を理解し調和ある変革を目指すこと,太陽の自分らしさと天王星の変化が引き裂かれるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる,自分らしさと変化と独立が引き合い、迷いが続き、決断が遅れて機会を逃す。揺れを抱えながらも選択を積み上げる流れが生まれる。,TRUE,conflict,high,0.8,0,0,太陽の自分らしさと天王星の変化が引き裂かれるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる
Sun,Neptune,conjunction,自分らしさと理想と曖昧さの一体化,自分らしさと理想と曖昧さが一体化し、境界が溶けやすく流されやすい。,集中力が高まり、勢いを成果に変える前進力として活きる,勢いが強まり、ブレーキが効かず行き過ぎを招く,直感的な共感力を通じて言葉を超えた絆を育みます,直感とインスピレーションを活かして夢を追います,現実感の喪失に注意し日常の些細な事柄を大切にすること,太陽の自分らしさと海王星の理想が一体化し、押しが強くなる。,自分らしさと理想と曖昧さが一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,medium,0.6,0,0,太陽の自分らしさと海王星の理想が一体化し、押しが強くなる
Sun,Neptune,sextile,自分らしさと理想と曖昧さの協調,自分らしさと理想と曖昧さが協力し、直感が働きやすい。,補い合う工夫ができ、実務で形にする力として活きる,合わせすぎて主体性が弱まり、判断が遅れる,慈愛に満ちた態度で周囲を優しく癒やし導きます,慈悲深い感性を用いて周囲を癒やす仕事に従事します,他者の感情に同化しすぎず自分を守る境界線を持つこと,太陽の自分らしさと海王星の理想が自然に流れ、動きが進み、動きが具体化しやすくなる,自分らしさと理想と曖昧さが協力し、補い合って具体化が進み、成果が形になる。工夫を積み重ねて現実に落とし込む流れが生まれる。,TRUE,support,low,0,0.6,0,太陽の自分らしさと海王星の理想が自然に流れ、動きが進み、動きが具体化しやすくなる
Sun,Neptune,square,自分らしさと理想と曖昧さの衝突,自分らしさと理想と曖昧さがぶつかり、曖昧さが増え、判断がぼやけやすい。,緊張をバネにして、粘り強く課題を突破する力として活きる,焦って動き、衝突やミスを招く,理想を共有する相手に対して献身的なサポートを行います,理想を現実にするために献身的な努力を重ねます,自己犠牲を厭わずとも自分の心身のケアを忘れないこと,太陽の自分らしさと海王星の理想がぶつかるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる,自分らしさと理想と曖昧さがぶつかり、判断が遅れた後に焦って動き、衝突やミスを招く。摩擦を通じて判断力を磨く流れが生まれる。,TRUE,conflict,high,0.8,0,0,太陽の自分らしさと海王星の理想がぶつかるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる
Sun,Neptune,trine,自分らしさと理想と曖昧さの調和,自分らしさと理想と曖昧さが自然に調和し、感性が支えになる。,流れを掴んで自然に成果へつなげる力として活きる,流れに乗りすぎて詰めが甘くなり、成果が薄れる,豊かな感性を活かして周囲に夢やインスピレーションを与えます,豊かな想像力を駆使して芸術的な感性を形にします,豊かな想像力を芸術や具体的な創作活動へ転換すること,太陽の自分らしさと海王星の理想が自然に流れ、前進が進み、動きが具体化しやすくなる,自分らしさと理想と曖昧さが自然につながり、流れが整い、行動が前に進んで成果が形になる。流れを活かして成果を形にしていく流れが生まれる。,TRUE,support,low,0,0.6,0,太陽の自分らしさと海王星の理想が自然に流れ、前進が進み、動きが具体化しやすくなる
Sun,Neptune,opposition,自分らしさと理想と曖昧さの対立,自分らしさと理想と曖昧さが向かい合い、曖昧さが増え、判断がぼやけやすい。,両面を見渡して調整できるため、バランスを取る力として活きる,迷いが長引き、決めきれず機会を逃す,高い精神性を持って他者の救済や導きに尽力します,高い精神性を持って他者を導き理想社会を構築します,精神的な高みを求めつつ現実社会での責任を果たすこと,太陽の自分らしさと海王星の理想が引き裂かれるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる,自分らしさと理想と曖昧さが引き合い、迷いが続き、決断が遅れて機会を逃す。揺れを抱えながらも選択を積み上げる流れが生まれる。,TRUE,conflict,high,0.8,0,0,太陽の自分らしさと海王星の理想が引き裂かれるため、迷いが増え、判断が早まりミスや衝突が起こりやすくなる
Sun,Pluto,conjunction,自分らしさと極端さと支配欲の一体化,自分らしさと極端さと支配欲が一体化する構造,集中力が高まり、勢いを成果に変える前進力として活きる,勢いが強まり、ブレーキが効かず行き過ぎを招く,圧倒的なカリスマ性で周囲の魂を揺さぶり惹きつけます,圧倒的なカリスマ性で極限状態を突破します,勢いが強まる前に区切りを入れ、手順を確認すること,太陽の自分らしさと冥王星の極端さが一体化し、押しが強くなる。,自分らしさと極端さと支配欲が一体化し、勢いが強まり、ブレーキが効かず行き過ぎを招く。強い一体感をどう使うかが人生の質を左右する。,TRUE,conflict,medium,0.6,0,0,太陽の自分らしさと冥王星の極端さが一体化し、押しが強くなる
