"planet1","planet2","aspect","テーマ","核となる意味","長所","注意点","対人での出方","仕事での出方","成長のコツ","要約","解釈文","use_in_section","role","priority","conflict_weight","support_weight","direction_weight","sec5_conflict","sec5_direction","sec8_conflict","sec8_direction"
"Sun","Venus","conjunction","自分らしさと愛情と価値観の一体化","太陽と金星の自分らしさと価値観が強く重なる関係です。","素直な自己愛","美意識の過剰","自分の喜びや美意識を素直に打ち出し他者と共有します","自分の喜びや感性を仕事の価値へ直結させます","中心価値を定めることと、関係性の基準を明確にすることで、行き過ぎを抑えやすくなります","太陽と金星の働きが強く重なり、方向性と愛情が一方向にまとまりやすいです。","自分らしさと愛情と価値観の一体化が一本化して現れやすく、対外的な関わりでは主導権を取りやすいです。","TRUE","conflict","medium","0.6","0","0","自分の意志を優先し過ぎることを続けると、判断が偏りやすくなり、結果として本音が伝わらず不満が残りやすいです","価値基準を言語化することで、選択のブレを減らしやすくなります。","自分らしさと愛情と価値観の一体化が一本化して現れやすく、対外的な関わりでは主導権を取りやすいです。","価値基準を言語化しておく習慣を持つことで、選択のブレを減らしやすくなり、長期的に一貫した判断を維持しやすくなります。"
"Sun","Venus","sextile","自分らしさと愛情と価値観の協調","太陽と金星の自分らしさと価値観が穏やかに噛み合う関係です。","対人的な調和力","他者への依存","愛情深く柔和な態度で周囲との調和を自然に作り出します","周囲と愛嬌よく接し職場の調和を保ちながら進めます","狙いの言語化と関係性の把握基準を整えることで、形にしやすくなります","太陽と金星が噛み合いやすく、自分らしさと価値観の調整が進みやすいです。","自分らしさと大切にしたい価値観が結びつきやすく、課題の中でも穏やかな選択を取りやすい配置です。","TRUE","support","low","0","0.6","0","調和を優先し過ぎることを続けると、判断が緩くなりやすくなり、結果として周囲の反発を招きやすいです","判断の軸を整えることで、対人関係の安定を保ちやすくなります。","自分らしさと愛情と価値観の協調が穏やかに進みやすく、判断の場面では現実的な折衷が選ばれやすいです。","自分らしさと大切にしたい価値観を結びつけることで、無理のない人間関係や選択が人生に定着していきます。"
"Sun","Venus","square","自分らしさと愛情と価値観の衝突","太陽と金星の自分らしさと価値観がぶつかりやすい関係です。","価値観の再構築力","審美眼の混乱","価値観の摩擦を恐れず対話を通じて深い関係を築きます","価値観の対立を乗り越え対人スキルの向上に努めます","目的意識を明確にすることと、関係性の基準を明確にすることで、行き違いを減らしやすくなります","太陽と金星がぶつかりやすく、方向性と愛情が衝突しやすいです。","自分らしさと愛情と価値観の衝突が偏りとして現れやすく、長期的には偏りと反動が繰り返されやすいです。","TRUE","conflict","high","0.8","0","0","自分の意志を優先し過ぎることを続けると、判断が荒れやすくなり、結果として本音が伝わらず不満が残りやすいです","感情と価値判断を切り分けることで、関係の摩擦を減らしやすくなります。","価値判断と感情のズレが長期的に繰り返されやすく、対人関係に不安定さが出やすいです。","自分の望みと相手への配慮を分けて扱うことで、価値観の課題を成熟した関係性へ変えられます。"
"Sun","Venus","trine","自分らしさと愛情と価値観の調和","太陽と金星の自分らしさと価値観が自然に調和する関係です。","自然な魅力","贅沢への傾倒","自然な魅力で周囲を惹きつけ幸運や好意を受け取ります","幸運やチャンスを素直に受け取り成果に繋げます","中心価値の明確化と関係性の把握基準を整えることで、成果を安定させやすくなります","太陽と金星が自然に通じ合い、自分らしさと価値観の流れが滑らかになりやすいです。","自分らしさと愛情と価値観の調和が伸びやすい筋として現れやすいです。","TRUE","support","low","0","0.6","0","調和を優先し過ぎることを続けると、確認が不足しやすくなり、結果として周囲の反発を招きやすいです","対人場面での優先順位を整理することで、関係性の安定につなげやすくなります。","自分らしさと愛情と価値観の調和が伸びやすい筋として現れやすいです。","対人場面での優先順位を整理する習慣を持つことで、関係性の安定につなげやすくなります。"
"Sun","Venus","opposition","自分らしさと愛情と価値観の対立","太陽と金星の自分らしさと価値観が向かい合う関係です。","対人関係での自己鏡映","自己価値の揺らぎ","他者との交流の中で自分自身の価値を再確認し磨きます","他者との関わりを通じて自分の価値を確立します","狙いの基準を明確にすることと、関係性の基準を明確にすることで、判断のブレを減らしやすくなります","太陽と金星が引き合い、方向性と愛情が行き来しやすいです。","自分らしさと愛情と価値観の対立が二極で現れやすく、周囲からは二面性として映りやすいです。","TRUE","conflict","high","0.8","0","0","自分の意志を優先し過ぎることを続けると、判断が揺れやすくなり、結果として本音が伝わらず不満が残りやすいです","期待と現実を分けて捉えることで、対人のズレを減らしやすくなります。","自分らしさと愛情と価値観の対立が二極で現れやすく、周囲からは二面性として映りやすいです。","自分らしさと対人関係で求められる調和を見直すことで、依存しすぎない価値観が育っていきます。"
"Sun","Mars","conjunction","自分らしさと行動と衝動の一体化","太陽と火星の自分らしさと行動が強く重なる関係です。","圧倒的な突破力","独裁的振る舞い","強い意志と情熱を持って周囲を力強く牽引します","強い意志と実行力で目標に向かって邁進します","狙いの基準を明確にすることと、勢いで進む前に優先順位を整理することで、行き過ぎを抑えやすくなります","太陽と火星が密接に結びつき、自分らしさと衝動が集中しやすいです。","人生全体で自分らしさと行動と衝動の一体化が強く表に出やすく、判断の場面では迷いより即断に傾きやすいです。","TRUE","conflict","medium","0.6","0","0","勢いで動き過ぎることを続けると、判断が偏りやすくなり、結果として周囲の反発を招きやすいです","行動前に目的を確認することで、衝動的な判断を抑えやすくなります。","人生全体で自分らしさと行動と衝動の一体化が強く表に出やすく、判断の場面では迷いより即断に傾きやすいです。","自分の意志と行動力を同じ目的へ向けることで、人生を切り開く力が強まっていきます。"
"Sun","Mars","sextile","自分らしさと行動と衝動の協調","太陽と火星の自分らしさと行動が穏やかに噛み合う関係です。","効率的な活力","闘争心の欠如","意欲を適切にコントロールし効率的に他者と協力します","情熱を効率的に成果へ変えるバランス感覚を発揮します","目的の言語化と判断順序の基準を整えることで、形にしやすくなります","太陽と火星が協力しやすく、方向性と行動が連携しやすいです。","自分の方針を行動に移しやすく、課題に対して受け身にならず取り組む力になります。","TRUE","support","low","0","0.6","0","自分の意志を優先し過ぎることを続けると、判断が緩くなりやすくなり、結果として関係が硬くなりやすいです","勢いに任せず区切りを入れることで、判断の安定を保ちやすくなります。","人生全体で自分らしさと行動と衝動の協調が噛み合いやすく、人間関係では調整役として現れやすいです。","自分の方針を行動に移す力が、課題を前へ進める人生の推進力になります。"
"Sun","Mars","trine","自分らしさと行動と衝動の調和","太陽と火星の自分らしさと行動が自然に調和する関係です。","持続的な情熱","他者への無関心","情熱を絶やさず持続的な関わりで強い絆を結びます","持続的な熱意を持って着実に成果を積み上げます","目的意識を明確にすることと、判断の順序を整理することで、詰めの甘さを防ぎやすくなります","太陽と火星が自然に通じ合い、自分らしさと衝動の流れが滑らかになりやすいです。","自分らしさと行動と衝動の調和が無理なく現れやすく、人間関係では自然な一致が起こりやすいです。","TRUE","support","low","0","0.6","0","勢いで動き過ぎることを続けると、確認が不足しやすくなり、結果として周囲の反発を招きやすいです","行動の順序を整理することで、無駄なすれ違いを減らしやすくなります。","自分らしさと行動と衝動の調和が無理なく現れやすく、人間関係では自然な一致が起こりやすいです。","意志と行動が自然につながり、やるべきことを着実に進める力として定着していきます。"
"Sun","Mars","square","自分らしさと行動と衝動の衝突","太陽と火星の自分らしさと行動がぶつかりやすい関係です。","突破力","短気","自己主張が強くぶつかりやすい","勢いで進めるが摩擦も起こしやすい","中心価値を定めることと、勢いで進む前に優先順位を整理することで、衝突を避けやすくなります","太陽と火星が干渉しやすく、方向性と行動が揺れやすいです。","自分の方針と衝動的な行動がぶつかりやすく、焦って動く前に目的を確認することが課題になります。","TRUE","conflict","medium","0.75","0","0","自分の意志を優先し過ぎることを続けると、判断が荒れやすくなり、結果として関係が硬くなりやすいです","衝動が強い場面では一度立ち止まることで、判断の荒れを防ぎやすくなります。","意志と衝動の衝突が長期的に繰り返されやすく、行動に一貫性が出にくいです。","衝動的に動く前に目的を確認することで、行動力を人生の建設的な力へ変えられます。"
"Sun","Mars","opposition","自分らしさと行動と衝動の対立","太陽と火星の自分らしさと行動が向かい合う関係です。","対決力","対立過多","相手との主導権争いが起こりやすい","競争環境で力を出しやすい","中心価値を定めることと、判断の順序を整理することで、偏りを整えやすくなります","太陽と火星が引き合い、自分らしさと衝動が行き来しやすいです。","人生全体で自分らしさと行動と衝動の対立が引き合いとして出やすく、周囲からは二面性として映りやすいです。","TRUE","conflict","medium","0.75","0","0","勢いで動き過ぎることを続けると、判断が揺れやすくなり、結果として周囲の反発を招きやすいです","行動と目的のバランスを見直すことで、安定した進行を保ちやすくなります。","人生全体で自分らしさと行動と衝動の対立が引き合いとして出やすく、周囲からは二面性として映りやすいです。","自分の意志と外から求められる行動のバランスを学ぶことで、対立を前進の力に変えられます。"
"Sun","Jupiter","conjunction","自分らしさと拡大と楽観の一体化","太陽と木星の自分らしさと拡大が強く重なる関係です。","積極的な自己拡大","過信による失敗","寛大な心で他者を受け入れ共にチャンスを拡大させます","自信を持ってチャンスを掴み積極的に規模を広げます","狙いの基準を明確にすることと、拡大の基準を明確にすることで、偏りを整えやすくなります","太陽と木星が密接に結びつき、方向性と拡大が集中しやすいです。","自分らしさと拡大と楽観の一体化が集中して現れやすく、社会的な役割では一本化した動きが目立ちやすいです。","TRUE","conflict","medium","0.6","0","0","自分の意志を優先し過ぎることを続けると、判断が偏りやすくなり、結果として成果が薄くなりやすいです","拡大しやすい場面では優先順位を整理することで、判断の過剰を抑えやすくなります。","自分らしさと拡大と楽観の一体化が集中して現れやすく、社会的な役割では一本化した動きが目立ちやすいです。","拡大しやすい場面では優先順位を整理する習慣を持つことで、判断の過剰を抑え、安定した成果につなげやすくなります。"
"Sun","Jupiter","sextile","自分らしさと拡大と楽観の協調","太陽と木星の自分らしさと拡大が穏やかに噛み合う関係です。","機会の受容力","消極的な姿勢","柔軟な姿勢で周囲をサポートし着実な発展を促します","柔軟な精神で好機を逃さず着実に発展させます","目的意識を明確にすることと、拡大の基準を明確にすることで、実行力を保ちやすくなります","太陽と木星が協力しやすく、自分らしさと期待が連携しやすいです。","自分の可能性を広げる力があり、課題を成長の機会として捉え直しやすい配置です。","TRUE","support","low","0","0.6","0","広げ過ぎることを続けると、判断が緩くなりやすくなり、結果として周囲の反発を招きやすいです","機会の取捨選択を行うことで、無理な拡大を防ぎやすくなります。","自分らしさと拡大と楽観の協調が橋渡しの形で出やすく、社会的な場では協力の機会が増えやすいです。","機会の取捨選択を段階的に行う習慣を持つことで、無理な拡大を防ぎ、長期的な安定を保ちやすくなります。"
"Sun","Jupiter","square","自分らしさと拡大と楽観の衝突","太陽と木星の自分らしさと拡大がぶつかりやすい関係です。","挫折からの飛躍","誇大妄想","弱さや挫折を共有することで他者と誠実に向き合います","失敗から多くを学び誠実な成功の道を追求します","中心価値の明確化と拡大判断の基準を整えることで、ミスを減らしやすくなります","太陽と木星が干渉しやすく、方向性と拡大が揺れやすいです。","自分らしさと拡大と楽観の衝突が人生全体でぶつかりやすく、対外的な関わりでは摩擦が表に出やすいです。","TRUE","conflict","high","0.8","0","0","自分の意志を優先し過ぎることを続けると、判断が荒れやすくなり、結果として成果が薄くなりやすいです","広げる前に基準を整えることで、判断のブレを減らしやすくなります。","自分らしさと拡大と楽観の衝突が人生全体でぶつかりやすく、対外的な関わりでは摩擦が表に出やすいです。","可能性を広げすぎず、自分に必要な成長を選ぶことで、拡大の力が人生の軸へまとまっていきます。"
"Sun","Jupiter","trine","自分らしさと拡大と楽観の調和","太陽と木星の自分らしさと拡大が自然に調和する関係です。","精神的な寛容さ","倫理観の欠如","高い徳と包容力で周囲を包み込み多大な信頼を得ます","寛大な心で周囲を支援し大きな成功を引き寄せます","狙いの基準を明確にすることと、拡大の基準を明確にすることで、確認不足を減らしやすくなります","太陽と木星が調和し、自分らしさと期待が無理なくつながりやすいです。","人生全体で自分らしさと拡大と楽観の調和が滑らかに続きやすく、長期的には得意分野が固まりやすいです。","TRUE","support","low","0","0.6","0","広げ過ぎることを続けると、確認が不足しやすくなり、結果として周囲の反発を招きやすいです","可能性を広げる際に整理を行うことで、無理なく成長を進めやすくなります。","人生全体で自分らしさと拡大と楽観の調和が滑らかに続きやすく、長期的には得意分野が固まりやすいです。","自分らしさと成長意欲が自然につながり、前向きな発展を人生に取り込みやすくなります。"
"Sun","Jupiter","opposition","自分らしさと拡大と楽観の対立","太陽と木星の自分らしさと拡大が向かい合う関係です。","高い理想への挑戦","目的の拡散","壮大な理想を語り仲間と共に高い精神性を追求します","高い理想を掲げて仲間を鼓舞し未来を切り拓きます","目的意識を明確にすることと、拡大の基準を明確にすることで、偏りを整えやすくなります","太陽と木星が向かい合い、方向性と拡大が揺れやすいです。","自分らしさと拡大と楽観の対立が揺れとして表れやすく、日常の選択で迷いが増えやすいです。","TRUE","conflict","high","0.8","0","0","自分の意志を優先し過ぎることを続けると、判断が揺れやすくなり、結果として成果が薄くなりやすいです","拡大と制御のバランスを見直すことで、行き過ぎを防ぎやすくなります。","自分らしさと拡大と楽観の対立が揺れとして表れやすく、日常の選択で迷いが増えやすいです。","期待や拡大に振り回されず、自分の方針を確認することで、大きな機会を現実的に扱えるようになります。"
"Sun","Saturn","conjunction","自分らしさと制限と責任の一体化","太陽と土星の自分らしさと制限が強く重なる関係です。","揺るぎない責任感","過度な自己抑制","誠実で責任感のある態度により揺るぎない信頼を得ます","強い責任感と規律で確固たる実力を構築します","目的意識を明確にすることと、期限と基準を明確にすることで、偏りを整えやすくなります","太陽と土星が一体化し、自分らしさと責任が強く出やすいです。","自分らしさと制限と責任の一体化が集中して現れやすく、判断の場面では迷いより即断に傾きやすいです。","TRUE","conflict","high","0.85","0.05","0.1","慎重になり過ぎることを続けると、判断が偏りやすくなり、結果として周囲の反発を招きやすいです","制限と意志のバランスを整えることで、無理なく継続しやすくなります。","自分らしさと制限と責任の一体化が集中して現れやすく、判断の場面では迷いより即断に傾きやすいです。","制限と意志のバランスを段階的に整える習慣を持つことで、無理なく継続できる形を保ちやすくなります。"
"Sun","Saturn","sextile","自分らしさと制限と責任の協調","太陽と土星の自分らしさと制限が穏やかに噛み合う関係です。","着実な継続力","保守的停滞","落ち着いた規律ある対応で安定した関係を維持します","忍耐強く安定した方法で社会的な基盤を築きます","中心価値を定めることと、期限と基準を明確にすることで、実行力を保ちやすくなります","太陽と土星が補い合い、方向性と制限が実務的に回りやすいです。","自分の方針に責任感を添えやすく、課題を長期的に整えていく力になります。","TRUE","support","low","0","0.6","0","自分の意志を優先し過ぎることを続けると、判断が緩くなりやすくなり、結果として機会を逃しやすいです","基準を定めてから進めることで、判断の硬さを和らげやすくなります。","自分らしさと制限と責任の協調が橋渡しの形で出やすく、人間関係では調整役として現れやすいです。","自分の方針に責任感を添えることで、長く続けられる役割や成果が人生に定着していきます。"
"Sun","Saturn","square","自分らしさと制限と責任の衝突","太陽と土星の自分らしさと制限がぶつかりやすい関係です。","自己鍛錬力","自己否定","自分を抑えながら慎重に関係を築きやすい","責任感を軸に堅実に成果を積み上げやすい","狙いの言語化と期限基準の明確化によって、ミスを減らしやすくなります","太陽と土星が緊張しやすく、自分らしさと責任が不安定になりやすいです。","自分らしさと制限と責任の衝突が人生全体でぶつかりやすく、社会的な場では緊張感が高まりやすいです。","TRUE","conflict","high","0.9","0","0","慎重になり過ぎることを続けると、判断が荒れやすくなり、結果として周囲の反発を招きやすいです","負荷を分散することで、停滞を防ぎやすくなります。","自分らしさと制限と責任の衝突が人生全体でぶつかりやすく、社会的な場では緊張感が高まりやすいです。","責任を背負いすぎず、自分の限界を見極めることで、努力を持続できる形へ整えられます。"
"Sun","Saturn","trine","自分らしさと制限と責任の調和","太陽と土星の自分らしさと制限が自然に調和する関係です。","長期的な安定性","変化への拒絶","時間をかけて誠実に向き合い確固たる地位を築きます","長期的な視点で着実に高い地位を確立します","目的意識を明確にすることと、期限と基準を明確にすることで、確認不足を減らしやすくなります","太陽と土星の流れが安定し、方向性と制限が自然に伸びやすいです。","人生全体で自分らしさと制限と責任の調和が滑らかに続きやすく、対外的な関わりでは相性の良さとして出やすいです。","TRUE","support","low","0","0.6","0","自分の意志を優先し過ぎることを続けると、確認が不足しやすくなり、結果として機会を逃しやすいです","責任と行動量を調整することで、無理なく成果を維持しやすくなります。","人生全体で自分らしさと制限と責任の調和が滑らかに続きやすく、対外的な関わりでは相性の良さとして出やすいです。","責任感と継続力が自然に働き、時間をかけて信頼や成果を積み上げやすくなります。"
"Sun","Saturn","opposition","自分らしさと制限と責任の対立","太陽と土星の自分らしさと制限が向かい合う関係です。","客観性","萎縮","相手や環境に合わせすぎて自分を抑えやすい","外圧の中でも成果を求められやすい","中心価値を定めることと、期限と基準を明確にすることで、偏りを整えやすくなります","太陽と土星が対極に働き、自分らしさと責任のバランスが課題になりやすいです。","自分らしさと制限と責任の対立が揺れとして表れやすく、長期的には偏りと調整の往復が続きやすいです。","TRUE","conflict","high","0.9","0","0","慎重になり過ぎることを続けると、判断が揺れやすくなり、結果として周囲の反発を招きやすいです","制御と自由度のバランスを見直すことで、流れを安定させやすくなります。","自分らしさと制限と責任の対立が揺れとして表れやすく、長期的には偏りと調整の往復が続きやすいです。","自分の意志と責任の重さを調整することで、外からの期待に飲まれない人生の軸が育っていきます。"
"Sun","Saturn","quincunx","自分らしさと制限と責任のズレ","太陽と土星の自分らしさと制限がずれやすい関係です。","適応力","自己抑制過多","自分を出すタイミングに迷いやすい","役割に合わせて自分を微調整しやすい","判断の優先順位を整えることで、迷いを減らしやすくなります","太陽と土星にずれが出やすく、自分らしさと責任が微調整を要しやすいです。","自分らしさと制限と責任の関係を通して、調整を繰り返しながら柔軟に進める力に変わっていく","TRUE","conflict","medium","0.7","0","0","慎重になり過ぎることを続けると、調整が遅れやすくなり、結果として周囲の反発を招きやすいです","手順を細かく調整することで迷いを減らせる","自分らしさと制限と責任の関係を通して、調整を繰り返しながら柔軟に進める力に変わっていく","やりたいことと果たすべき責任のズレを調整することで、無理のない役割選びができるようになります。"
"Sun","Uranus","conjunction","自分らしさと変化と独立の一体化","太陽と天王星の自分らしさと変化が強く重なる関係です。","強烈な独創性","予測不能な行動","独自の個性を堂々と発揮し周囲に新鮮な刺激を与えます","独自の個性を発揮し既存の枠を壊して革新します","中心価値を定めることと、変化の扱い方を整理することで、走り過ぎを防ぎやすくなります","太陽と天王星が密接に結びつき、方向性と変化が集中しやすいです。","自分らしさと変化と独立の一体化が集中して現れやすく、人間関係では押し出しが強くなりやすいです。","TRUE","conflict","medium","0.6","0","0","自分の意志を優先し過ぎることを続けると、判断が偏りやすくなり、結果として摩擦が出やすいです","変化を段階的に取り入れることで、急激な変動を抑えやすくなります。","自分らしさと変化と独立の一体化が集中して現れやすく、人間関係では押し出しが強くなりやすいです。","変化を段階的に取り入れる習慣を持つことで、急激な変動を抑え、安定した進行につなげやすくなります。"
